sexo,comunidad_autonoma,edad,periodo,tasa_paro,año,trimestre
Todos,España,25a54,2022T1,12.72,2022,1
Todos,España,25a54,2021T4,12.28,2021,4
Todos,España,25a54,2021T3,13.32,2021,3
Todos,España,25a54,2021T2,14.04,2021,2
Todos,España,25a54,2021T1,15.14,2021,1
Todos,España,De 55 y más años,2025T2,9.55,2025,2
Todos,España,De 55 y más años,2025T1,10.35,2025,1
Todos,España,De 55 y más años,2024T4,9.82,2024,4
Todos,España,De 55 y más años,2024T3,10.13,2024,3
Todos,España,De 55 y más años,2024T2,9.97,2024,2
Todos,España,De 55 y más años,2024T1,11.05,2024,1
Todos,España,De 55 y más años,2023T4,10.61,2023,4
Todos,España,De 55 y más años,2023T3,10.79,2023,3
Todos,España,De 55 y más años,2023T2,11.04,2023,2
Todos,España,De 55 y más años,2023T1,11.79,2023,1
Todos,España,De 55 y más años,2022T4,11.1,2022,4
Todos,España,De 55 y más años,2022T3,10.5,2022,3
Todos,España,De 55 y más años,2022T2,11.75,2022,2
Todos,España,De 55 y más años,2022T1,12.2,2022,1
Todos,España,De 55 y más años,2021T4,12.24,2021,4
Todos,España,De 55 y más años,2021T3,13.82,2021,3
Todos,España,De 55 y más años,2021T2,12.7,2021,2
Todos,España,De 55 y más años,2021T1,12.67,2021,1
Todos,Andalucia,Todos,2025T2,14.85,2025,2
Todos,Andalucia,Todos,2025T1,16.14,2025,1
Todos,Andalucia,Todos,2024T4,15.76,2024,4
Todos,Andalucia,Todos,2024T3,16.06,2024,3
Todos,Andalucia,Todos,2024T2,16.27,2024,2
Todos,Andalucia,Todos,2024T1,17.77,2024,1
Todos,Andalucia,Todos,2023T4,17.61,2023,4
Todos,Andalucia,Todos,2023T3,18.77,2023,3
Todos,Andalucia,Todos,2023T2,18.2,2023,2
Todos,Andalucia,Todos,2023T1,18.38,2023,1
Todos,Andalucia,Todos,2022T4,19.05,2022,4
Todos,Andalucia,Todos,2022T3,19.1,2022,3
Todos,Andalucia,Todos,2022T2,18.76,2022,2
Todos,Andalucia,Todos,2022T1,19.55,2022,1
Todos,Andalucia,Todos,2021T4,20.31,2021,4
Todos,Andalucia,Todos,2021T3,22.61,2021,3
Todos,Andalucia,Todos,2021T2,21.77,2021,2
Todos,Andalucia,Todos,2021T1,22.75,2021,1
Todos,Andalucia,Menores25,2025T2,34.28,2025,2
Todos,Andalucia,Menores25,2025T1,34.37,2025,1
Todos,Andalucia,Menores25,2024T4,36.24,2024,4
Todos,Andalucia,Menores25,2024T3,35.64,2024,3
Todos,Andalucia,Menores25,2024T2,38.74,2024,2
Todos,Andalucia,Menores25,2024T1,36.88,2024,1
Todos,Andalucia,Menores25,2023T4,40.24,2023,4
Todos,Andalucia,Menores25,2023T3,41.05,2023,3
Todos,Andalucia,Menores25,2023T2,39.26,2023,2
Todos,Andalucia,Menores25,2023T1,38.26,2023,1
Todos,Andalucia,Menores25,2022T4,35.91,2022,4
Todos,Andalucia,Menores25,2022T3,36.03,2022,3
Todos,Andalucia,Menores25,2022T2,33.33,2022,2
Todos,Andalucia,Menores25,2022T1,35.83,2022,1
Todos,Andalucia,Menores25,2021T4,38.91,2021,4
Todos,Andalucia,Menores25,2021T3,41.17,2021,3
Todos,Andalucia,Menores25,2021T2,46.84,2021,2
Todos,Andalucia,Menores25,2021T1,51.06,2021,1
Todos,Andalucia,25 y más años,2025T2,13.44,2025,2
Todos,Andalucia,25 y más años,2025T1,14.89,2025,1
