id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
114,Córdoba,20.0,5.0,0.0,0.0,15.0,2021,2
118,Granada,35.0,13.0,0.0,0.0,22.0,2021,2
121,Huelva,20.0,8.0,0.0,0.0,12.0,2021,2
123,Jaén,11.0,2.0,0.0,0.0,9.0,2021,2
129,Málaga,61.0,21.0,1.0,0.0,39.0,2021,2
141,Sevilla,106.0,31.0,1.0,0.0,74.0,2021,2
943,Aragón,117.0,36.0,2.0,0.0,79.0,2021,2
222,Huesca,9.0,7.0,0.0,0.0,2.0,2021,2
244,Teruel,11.0,5.0,0.0,0.0,6.0,2021,2
250,Zaragoza,97.0,24.0,2.0,0.0,71.0,2021,2
333,Asturias,93.0,22.0,2.0,1.0,68.0,2021,2
407,"Balears, Illes",71.0,30.0,0.0,0.0,41.0,2021,2
639,Canarias,108.0,30.0,0.0,1.0,77.0,2021,2
538,Santa Cruz de Tenerife,42.0,13.0,0.0,1.0,28.0,2021,2
639,Cantabria,16.0,9.0,0.0,1.0,6.0,2021,2
705,Ávila,5.0,2.0,0.0,0.0,3.0,2021,2
709,Burgos,15.0,8.0,1.0,0.0,6.0,2021,2
724,León,19.0,2.0,0.0,1.0,16.0,2021,2
734,Palencia,4.0,3.0,1.0,0.0,0.0,2021,2
737,Salamanca,15.0,4.0,0.0,0.0,11.0,2021,2
740,Segovia,3.0,1.0,0.0,0.0,2.0,2021,2
742,Soria,7.0,2.0,0.0,0.0,5.0,2021,2
747,Valladolid,32.0,7.0,2.0,1.0,22.0,2021,2
749,Zamora,10.0,4.0,0.0,0.0,6.0,2021,2
802,Albacete,21.0,7.0,0.0,1.0,13.0,2021,2
813,Ciudad Real,8.0,4.0,0.0,0.0,4.0,2021,2
816,Cuenca,3.0,2.0,0.0,1.0,0.0,2021,2
819,Guadalajara,24.0,4.0,0.0,0.0,20.0,2021,2
845,Toledo,32.0,9.0,3.0,0.0,20.0,2021,2
908,Barcelona,832.0,252.0,16.0,6.0,558.0,2021,2
917,Girona,70.0,21.0,1.0,0.0,48.0,2021,2
925,Lleida,55.0,9.0,0.0,0.0,46.0,2021,2
943,Tarragona,86.0,25.0,1.0,0.0,60.0,2021,2
734,Valencia,266.0,108.0,0.0,3.0,155.0,2021,2
1106,Badajoz,17.0,8.0,1.0,0.0,8.0,2021,2
1110,Cáceres,10.0,4.0,0.0,0.0,6.0,2021,2
1227,Lugo,23.0,5.0,0.0,1.0,17.0,2021,2
1232,Ourense,14.0,3.0,1.0,0.0,10.0,2021,2
1236,Pontevedra,57.0,19.0,2.0,0.0,36.0,2021,2
1328,Madrid,597.0,320.0,21.0,4.0,252.0,2021,2
1430,Murcia,86.0,22.0,1.0,2.0,61.0,2021,2
1531,Navarra,21.0,5.0,2.0,0.0,14.0,2021,2
1601,Araba/Álava,19.0,8.0,2.0,0.0,9.0,2021,2
1648,Bizkaia,55.0,24.0,6.0,2.0,23.0,2021,2
1620,Gipuzkoa,36.0,19.0,2.0,3.0,12.0,2021,2
1851,Ceuta,4.0,0.0,0.0,0.0,4.0,2021,2
1952,Melilla,0.0,0.0,0.0,0.0,0.0,2021,2
