id_geo___ca,comunidad_provincia,total,a_hasta_4,a_entre_5_y_8,a_entre_9_y_12,a_entre_13_y_16,a_entre_17_y_19,a_20_o_mas,año,trimestre
813,Ciudad Real,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2021,2
816,Cuenca,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2021,2
819,Guadalajara,4.0,0.0,1.0,3.0,0.0,0.0,0.0,2021,2
845,Toledo,12.0,1.0,3.0,0.0,1.0,2.0,5.0,2021,2
908,Barcelona,274.0,56.0,61.0,41.0,22.0,20.0,74.0,2021,2
917,Girona,22.0,3.0,4.0,5.0,3.0,2.0,5.0,2021,2
925,Lleida,9.0,1.0,2.0,2.0,0.0,1.0,3.0,2021,2
943,Tarragona,26.0,1.0,7.0,5.0,3.0,1.0,9.0,2021,2
734,Valencia,111.0,17.0,23.0,17.0,22.0,10.0,22.0,2021,2
1106,Badajoz,9.0,1.0,4.0,1.0,0.0,0.0,3.0,2021,2
1110,Cáceres,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2021,2
1227,Lugo,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2021,2
1232,Ourense,4.0,0.0,2.0,0.0,0.0,1.0,1.0,2021,2
1236,Pontevedra,21.0,4.0,4.0,4.0,1.0,1.0,7.0,2021,2
1328,Madrid,345.0,57.0,98.0,52.0,41.0,25.0,72.0,2021,2
1430,Murcia,25.0,4.0,6.0,3.0,5.0,2.0,5.0,2021,2
1531,Navarra,7.0,2.0,1.0,2.0,0.0,0.0,2.0,2021,2
1601,Araba/Álava,10.0,2.0,2.0,2.0,1.0,0.0,3.0,2021,2
1648,Bizkaia,32.0,6.0,3.0,4.0,5.0,4.0,10.0,2021,2
1620,Gipuzkoa,24.0,4.0,3.0,2.0,3.0,3.0,9.0,2021,2
1851,Ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2
1952,Melilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2
104,Almería,10.0,3.0,1.0,4.0,1.0,1.0,0.0,2021,3
111,Cádiz,6.0,1.0,3.0,0.0,1.0,0.0,1.0,2021,3
114,Córdoba,6.0,4.0,1.0,0.0,0.0,0.0,1.0,2021,3
118,Granada,5.0,1.0,2.0,0.0,2.0,0.0,0.0,2021,3
121,Huelva,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2021,3
123,Jaén,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2021,3
129,Málaga,19.0,2.0,9.0,1.0,1.0,1.0,5.0,2021,3
141,Sevilla,22.0,4.0,7.0,1.0,3.0,1.0,6.0,2021,3
943,Aragón,28.0,7.0,6.0,3.0,3.0,2.0,7.0,2021,3
222,Huesca,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,3
244,Teruel,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2021,3
250,Zaragoza,26.0,7.0,5.0,3.0,3.0,2.0,6.0,2021,3
333,Asturias,10.0,2.0,3.0,0.0,2.0,2.0,1.0,2021,3
407,"Balears, Illes",21.0,3.0,8.0,3.0,1.0,1.0,5.0,2021,3
639,Canarias,29.0,7.0,6.0,3.0,2.0,1.0,10.0,2021,3
538,Santa Cruz de Tenerife,9.0,1.0,1.0,2.0,2.0,0.0,3.0,2021,3
639,Cantabria,4.0,0.0,0.0,0.0,1.0,1.0,2.0,2021,3
705,Ávila,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,3
709,Burgos,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2021,3
724,León,4.0,2.0,1.0,0.0,1.0,0.0,0.0,2021,3
734,Palencia,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2021,3
737,Salamanca,6.0,0.0,2.0,2.0,0.0,0.0,2.0,2021,3
740,Segovia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2021,3
742,Soria,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,3
747,Valladolid,15.0,4.0,6.0,1.0,1.0,1.0,2.0,2021,3
749,Zamora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,3
802,Albacete,6.0,2.0,1.0,1.0,0.0,0.0,2.0,2021,3
813,Ciudad Real,7.0,0.0,3.0,2.0,2.0,0.0,0.0,2021,3
816,Cuenca,6.0,2.0,1.0,0.0,0.0,0.0,3.0,2021,3
819,Guadalajara,4.0,0.0,1.0,1.0,1.0,1.0,0.0,2021,3
845,Toledo,14.0,4.0,3.0,0.0,3.0,0.0,4.0,2021,3
908,Barcelona,198.0,38.0,55.0,32.0,19.0,12.0,42.0,2021,3
917,Girona,17.0,4.0,4.0,1.0,1.0,1.0,6.0,2021,3
925,Lleida,11.0,1.0,5.0,1.0,1.0,0.0,3.0,2021,3
943,Tarragona,11.0,0.0,1.0,2.0,4.0,1.0,3.0,2021,3
734,Valencia,82.0,17.0,28.0,9.0,8.0,3.0,17.0,2021,3
1106,Badajoz,5.0,1.0,0.0,0.0,2.0,0.0,2.0,2021,3
1110,Cáceres,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2021,3
1227,Lugo,7.0,1.0,1.0,1.0,0.0,2.0,2.0,2021,3
1232,Ourense,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2021,3
1236,Pontevedra,14.0,3.0,6.0,0.0,1.0,2.0,2.0,2021,3
1328,Madrid,205.0,40.0,50.0,39.0,18.0,11.0,47.0,2021,3
1430,Murcia,16.0,1.0,5.0,3.0,1.0,1.0,5.0,2021,3
1531,Navarra,6.0,1.0,1.0,1.0,0.0,0.0,3.0,2021,3
1601,Araba/Álava,5.0,1.0,2.0,1.0,1.0,0.0,0.0,2021,3
1648,Bizkaia,22.0,2.0,7.0,2.0,1.0,2.0,8.0,2021,3
1620,Gipuzkoa,24.0,5.0,3.0,4.0,1.0,3.0,8.0,2021,3
1851,Ceuta,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2021,3
1952,Melilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,3
104,Almería,12.0,0.0,2.0,4.0,2.0,2.0,2.0,2021,4
111,Cádiz,24.0,6.0,4.0,4.0,3.0,4.0,3.0,2021,4
114,Córdoba,10.0,0.0,4.0,2.0,1.0,1.0,2.0,2021,4
118,Granada,9.0,4.0,1.0,2.0,1.0,0.0,1.0,2021,4
121,Huelva,5.0,1.0,2.0,0.0,1.0,0.0,1.0,2021,4
123,Jaén,8.0,2.0,2.0,2.0,0.0,1.0,1.0,2021,4
129,Málaga,17.0,2.0,6.0,3.0,1.0,1.0,4.0,2021,4
141,Sevilla,31.0,3.0,8.0,3.0,4.0,1.0,12.0,2021,4
943,Aragón,33.0,5.0,6.0,2.0,7.0,4.0,9.0,2021,4
222,Huesca,5.0,0.0,2.0,0.0,0.0,1.0,2.0,2021,4
244,Teruel,6.0,0.0,0.0,1.0,2.0,2.0,1.0,2021,4
250,Zaragoza,22.0,5.0,4.0,1.0,5.0,1.0,6.0,2021,4
333,Asturias,19.0,5.0,8.0,1.0,2.0,0.0,3.0,2021,4
407,"Balears, Illes",16.0,5.0,4.0,2.0,2.0,0.0,3.0,2021,4
639,Canarias,27.0,4.0,10.0,1.0,3.0,3.0,6.0,2021,4
538,Santa Cruz de Tenerife,10.0,1.0,3.0,1.0,2.0,1.0,2.0,2021,4
639,Cantabria,11.0,2.0,2.0,0.0,2.0,1.0,4.0,2021,4
705,Ávila,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2021,4
709,Burgos,5.0,1.0,1.0,0.0,2.0,1.0,0.0,2021,4
724,León,5.0,1.0,0.0,0.0,0.0,2.0,2.0,2021,4
734,Palencia,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2021,4
737,Salamanca,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2021,4
740,Segovia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,4
742,Soria,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2021,4
747,Valladolid,7.0,3.0,1.0,0.0,1.0,1.0,1.0,2021,4
749,Zamora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,4
802,Albacete,8.0,0.0,1.0,1.0,1.0,1.0,4.0,2021,4
813,Ciudad Real,6.0,0.0,0.0,2.0,0.0,0.0,4.0,2021,4
816,Cuenca,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2021,4
819,Guadalajara,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2021,4
845,Toledo,13.0,0.0,6.0,1.0,2.0,0.0,4.0,2021,4
908,Barcelona,242.0,62.0,67.0,26.0,19.0,15.0,53.0,2021,4
917,Girona,16.0,5.0,6.0,1.0,1.0,0.0,3.0,2021,4
925,Lleida,8.0,1.0,2.0,1.0,0.0,2.0,2.0,2021,4
943,Tarragona,12.0,3.0,4.0,1.0,1.0,1.0,2.0,2021,4
734,Valencia,95.0,23.0,19.0,11.0,13.0,6.0,23.0,2021,4
1106,Badajoz,10.0,5.0,1.0,2.0,1.0,0.0,1.0,2021,4
1110,Cáceres,6.0,1.0,0.0,0.0,1.0,1.0,3.0,2021,4
1227,Lugo,8.0,1.0,0.0,1.0,1.0,0.0,5.0,2021,4
1232,Ourense,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2021,4
1236,Pontevedra,9.0,1.0,4.0,0.0,1.0,0.0,3.0,2021,4
1328,Madrid,264.0,56.0,66.0,40.0,36.0,13.0,53.0,2021,4
1430,Murcia,17.0,5.0,6.0,2.0,0.0,2.0,2.0,2021,4
1531,Navarra,13.0,3.0,4.0,4.0,1.0,0.0,1.0,2021,4
1601,Araba/Álava,6.0,1.0,0.0,1.0,1.0,1.0,2.0,2021,4
1648,Bizkaia,42.0,7.0,5.0,5.0,2.0,4.0,19.0,2021,4
1620,Gipuzkoa,15.0,1.0,3.0,0.0,3.0,1.0,7.0,2021,4
1851,Ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,4
1952,Melilla,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2021,4
104,Almería,8.0,2.0,1.0,1.0,1.0,2.0,1.0,2022,1
111,Cádiz,12.0,1.0,3.0,1.0,1.0,2.0,4.0,2022,1
114,Córdoba,8.0,2.0,4.0,0.0,2.0,0.0,0.0,2022,1
118,Granada,12.0,3.0,1.0,5.0,0.0,1.0,2.0,2022,1
121,Huelva,7.0,1.0,0.0,1.0,1.0,0.0,4.0,2022,1
123,Jaén,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,1
129,Málaga,25.0,10.0,7.0,3.0,2.0,0.0,3.0,2022,1
141,Sevilla,36.0,5.0,7.0,7.0,6.0,3.0,8.0,2022,1
943,Aragón,48.0,6.0,14.0,11.0,4.0,2.0,11.0,2022,1
222,Huesca,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2022,1
244,Teruel,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2022,1
250,Zaragoza,41.0,4.0,13.0,10.0,3.0,2.0,9.0,2022,1
333,Asturias,23.0,4.0,5.0,2.0,3.0,2.0,7.0,2022,1
407,"Balears, Illes",34.0,7.0,9.0,5.0,6.0,2.0,5.0,2022,1
639,Canarias,28.0,8.0,6.0,4.0,4.0,2.0,4.0,2022,1
538,Santa Cruz de Tenerife,11.0,3.0,3.0,0.0,3.0,0.0,2.0,2022,1
639,Cantabria,20.0,8.0,5.0,2.0,2.0,1.0,2.0,2022,1
705,Ávila,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2022,1
709,Burgos,6.0,0.0,1.0,3.0,0.0,0.0,2.0,2022,1
724,León,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2022,1
734,Palencia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,1
737,Salamanca,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2022,1
740,Segovia,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2022,1
742,Soria,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2022,1
747,Valladolid,6.0,2.0,2.0,0.0,1.0,0.0,1.0,2022,1
749,Zamora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1
802,Albacete,10.0,2.0,4.0,1.0,0.0,0.0,3.0,2022,1
813,Ciudad Real,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2022,1
816,Cuenca,6.0,0.0,0.0,1.0,1.0,1.0,3.0,2022,1
819,Guadalajara,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2022,1
845,Toledo,13.0,3.0,4.0,0.0,1.0,4.0,1.0,2022,1
908,Barcelona,275.0,69.0,80.0,32.0,23.0,17.0,54.0,2022,1
917,Girona,25.0,8.0,4.0,7.0,2.0,0.0,4.0,2022,1
925,Lleida,15.0,0.0,2.0,3.0,4.0,1.0,5.0,2022,1
943,Tarragona,5.0,0.0,3.0,0.0,1.0,0.0,1.0,2022,1
734,Valencia,120.0,31.0,33.0,11.0,10.0,7.0,28.0,2022,1
1106,Badajoz,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2022,1
1110,Cáceres,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2022,1
1227,Lugo,11.0,1.0,1.0,1.0,4.0,1.0,3.0,2022,1
1232,Ourense,6.0,0.0,1.0,1.0,0.0,1.0,3.0,2022,1
1236,Pontevedra,16.0,4.0,3.0,1.0,2.0,2.0,4.0,2022,1
1328,Madrid,325.0,75.0,95.0,42.0,30.0,24.0,59.0,2022,1
1430,Murcia,38.0,8.0,12.0,2.0,1.0,3.0,12.0,2022,1
1531,Navarra,7.0,2.0,0.0,1.0,1.0,1.0,2.0,2022,1
1601,Araba/Álava,11.0,5.0,2.0,1.0,0.0,0.0,3.0,2022,1
1648,Bizkaia,41.0,8.0,6.0,7.0,4.0,5.0,11.0,2022,1
1620,Gipuzkoa,14.0,3.0,3.0,3.0,2.0,1.0,2.0,2022,1
1851,Ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1
1952,Melilla,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,1
104,Almería,14.0,3.0,7.0,0.0,1.0,1.0,2.0,2022,2
111,Cádiz,5.0,2.0,1.0,0.0,1.0,0.0,1.0,2022,2
114,Córdoba,8.0,1.0,2.0,0.0,1.0,1.0,3.0,2022,2
118,Granada,19.0,4.0,3.0,1.0,2.0,1.0,8.0,2022,2
121,Huelva,8.0,2.0,2.0,3.0,0.0,0.0,1.0,2022,2
123,Jaén,4.0,0.0,0.0,3.0,0.0,1.0,0.0,2022,2
129,Málaga,23.0,10.0,5.0,3.0,2.0,2.0,1.0,2022,2
141,Sevilla,23.0,7.0,2.0,5.0,3.0,2.0,4.0,2022,2
943,Aragón,36.0,10.0,4.0,5.0,4.0,1.0,12.0,2022,2
222,Huesca,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2022,2
244,Teruel,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2022,2
250,Zaragoza,28.0,7.0,3.0,5.0,3.0,1.0,9.0,2022,2
333,Asturias,24.0,3.0,6.0,2.0,1.0,3.0,9.0,2022,2
407,"Balears, Illes",23.0,3.0,7.0,5.0,4.0,0.0,4.0,2022,2
639,Canarias,37.0,7.0,10.0,5.0,2.0,3.0,10.0,2022,2
538,Santa Cruz de Tenerife,15.0,3.0,3.0,4.0,1.0,1.0,3.0,2022,2
639,Cantabria,8.0,1.0,5.0,0.0,1.0,0.0,1.0,2022,2
705,Ávila,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,2
709,Burgos,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2022,2
724,León,5.0,0.0,1.0,1.0,1.0,0.0,2.0,2022,2
734,Palencia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,2
737,Salamanca,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2022,2
740,Segovia,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,2
742,Soria,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2022,2
747,Valladolid,5.0,1.0,2.0,1.0,0.0,0.0,1.0,2022,2
749,Zamora,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2022,2
802,Albacete,7.0,3.0,1.0,0.0,1.0,0.0,2.0,2022,2
813,Ciudad Real,9.0,1.0,5.0,2.0,0.0,0.0,1.0,2022,2
816,Cuenca,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,2
819,Guadalajara,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2022,2
845,Toledo,10.0,0.0,1.0,0.0,2.0,1.0,6.0,2022,2
908,Barcelona,286.0,79.0,71.0,32.0,32.0,14.0,58.0,2022,2
917,Girona,11.0,2.0,2.0,1.0,1.0,0.0,5.0,2022,2
925,Lleida,8.0,2.0,1.0,2.0,2.0,0.0,1.0,2022,2
943,Tarragona,19.0,3.0,4.0,3.0,2.0,0.0,7.0,2022,2
734,Valencia,159.0,38.0,40.0,21.0,11.0,4.0,45.0,2022,2
1106,Badajoz,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2022,2
1110,Cáceres,4.0,2.0,0.0,0.0,1.0,1.0,0.0,2022,2
1227,Lugo,14.0,2.0,3.0,2.0,2.0,2.0,3.0,2022,2
1232,Ourense,6.0,3.0,0.0,0.0,1.0,0.0,2.0,2022,2
1236,Pontevedra,11.0,2.0,2.0,1.0,2.0,0.0,4.0,2022,2
1328,Madrid,259.0,58.0,69.0,42.0,20.0,19.0,51.0,2022,2
1430,Murcia,28.0,8.0,7.0,6.0,1.0,2.0,4.0,2022,2
1531,Navarra,10.0,1.0,1.0,1.0,2.0,1.0,4.0,2022,2
1601,Araba/Álava,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,2
1648,Bizkaia,42.0,9.0,3.0,7.0,2.0,5.0,16.0,2022,2
1620,Gipuzkoa,21.0,9.0,3.0,1.0,2.0,1.0,5.0,2022,2
1851,Ceuta,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2022,2
1952,Melilla,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,2
104,Almería,20.0,3.0,5.0,3.0,1.0,1.0,7.0,2022,3
111,Cádiz,17.0,3.0,7.0,3.0,0.0,0.0,4.0,2022,3
114,Córdoba,25.0,4.0,1.0,4.0,3.0,1.0,12.0,2022,3
118,Granada,21.0,3.0,5.0,3.0,3.0,1.0,6.0,2022,3
121,Huelva,13.0,3.0,4.0,1.0,3.0,0.0,2.0,2022,3
123,Jaén,9.0,0.0,2.0,1.0,1.0,1.0,4.0,2022,3
129,Málaga,37.0,11.0,13.0,3.0,0.0,4.0,6.0,2022,3
141,Sevilla,52.0,11.0,17.0,6.0,7.0,4.0,7.0,2022,3
943,Aragón,52.0,11.0,6.0,7.0,4.0,6.0,18.0,2022,3
222,Huesca,5.0,0.0,1.0,2.0,0.0,0.0,2.0,2022,3
244,Teruel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,3
250,Zaragoza,46.0,10.0,5.0,5.0,4.0,6.0,16.0,2022,3
333,Asturias,29.0,3.0,8.0,2.0,3.0,4.0,9.0,2022,3
407,"Balears, Illes",26.0,7.0,7.0,5.0,3.0,2.0,2.0,2022,3
639,Canarias,28.0,6.0,11.0,5.0,0.0,1.0,5.0,2022,3
538,Santa Cruz de Tenerife,13.0,4.0,5.0,1.0,0.0,0.0,3.0,2022,3
639,Cantabria,11.0,5.0,2.0,1.0,1.0,0.0,2.0,2022,3
705,Ávila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,3
709,Burgos,4.0,2.0,1.0,0.0,1.0,0.0,0.0,2022,3
724,León,6.0,0.0,2.0,0.0,1.0,0.0,3.0,2022,3
734,Palencia,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2022,3
737,Salamanca,5.0,0.0,3.0,0.0,1.0,0.0,1.0,2022,3
740,Segovia,7.0,0.0,3.0,0.0,3.0,0.0,1.0,2022,3
742,Soria,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,3
747,Valladolid,15.0,1.0,5.0,2.0,0.0,0.0,7.0,2022,3
749,Zamora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,3
802,Albacete,16.0,7.0,3.0,1.0,2.0,2.0,1.0,2022,3
813,Ciudad Real,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2022,3
816,Cuenca,7.0,2.0,2.0,1.0,1.0,0.0,1.0,2022,3
819,Guadalajara,4.0,2.0,0.0,0.0,1.0,0.0,1.0,2022,3
845,Toledo,17.0,6.0,2.0,1.0,1.0,1.0,6.0,2022,3
908,Barcelona,368.0,88.0,83.0,50.0,38.0,30.0,79.0,2022,3
917,Girona,38.0,14.0,6.0,2.0,3.0,2.0,11.0,2022,3
925,Lleida,31.0,6.0,4.0,5.0,6.0,5.0,5.0,2022,3
943,Tarragona,15.0,4.0,3.0,2.0,1.0,2.0,3.0,2022,3
734,Valencia,165.0,41.0,43.0,13.0,14.0,14.0,40.0,2022,3
1106,Badajoz,13.0,3.0,2.0,2.0,1.0,0.0,5.0,2022,3
1110,Cáceres,12.0,4.0,3.0,2.0,1.0,0.0,2.0,2022,3
1227,Lugo,21.0,6.0,2.0,2.0,2.0,3.0,6.0,2022,3
1232,Ourense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,3
1236,Pontevedra,17.0,3.0,3.0,3.0,4.0,2.0,2.0,2022,3
