Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
Total Nacional;Altas;Bajas;2022T2;""
Total Nacional;Altas;Bajas;2022T1;""
Total Nacional;Altas;Bajas;2021T4;""
Total Nacional;Altas;Bajas;2021T3;""
Total Nacional;Altas;Bajas;2021T2;""
Total Nacional;Altas;Bajas;2021T1;""
Total Nacional;Altas;Bajas;2020T4;""
Total Nacional;Altas;Bajas;2020T3;""
Total Nacional;Altas;Bajas;2020T2;""
Total Nacional;Altas;Bajas;2020T1;""
Total Nacional;Permanencias;No detectadas;2022T4;""
Total Nacional;Permanencias;No detectadas;2022T3;""
Total Nacional;Permanencias;No detectadas;2022T2;""
Total Nacional;Permanencias;No detectadas;2022T1;""
Total Nacional;Permanencias;No detectadas;2021T4;""
Total Nacional;Permanencias;No detectadas;2021T3;""
Total Nacional;Permanencias;No detectadas;2021T2;""
Total Nacional;Permanencias;No detectadas;2021T1;""
Total Nacional;Permanencias;No detectadas;2020T4;""
Total Nacional;Permanencias;No detectadas;2020T3;""
Total Nacional;Permanencias;No detectadas;2020T2;""
Total Nacional;Permanencias;No detectadas;2020T1;""
Total Nacional;Permanencias;Altas;2022T4;76.359
Total Nacional;Permanencias;Altas;2022T3;99.241
Total Nacional;Permanencias;Altas;2022T2;95.953
Total Nacional;Permanencias;Altas;2022T1;93.120
Total Nacional;Permanencias;Altas;2021T4;80.413
Total Nacional;Permanencias;Altas;2021T3;102.846
Total Nacional;Permanencias;Altas;2021T2;90.485
Total Nacional;Permanencias;Altas;2021T1;91.620
Total Nacional;Permanencias;Altas;2020T4;84.853
Total Nacional;Permanencias;Altas;2020T3;52.051
Total Nacional;Permanencias;Altas;2020T2;123.445
Total Nacional;Permanencias;Altas;2020T1;""
Total Nacional;Permanencias;Permanencias;2022T4;2.823.656
Total Nacional;Permanencias;Permanencias;2022T3;2.835.984
Total Nacional;Permanencias;Permanencias;2022T2;2.819.891
Total Nacional;Permanencias;Permanencias;2022T1;2.818.422
Total Nacional;Permanencias;Permanencias;2021T4;2.823.859
Total Nacional;Permanencias;Permanencias;2021T3;2.818.087
Total Nacional;Permanencias;Permanencias;2021T2;2.800.408
Total Nacional;Permanencias;Permanencias;2021T1;2.787.463
Total Nacional;Permanencias;Permanencias;2020T4;2.767.434
Total Nacional;Permanencias;Permanencias;2020T3;2.784.268
Total Nacional;Permanencias;Permanencias;2020T2;2.748.666
Total Nacional;Permanencias;Permanencias;2020T1;""
Total Nacional;Permanencias;Reactivaciones;2022T4;7.070
Total Nacional;Permanencias;Reactivaciones;2022T3;5.023
Total Nacional;Permanencias;Reactivaciones;2022T2;7.931
Total Nacional;Permanencias;Reactivaciones;2022T1;5.257
Total Nacional;Permanencias;Reactivaciones;2021T4;5.426
Total Nacional;Permanencias;Reactivaciones;2021T3;4.187
Total Nacional;Permanencias;Reactivaciones;2021T2;7.374
Total Nacional;Permanencias;Reactivaciones;2021T1;4.994
Total Nacional;Permanencias;Reactivaciones;2020T4;4.639
Total Nacional;Permanencias;Reactivaciones;2020T3;23.845
Total Nacional;Permanencias;Reactivaciones;2020T2;""
Total Nacional;Permanencias;Reactivaciones;2020T1;""
Total Nacional;Permanencias;Bajas;2022T4;""
Total Nacional;Permanencias;Bajas;2022T3;""
Total Nacional;Permanencias;Bajas;2022T2;""
Total Nacional;Permanencias;Bajas;2022T1;""
Total Nacional;Permanencias;Bajas;2021T4;""
Total Nacional;Permanencias;Bajas;2021T3;""
Total Nacional;Permanencias;Bajas;2021T2;""
Total Nacional;Permanencias;Bajas;2021T1;""
Total Nacional;Permanencias;Bajas;2020T4;""
Total Nacional;Permanencias;Bajas;2020T3;""
Total Nacional;Permanencias;Bajas;2020T2;""
Total Nacional;Permanencias;Bajas;2020T1;""
Total Nacional;Reactivaciones;No detectadas;2022T4;""
Total Nacional;Reactivaciones;No detectadas;2022T3;""
Total Nacional;Reactivaciones;No detectadas;2022T2;""
Total Nacional;Reactivaciones;No detectadas;2022T1;""
Total Nacional;Reactivaciones;No detectadas;2021T4;""
Total Nacional;Reactivaciones;No detectadas;2021T3;""
Total Nacional;Reactivaciones;No detectadas;2021T2;""
Total Nacional;Reactivaciones;No detectadas;2021T1;""
Total Nacional;Reactivaciones;No detectadas;2020T4;""
Total Nacional;Reactivaciones;No detectadas;2020T3;""
Total Nacional;Reactivaciones;No detectadas;2020T2;""
Total Nacional;Reactivaciones;No detectadas;2020T1;""
Total Nacional;Reactivaciones;Altas;2022T4;""
Total Nacional;Reactivaciones;Altas;2022T3;""
Total Nacional;Reactivaciones;Altas;2022T2;""
Total Nacional;Reactivaciones;Altas;2022T1;""
Total Nacional;Reactivaciones;Altas;2021T4;""
Total Nacional;Reactivaciones;Altas;2021T3;""
Total Nacional;Reactivaciones;Altas;2021T2;""
Total Nacional;Reactivaciones;Altas;2021T1;""
Total Nacional;Reactivaciones;Altas;2020T4;""
Total Nacional;Reactivaciones;Altas;2020T3;""
Total Nacional;Reactivaciones;Altas;2020T2;""
Total Nacional;Reactivaciones;Altas;2020T1;""
Total Nacional;Reactivaciones;Permanencias;2022T4;""
Total Nacional;Reactivaciones;Permanencias;2022T3;""
Total Nacional;Reactivaciones;Permanencias;2022T2;""
Total Nacional;Reactivaciones;Permanencias;2022T1;""
Total Nacional;Reactivaciones;Permanencias;2021T4;""
Total Nacional;Reactivaciones;Permanencias;2021T3;""
Total Nacional;Reactivaciones;Permanencias;2021T2;""
Total Nacional;Reactivaciones;Permanencias;2021T1;""
Total Nacional;Reactivaciones;Permanencias;2020T4;""
Total Nacional;Reactivaciones;Permanencias;2020T3;""
Total Nacional;Reactivaciones;Permanencias;2020T2;""
Total Nacional;Reactivaciones;Permanencias;2020T1;""
Total Nacional;Reactivaciones;Reactivaciones;2022T4;""
Total Nacional;Reactivaciones;Reactivaciones;2022T3;""
Total Nacional;Reactivaciones;Reactivaciones;2022T2;""
Total Nacional;Reactivaciones;Reactivaciones;2022T1;""
Total Nacional;Reactivaciones;Reactivaciones;2021T4;""
Total Nacional;Reactivaciones;Reactivaciones;2021T3;""
Total Nacional;Reactivaciones;Reactivaciones;2021T2;""
Total Nacional;Reactivaciones;Reactivaciones;2021T1;""
Total Nacional;Reactivaciones;Reactivaciones;2020T4;""
Total Nacional;Reactivaciones;Reactivaciones;2020T3;""
Total Nacional;Reactivaciones;Reactivaciones;2020T2;""
Total Nacional;Reactivaciones;Reactivaciones;2020T1;""
Total Nacional;Reactivaciones;Bajas;2022T4;7.136
Total Nacional;Reactivaciones;Bajas;2022T3;8.605
Total Nacional;Reactivaciones;Bajas;2022T2;6.435
Total Nacional;Reactivaciones;Bajas;2022T1;9.296
Total Nacional;Reactivaciones;Bajas;2021T4;6.473
Total Nacional;Reactivaciones;Bajas;2021T3;6.611
Total Nacional;Reactivaciones;Bajas;2021T2;5.187
Total Nacional;Reactivaciones;Bajas;2021T1;8.595
Total Nacional;Reactivaciones;Bajas;2020T4;5.857
Total Nacional;Reactivaciones;Bajas;2020T3;5.465
Total Nacional;Reactivaciones;Bajas;2020T2;26.555
Total Nacional;Reactivaciones;Bajas;2020T1;""
Total Nacional;Bajas;No detectadas;2022T4;""
Total Nacional;Bajas;No detectadas;2022T3;""
Total Nacional;Bajas;No detectadas;2022T2;""
Total Nacional;Bajas;No detectadas;2022T1;""
Total Nacional;Bajas;No detectadas;2021T4;""
Total Nacional;Bajas;No detectadas;2021T3;""
Total Nacional;Bajas;No detectadas;2021T2;""
Total Nacional;Bajas;No detectadas;2021T1;""
Total Nacional;Bajas;No detectadas;2020T4;""
Total Nacional;Bajas;No detectadas;2020T3;""
Total Nacional;Bajas;No detectadas;2020T2;""
Total Nacional;Bajas;No detectadas;2020T1;""
Total Nacional;Bajas;Altas;2022T4;9.628
Total Nacional;Bajas;Altas;2022T3;17.320
Total Nacional;Bajas;Altas;2022T2;9.818
Total Nacional;Bajas;Altas;2022T1;10.374
Total Nacional;Bajas;Altas;2021T4;10.675
Total Nacional;Bajas;Altas;2021T3;16.555
Total Nacional;Bajas;Altas;2021T2;10.254
Total Nacional;Bajas;Altas;2021T1;9.838
Total Nacional;Bajas;Altas;2020T4;12.623
Total Nacional;Bajas;Altas;2020T3;11.682
Total Nacional;Bajas;Altas;2020T2;7.448
Total Nacional;Bajas;Altas;2020T1;""
Total Nacional;Bajas;Permanencias;2022T4;116.592
Total Nacional;Bajas;Permanencias;2022T3;87.791
Total Nacional;Bajas;Permanencias;2022T2;96.908
Total Nacional;Bajas;Permanencias;2022T1;91.276
Total Nacional;Bajas;Permanencias;2021T4;101.261
Total Nacional;Bajas;Permanencias;2021T3;80.180
Total Nacional;Bajas;Permanencias;2021T2;83.669
Total Nacional;Bajas;Permanencias;2021T1;69.463
Total Nacional;Bajas;Permanencias;2020T4;92.730
Total Nacional;Bajas;Permanencias;2020T3;87.843
Total Nacional;Bajas;Permanencias;2020T2;59.195
Total Nacional;Bajas;Permanencias;2020T1;""
Total Nacional;Bajas;Reactivaciones;2022T4;1.535
Total Nacional;Bajas;Reactivaciones;2022T3;1.412
Total Nacional;Bajas;Reactivaciones;2022T2;1.365
Total Nacional;Bajas;Reactivaciones;2022T1;1.216
Total Nacional;Bajas;Reactivaciones;2021T4;1.185
Total Nacional;Bajas;Reactivaciones;2021T3;1.000
Total Nacional;Bajas;Reactivaciones;2021T2;1.221
Total Nacional;Bajas;Reactivaciones;2021T1;863
Total Nacional;Bajas;Reactivaciones;2020T4;826
Total Nacional;Bajas;Reactivaciones;2020T3;2.710
Total Nacional;Bajas;Reactivaciones;2020T2;""
Total Nacional;Bajas;Reactivaciones;2020T1;""
Total Nacional;Bajas;Bajas;2022T4;""
Total Nacional;Bajas;Bajas;2022T3;""
Total Nacional;Bajas;Bajas;2022T2;""
Total Nacional;Bajas;Bajas;2022T1;""
Total Nacional;Bajas;Bajas;2021T4;""
Total Nacional;Bajas;Bajas;2021T3;""
Total Nacional;Bajas;Bajas;2021T2;""
Total Nacional;Bajas;Bajas;2021T1;""
Total Nacional;Bajas;Bajas;2020T4;""
Total Nacional;Bajas;Bajas;2020T3;""
Total Nacional;Bajas;Bajas;2020T2;""
Total Nacional;Bajas;Bajas;2020T1;""
Total Nacional;No detectadas;No detectadas;2022T4;""
Total Nacional;No detectadas;No detectadas;2022T3;""
Total Nacional;No detectadas;No detectadas;2022T2;""
Total Nacional;No detectadas;No detectadas;2022T1;""
Total Nacional;No detectadas;No detectadas;2021T4;""
Total Nacional;No detectadas;No detectadas;2021T3;""
Total Nacional;No detectadas;No detectadas;2021T2;""
Total Nacional;No detectadas;No detectadas;2021T1;""
Total Nacional;No detectadas;No detectadas;2020T4;""
Total Nacional;No detectadas;No detectadas;2020T3;""
Total Nacional;No detectadas;No detectadas;2020T2;""
Total Nacional;No detectadas;No detectadas;2020T1;""
Total Nacional;No detectadas;Altas;2022T4;""
