Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
03 Asturias, Principado de;Total;Permanencias;2022T3;61.556
03 Asturias, Principado de;Total;Permanencias;2022T2;61.710
03 Asturias, Principado de;Total;Permanencias;2022T1;61.603
03 Asturias, Principado de;Total;Permanencias;2021T4;62.077
03 Asturias, Principado de;Total;Permanencias;2021T3;61.798
03 Asturias, Principado de;Total;Permanencias;2021T2;61.792
03 Asturias, Principado de;Total;Permanencias;2021T1;61.372
03 Asturias, Principado de;Total;Permanencias;2020T4;61.641
03 Asturias, Principado de;Total;Permanencias;2020T3;61.860
03 Asturias, Principado de;Total;Permanencias;2020T2;60.846
03 Asturias, Principado de;Total;Permanencias;2020T1;""
03 Asturias, Principado de;Total;Reactivaciones;2022T4;141
03 Asturias, Principado de;Total;Reactivaciones;2022T3;107
03 Asturias, Principado de;Total;Reactivaciones;2022T2;152
03 Asturias, Principado de;Total;Reactivaciones;2022T1;113
03 Asturias, Principado de;Total;Reactivaciones;2021T4;113
03 Asturias, Principado de;Total;Reactivaciones;2021T3;79
03 Asturias, Principado de;Total;Reactivaciones;2021T2;169
03 Asturias, Principado de;Total;Reactivaciones;2021T1;101
03 Asturias, Principado de;Total;Reactivaciones;2020T4;104
03 Asturias, Principado de;Total;Reactivaciones;2020T3;416
03 Asturias, Principado de;Total;Reactivaciones;2020T2;""
03 Asturias, Principado de;Total;Reactivaciones;2020T1;""
03 Asturias, Principado de;Total;Bajas;2022T4;2.115
03 Asturias, Principado de;Total;Bajas;2022T3;2.028
03 Asturias, Principado de;Total;Bajas;2022T2;1.744
03 Asturias, Principado de;Total;Bajas;2022T1;2.108
03 Asturias, Principado de;Total;Bajas;2021T4;1.789
03 Asturias, Principado de;Total;Bajas;2021T3;1.759
03 Asturias, Principado de;Total;Bajas;2021T2;1.413
03 Asturias, Principado de;Total;Bajas;2021T1;2.076
03 Asturias, Principado de;Total;Bajas;2020T4;1.809
03 Asturias, Principado de;Total;Bajas;2020T3;1.236
03 Asturias, Principado de;Total;Bajas;2020T2;3.505
03 Asturias, Principado de;Total;Bajas;2020T1;""
03 Asturias, Principado de;Altas;No detectadas;2022T4;1.813
03 Asturias, Principado de;Altas;No detectadas;2022T3;1.494
03 Asturias, Principado de;Altas;No detectadas;2022T2;1.939
03 Asturias, Principado de;Altas;No detectadas;2022T1;1.722
03 Asturias, Principado de;Altas;No detectadas;2021T4;1.738
03 Asturias, Principado de;Altas;No detectadas;2021T3;1.521
03 Asturias, Principado de;Altas;No detectadas;2021T2;1.989
03 Asturias, Principado de;Altas;No detectadas;2021T1;1.596
03 Asturias, Principado de;Altas;No detectadas;2020T4;1.732
03 Asturias, Principado de;Altas;No detectadas;2020T3;1.703
03 Asturias, Principado de;Altas;No detectadas;2020T2;1.174
03 Asturias, Principado de;Altas;No detectadas;2020T1;2.250
03 Asturias, Principado de;Altas;Altas;2022T4;""
03 Asturias, Principado de;Altas;Altas;2022T3;""
03 Asturias, Principado de;Altas;Altas;2022T2;""
03 Asturias, Principado de;Altas;Altas;2022T1;""
03 Asturias, Principado de;Altas;Altas;2021T4;""
03 Asturias, Principado de;Altas;Altas;2021T3;""
03 Asturias, Principado de;Altas;Altas;2021T2;""
03 Asturias, Principado de;Altas;Altas;2021T1;""
03 Asturias, Principado de;Altas;Altas;2020T4;""
03 Asturias, Principado de;Altas;Altas;2020T3;""
03 Asturias, Principado de;Altas;Altas;2020T2;""
03 Asturias, Principado de;Altas;Altas;2020T1;""
03 Asturias, Principado de;Altas;Permanencias;2022T4;""
03 Asturias, Principado de;Altas;Permanencias;2022T3;""
03 Asturias, Principado de;Altas;Permanencias;2022T2;""
03 Asturias, Principado de;Altas;Permanencias;2022T1;""
03 Asturias, Principado de;Altas;Permanencias;2021T4;""
03 Asturias, Principado de;Altas;Permanencias;2021T3;""
03 Asturias, Principado de;Altas;Permanencias;2021T2;""
03 Asturias, Principado de;Altas;Permanencias;2021T1;""
03 Asturias, Principado de;Altas;Permanencias;2020T4;""
03 Asturias, Principado de;Altas;Permanencias;2020T3;""
03 Asturias, Principado de;Altas;Permanencias;2020T2;""
03 Asturias, Principado de;Altas;Permanencias;2020T1;""
03 Asturias, Principado de;Altas;Reactivaciones;2022T4;""
03 Asturias, Principado de;Altas;Reactivaciones;2022T3;""
03 Asturias, Principado de;Altas;Reactivaciones;2022T2;""
03 Asturias, Principado de;Altas;Reactivaciones;2022T1;""
03 Asturias, Principado de;Altas;Reactivaciones;2021T4;""
03 Asturias, Principado de;Altas;Reactivaciones;2021T3;""
03 Asturias, Principado de;Altas;Reactivaciones;2021T2;""
03 Asturias, Principado de;Altas;Reactivaciones;2021T1;""
03 Asturias, Principado de;Altas;Reactivaciones;2020T4;""
03 Asturias, Principado de;Altas;Reactivaciones;2020T3;""
03 Asturias, Principado de;Altas;Reactivaciones;2020T2;""
03 Asturias, Principado de;Altas;Reactivaciones;2020T1;""
03 Asturias, Principado de;Altas;Bajas;2022T4;""
03 Asturias, Principado de;Altas;Bajas;2022T3;""
03 Asturias, Principado de;Altas;Bajas;2022T2;""
03 Asturias, Principado de;Altas;Bajas;2022T1;""
03 Asturias, Principado de;Altas;Bajas;2021T4;""
03 Asturias, Principado de;Altas;Bajas;2021T3;""
03 Asturias, Principado de;Altas;Bajas;2021T2;""
03 Asturias, Principado de;Altas;Bajas;2021T1;""
03 Asturias, Principado de;Altas;Bajas;2020T4;""
03 Asturias, Principado de;Altas;Bajas;2020T3;""
03 Asturias, Principado de;Altas;Bajas;2020T2;""
03 Asturias, Principado de;Altas;Bajas;2020T1;""
03 Asturias, Principado de;Permanencias;No detectadas;2022T4;""
03 Asturias, Principado de;Permanencias;No detectadas;2022T3;""
03 Asturias, Principado de;Permanencias;No detectadas;2022T2;""
03 Asturias, Principado de;Permanencias;No detectadas;2022T1;""
03 Asturias, Principado de;Permanencias;No detectadas;2021T4;""
03 Asturias, Principado de;Permanencias;No detectadas;2021T3;""
03 Asturias, Principado de;Permanencias;No detectadas;2021T2;""
03 Asturias, Principado de;Permanencias;No detectadas;2021T1;""
03 Asturias, Principado de;Permanencias;No detectadas;2020T4;""
03 Asturias, Principado de;Permanencias;No detectadas;2020T3;""
03 Asturias, Principado de;Permanencias;No detectadas;2020T2;""
03 Asturias, Principado de;Permanencias;No detectadas;2020T1;""
03 Asturias, Principado de;Permanencias;Altas;2022T4;1.310
03 Asturias, Principado de;Permanencias;Altas;2022T3;1.598
03 Asturias, Principado de;Permanencias;Altas;2022T2;1.540
03 Asturias, Principado de;Permanencias;Altas;2022T1;1.568
03 Asturias, Principado de;Permanencias;Altas;2021T4;1.344
03 Asturias, Principado de;Permanencias;Altas;2021T3;1.709
03 Asturias, Principado de;Permanencias;Altas;2021T2;1.444
03 Asturias, Principado de;Permanencias;Altas;2021T1;1.545
03 Asturias, Principado de;Permanencias;Altas;2020T4;1.473
03 Asturias, Principado de;Permanencias;Altas;2020T3;958
03 Asturias, Principado de;Permanencias;Altas;2020T2;2.139
03 Asturias, Principado de;Permanencias;Altas;2020T1;""
03 Asturias, Principado de;Permanencias;Permanencias;2022T4;59.187
03 Asturias, Principado de;Permanencias;Permanencias;2022T3;59.810
03 Asturias, Principado de;Permanencias;Permanencias;2022T2;59.892
03 Asturias, Principado de;Permanencias;Permanencias;2022T1;60.044
03 Asturias, Principado de;Permanencias;Permanencias;2021T4;60.165
03 Asturias, Principado de;Permanencias;Permanencias;2021T3;60.303
03 Asturias, Principado de;Permanencias;Permanencias;2021T2;60.207
03 Asturias, Principado de;Permanencias;Permanencias;2021T1;60.157
03 Asturias, Principado de;Permanencias;Permanencias;2020T4;59.811
03 Asturias, Principado de;Permanencias;Permanencias;2020T3;60.308
03 Asturias, Principado de;Permanencias;Permanencias;2020T2;59.721
03 Asturias, Principado de;Permanencias;Permanencias;2020T1;""
03 Asturias, Principado de;Permanencias;Reactivaciones;2022T4;114
03 Asturias, Principado de;Permanencias;Reactivaciones;2022T3;79
03 Asturias, Principado de;Permanencias;Reactivaciones;2022T2;124
03 Asturias, Principado de;Permanencias;Reactivaciones;2022T1;98
03 Asturias, Principado de;Permanencias;Reactivaciones;2021T4;94
03 Asturias, Principado de;Permanencias;Reactivaciones;2021T3;65
03 Asturias, Principado de;Permanencias;Reactivaciones;2021T2;147
03 Asturias, Principado de;Permanencias;Reactivaciones;2021T1;90
03 Asturias, Principado de;Permanencias;Reactivaciones;2020T4;88
03 Asturias, Principado de;Permanencias;Reactivaciones;2020T3;375
03 Asturias, Principado de;Permanencias;Reactivaciones;2020T2;""
03 Asturias, Principado de;Permanencias;Reactivaciones;2020T1;""
03 Asturias, Principado de;Permanencias;Bajas;2022T4;""
03 Asturias, Principado de;Permanencias;Bajas;2022T3;""
03 Asturias, Principado de;Permanencias;Bajas;2022T2;""
03 Asturias, Principado de;Permanencias;Bajas;2022T1;""
03 Asturias, Principado de;Permanencias;Bajas;2021T4;""
03 Asturias, Principado de;Permanencias;Bajas;2021T3;""
03 Asturias, Principado de;Permanencias;Bajas;2021T2;""
03 Asturias, Principado de;Permanencias;Bajas;2021T1;""
03 Asturias, Principado de;Permanencias;Bajas;2020T4;""
03 Asturias, Principado de;Permanencias;Bajas;2020T3;""
03 Asturias, Principado de;Permanencias;Bajas;2020T2;""
03 Asturias, Principado de;Permanencias;Bajas;2020T1;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2022T4;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2022T3;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2022T2;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2022T1;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2021T4;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2021T3;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2021T2;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2021T1;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2020T4;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2020T3;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2020T2;""
03 Asturias, Principado de;Reactivaciones;No detectadas;2020T1;""
03 Asturias, Principado de;Reactivaciones;Altas;2022T4;""
03 Asturias, Principado de;Reactivaciones;Altas;2022T3;""
03 Asturias, Principado de;Reactivaciones;Altas;2022T2;""
03 Asturias, Principado de;Reactivaciones;Altas;2022T1;""
03 Asturias, Principado de;Reactivaciones;Altas;2021T4;""
03 Asturias, Principado de;Reactivaciones;Altas;2021T3;""
03 Asturias, Principado de;Reactivaciones;Altas;2021T2;""
03 Asturias, Principado de;Reactivaciones;Altas;2021T1;""
03 Asturias, Principado de;Reactivaciones;Altas;2020T4;""
03 Asturias, Principado de;Reactivaciones;Altas;2020T3;""
03 Asturias, Principado de;Reactivaciones;Altas;2020T2;""
03 Asturias, Principado de;Reactivaciones;Altas;2020T1;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2022T4;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2022T3;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2022T2;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2022T1;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2021T4;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2021T3;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2021T2;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2021T1;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2020T4;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2020T3;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2020T2;""
03 Asturias, Principado de;Reactivaciones;Permanencias;2020T1;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2022T4;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2022T3;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2022T2;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2022T1;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2021T4;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2021T3;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2021T2;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2021T1;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2020T4;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2020T3;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2020T2;""
03 Asturias, Principado de;Reactivaciones;Reactivaciones;2020T1;""
03 Asturias, Principado de;Reactivaciones;Bajas;2022T4;136
03 Asturias, Principado de;Reactivaciones;Bajas;2022T3;141
03 Asturias, Principado de;Reactivaciones;Bajas;2022T2;107
03 Asturias, Principado de;Reactivaciones;Bajas;2022T1;152
03 Asturias, Principado de;Reactivaciones;Bajas;2021T4;113
03 Asturias, Principado de;Reactivaciones;Bajas;2021T3;113
03 Asturias, Principado de;Reactivaciones;Bajas;2021T2;79
03 Asturias, Principado de;Reactivaciones;Bajas;2021T1;169
03 Asturias, Principado de;Reactivaciones;Bajas;2020T4;101
03 Asturias, Principado de;Reactivaciones;Bajas;2020T3;104
03 Asturias, Principado de;Reactivaciones;Bajas;2020T2;416
03 Asturias, Principado de;Reactivaciones;Bajas;2020T1;""
03 Asturias, Principado de;Bajas;No detectadas;2022T4;""
03 Asturias, Principado de;Bajas;No detectadas;2022T3;""
03 Asturias, Principado de;Bajas;No detectadas;2022T2;""
03 Asturias, Principado de;Bajas;No detectadas;2022T1;""
03 Asturias, Principado de;Bajas;No detectadas;2021T4;""
03 Asturias, Principado de;Bajas;No detectadas;2021T3;""
03 Asturias, Principado de;Bajas;No detectadas;2021T2;""
03 Asturias, Principado de;Bajas;No detectadas;2021T1;""
03 Asturias, Principado de;Bajas;No detectadas;2020T4;""
03 Asturias, Principado de;Bajas;No detectadas;2020T3;""
03 Asturias, Principado de;Bajas;No detectadas;2020T2;""
03 Asturias, Principado de;Bajas;No detectadas;2020T1;""
03 Asturias, Principado de;Bajas;Altas;2022T4;184
03 Asturias, Principado de;Bajas;Altas;2022T3;341
03 Asturias, Principado de;Bajas;Altas;2022T2;182
03 Asturias, Principado de;Bajas;Altas;2022T1;170
03 Asturias, Principado de;Bajas;Altas;2021T4;177
03 Asturias, Principado de;Bajas;Altas;2021T3;280
03 Asturias, Principado de;Bajas;Altas;2021T2;152
03 Asturias, Principado de;Bajas;Altas;2021T1;187
03 Asturias, Principado de;Bajas;Altas;2020T4;230
03 Asturias, Principado de;Bajas;Altas;2020T3;216
03 Asturias, Principado de;Bajas;Altas;2020T2;111
03 Asturias, Principado de;Bajas;Altas;2020T1;""
03 Asturias, Principado de;Bajas;Permanencias;2022T4;2.300
03 Asturias, Principado de;Bajas;Permanencias;2022T3;1.746
03 Asturias, Principado de;Bajas;Permanencias;2022T2;1.818
03 Asturias, Principado de;Bajas;Permanencias;2022T1;1.559
03 Asturias, Principado de;Bajas;Permanencias;2021T4;1.912
03 Asturias, Principado de;Bajas;Permanencias;2021T3;1.495
03 Asturias, Principado de;Bajas;Permanencias;2021T2;1.585
03 Asturias, Principado de;Bajas;Permanencias;2021T1;1.215
03 Asturias, Principado de;Bajas;Permanencias;2020T4;1.830
03 Asturias, Principado de;Bajas;Permanencias;2020T3;1.552
03 Asturias, Principado de;Bajas;Permanencias;2020T2;1.125
03 Asturias, Principado de;Bajas;Permanencias;2020T1;""
03 Asturias, Principado de;Bajas;Reactivaciones;2022T4;27
03 Asturias, Principado de;Bajas;Reactivaciones;2022T3;28
03 Asturias, Principado de;Bajas;Reactivaciones;2022T2;28
03 Asturias, Principado de;Bajas;Reactivaciones;2022T1;15
03 Asturias, Principado de;Bajas;Reactivaciones;2021T4;19
03 Asturias, Principado de;Bajas;Reactivaciones;2021T3;14
03 Asturias, Principado de;Bajas;Reactivaciones;2021T2;22
03 Asturias, Principado de;Bajas;Reactivaciones;2021T1;11
03 Asturias, Principado de;Bajas;Reactivaciones;2020T4;16
03 Asturias, Principado de;Bajas;Reactivaciones;2020T3;41
03 Asturias, Principado de;Bajas;Reactivaciones;2020T2;""
03 Asturias, Principado de;Bajas;Reactivaciones;2020T1;""
03 Asturias, Principado de;Bajas;Bajas;2022T4;""
03 Asturias, Principado de;Bajas;Bajas;2022T3;""
03 Asturias, Principado de;Bajas;Bajas;2022T2;""
03 Asturias, Principado de;Bajas;Bajas;2022T1;""
03 Asturias, Principado de;Bajas;Bajas;2021T4;""
03 Asturias, Principado de;Bajas;Bajas;2021T3;""
03 Asturias, Principado de;Bajas;Bajas;2021T2;""
03 Asturias, Principado de;Bajas;Bajas;2021T1;""
03 Asturias, Principado de;Bajas;Bajas;2020T4;""
03 Asturias, Principado de;Bajas;Bajas;2020T3;""
03 Asturias, Principado de;Bajas;Bajas;2020T2;""
03 Asturias, Principado de;Bajas;Bajas;2020T1;""
03 Asturias, Principado de;No detectadas;No detectadas;2022T4;""
03 Asturias, Principado de;No detectadas;No detectadas;2022T3;""
03 Asturias, Principado de;No detectadas;No detectadas;2022T2;""
03 Asturias, Principado de;No detectadas;No detectadas;2022T1;""
03 Asturias, Principado de;No detectadas;No detectadas;2021T4;""
03 Asturias, Principado de;No detectadas;No detectadas;2021T3;""
03 Asturias, Principado de;No detectadas;No detectadas;2021T2;""
03 Asturias, Principado de;No detectadas;No detectadas;2021T1;""
03 Asturias, Principado de;No detectadas;No detectadas;2020T4;""
03 Asturias, Principado de;No detectadas;No detectadas;2020T3;""
03 Asturias, Principado de;No detectadas;No detectadas;2020T2;""
03 Asturias, Principado de;No detectadas;No detectadas;2020T1;""
03 Asturias, Principado de;No detectadas;Altas;2022T4;""
03 Asturias, Principado de;No detectadas;Altas;2022T3;""
03 Asturias, Principado de;No detectadas;Altas;2022T2;""
03 Asturias, Principado de;No detectadas;Altas;2022T1;""
03 Asturias, Principado de;No detectadas;Altas;2021T4;""
03 Asturias, Principado de;No detectadas;Altas;2021T3;""
03 Asturias, Principado de;No detectadas;Altas;2021T2;""
03 Asturias, Principado de;No detectadas;Altas;2021T1;""
03 Asturias, Principado de;No detectadas;Altas;2020T4;""
03 Asturias, Principado de;No detectadas;Altas;2020T3;""
03 Asturias, Principado de;No detectadas;Altas;2020T2;""
03 Asturias, Principado de;No detectadas;Altas;2020T1;""
03 Asturias, Principado de;No detectadas;Permanencias;2022T4;""
03 Asturias, Principado de;No detectadas;Permanencias;2022T3;""
03 Asturias, Principado de;No detectadas;Permanencias;2022T2;""
03 Asturias, Principado de;No detectadas;Permanencias;2022T1;""
03 Asturias, Principado de;No detectadas;Permanencias;2021T4;""
03 Asturias, Principado de;No detectadas;Permanencias;2021T3;""
03 Asturias, Principado de;No detectadas;Permanencias;2021T2;""
03 Asturias, Principado de;No detectadas;Permanencias;2021T1;""
03 Asturias, Principado de;No detectadas;Permanencias;2020T4;""
03 Asturias, Principado de;No detectadas;Permanencias;2020T3;""
03 Asturias, Principado de;No detectadas;Permanencias;2020T2;""
03 Asturias, Principado de;No detectadas;Permanencias;2020T1;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2022T4;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2022T3;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2022T2;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2022T1;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2021T4;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2021T3;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2021T2;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2021T1;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2020T4;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2020T3;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2020T2;""
03 Asturias, Principado de;No detectadas;Reactivaciones;2020T1;""
03 Asturias, Principado de;No detectadas;Bajas;2022T4;1.979
03 Asturias, Principado de;No detectadas;Bajas;2022T3;1.887
03 Asturias, Principado de;No detectadas;Bajas;2022T2;1.637
03 Asturias, Principado de;No detectadas;Bajas;2022T1;1.956
03 Asturias, Principado de;No detectadas;Bajas;2021T4;1.676
03 Asturias, Principado de;No detectadas;Bajas;2021T3;1.646
03 Asturias, Principado de;No detectadas;Bajas;2021T2;1.334
03 Asturias, Principado de;No detectadas;Bajas;2021T1;1.907
03 Asturias, Principado de;No detectadas;Bajas;2020T4;1.708
03 Asturias, Principado de;No detectadas;Bajas;2020T3;1.132
03 Asturias, Principado de;No detectadas;Bajas;2020T2;3.089
03 Asturias, Principado de;No detectadas;Bajas;2020T1;""
04 Balears, Illes;Total;No detectadas;2022T4;3.197
04 Balears, Illes;Total;No detectadas;2022T3;3.145
04 Balears, Illes;Total;No detectadas;2022T2;8.765
04 Balears, Illes;Total;No detectadas;2022T1;3.693
04 Balears, Illes;Total;No detectadas;2021T4;3.072
04 Balears, Illes;Total;No detectadas;2021T3;3.769
04 Balears, Illes;Total;No detectadas;2021T2;7.579
04 Balears, Illes;Total;No detectadas;2021T1;3.230
04 Balears, Illes;Total;No detectadas;2020T4;2.861
04 Balears, Illes;Total;No detectadas;2020T3;4.189
04 Balears, Illes;Total;No detectadas;2020T2;3.557
04 Balears, Illes;Total;No detectadas;2020T1;5.112
04 Balears, Illes;Total;Altas;2022T4;3.145
04 Balears, Illes;Total;Altas;2022T3;8.765
04 Balears, Illes;Total;Altas;2022T2;3.693
04 Balears, Illes;Total;Altas;2022T1;3.072
04 Balears, Illes;Total;Altas;2021T4;3.769
04 Balears, Illes;Total;Altas;2021T3;7.579
04 Balears, Illes;Total;Altas;2021T2;3.230
04 Balears, Illes;Total;Altas;2021T1;2.861
04 Balears, Illes;Total;Altas;2020T4;4.189
04 Balears, Illes;Total;Altas;2020T3;3.557
04 Balears, Illes;Total;Altas;2020T2;5.112
04 Balears, Illes;Total;Altas;2020T1;""
04 Balears, Illes;Total;Permanencias;2022T4;91.535
04 Balears, Illes;Total;Permanencias;2022T3;86.655
04 Balears, Illes;Total;Permanencias;2022T2;84.955
04 Balears, Illes;Total;Permanencias;2022T1;84.757
04 Balears, Illes;Total;Permanencias;2021T4;88.159
04 Balears, Illes;Total;Permanencias;2021T3;83.983
04 Balears, Illes;Total;Permanencias;2021T2;82.911
04 Balears, Illes;Total;Permanencias;2021T1;82.548
04 Balears, Illes;Total;Permanencias;2020T4;83.861
04 Balears, Illes;Total;Permanencias;2020T3;84.489
04 Balears, Illes;Total;Permanencias;2020T2;81.734
04 Balears, Illes;Total;Permanencias;2020T1;""
04 Balears, Illes;Total;Reactivaciones;2022T4;212
04 Balears, Illes;Total;Reactivaciones;2022T3;344
04 Balears, Illes;Total;Reactivaciones;2022T2;1.302
04 Balears, Illes;Total;Reactivaciones;2022T1;234
04 Balears, Illes;Total;Reactivaciones;2021T4;199
04 Balears, Illes;Total;Reactivaciones;2021T3;315
04 Balears, Illes;Total;Reactivaciones;2021T2;678
04 Balears, Illes;Total;Reactivaciones;2021T1;242
04 Balears, Illes;Total;Reactivaciones;2020T4;157
04 Balears, Illes;Total;Reactivaciones;2020T3;1.251
04 Balears, Illes;Total;Reactivaciones;2020T2;""
04 Balears, Illes;Total;Reactivaciones;2020T1;""
04 Balears, Illes;Total;Bajas;2022T4;4.229
04 Balears, Illes;Total;Bajas;2022T3;3.295
04 Balears, Illes;Total;Bajas;2022T2;3.108
04 Balears, Illes;Total;Bajas;2022T1;7.370
04 Balears, Illes;Total;Bajas;2021T4;3.718
04 Balears, Illes;Total;Bajas;2021T3;2.836
04 Balears, Illes;Total;Bajas;2021T2;2.740
04 Balears, Illes;Total;Bajas;2021T1;5.659
04 Balears, Illes;Total;Bajas;2020T4;5.436
04 Balears, Illes;Total;Bajas;2020T3;2.357
04 Balears, Illes;Total;Bajas;2020T2;6.834
04 Balears, Illes;Total;Bajas;2020T1;""
04 Balears, Illes;Altas;No detectadas;2022T4;3.197
04 Balears, Illes;Altas;No detectadas;2022T3;3.145
04 Balears, Illes;Altas;No detectadas;2022T2;8.765
04 Balears, Illes;Altas;No detectadas;2022T1;3.693
04 Balears, Illes;Altas;No detectadas;2021T4;3.072
04 Balears, Illes;Altas;No detectadas;2021T3;3.769
04 Balears, Illes;Altas;No detectadas;2021T2;7.579
04 Balears, Illes;Altas;No detectadas;2021T1;3.230
04 Balears, Illes;Altas;No detectadas;2020T4;2.861
04 Balears, Illes;Altas;No detectadas;2020T3;4.189
04 Balears, Illes;Altas;No detectadas;2020T2;3.557
04 Balears, Illes;Altas;No detectadas;2020T1;5.112
04 Balears, Illes;Altas;Altas;2022T4;""
04 Balears, Illes;Altas;Altas;2022T3;""
04 Balears, Illes;Altas;Altas;2022T2;""
04 Balears, Illes;Altas;Altas;2022T1;""
04 Balears, Illes;Altas;Altas;2021T4;""
04 Balears, Illes;Altas;Altas;2021T3;""
04 Balears, Illes;Altas;Altas;2021T2;""
04 Balears, Illes;Altas;Altas;2021T1;""
04 Balears, Illes;Altas;Altas;2020T4;""
04 Balears, Illes;Altas;Altas;2020T3;""
04 Balears, Illes;Altas;Altas;2020T2;""
04 Balears, Illes;Altas;Altas;2020T1;""
04 Balears, Illes;Altas;Permanencias;2022T4;""
04 Balears, Illes;Altas;Permanencias;2022T3;""
04 Balears, Illes;Altas;Permanencias;2022T2;""
04 Balears, Illes;Altas;Permanencias;2022T1;""
04 Balears, Illes;Altas;Permanencias;2021T4;""
04 Balears, Illes;Altas;Permanencias;2021T3;""
04 Balears, Illes;Altas;Permanencias;2021T2;""
04 Balears, Illes;Altas;Permanencias;2021T1;""
04 Balears, Illes;Altas;Permanencias;2020T4;""
04 Balears, Illes;Altas;Permanencias;2020T3;""
04 Balears, Illes;Altas;Permanencias;2020T2;""
04 Balears, Illes;Altas;Permanencias;2020T1;""
04 Balears, Illes;Altas;Reactivaciones;2022T4;""
04 Balears, Illes;Altas;Reactivaciones;2022T3;""
04 Balears, Illes;Altas;Reactivaciones;2022T2;""
04 Balears, Illes;Altas;Reactivaciones;2022T1;""
04 Balears, Illes;Altas;Reactivaciones;2021T4;""
04 Balears, Illes;Altas;Reactivaciones;2021T3;""
04 Balears, Illes;Altas;Reactivaciones;2021T2;""
04 Balears, Illes;Altas;Reactivaciones;2021T1;""
04 Balears, Illes;Altas;Reactivaciones;2020T4;""
04 Balears, Illes;Altas;Reactivaciones;2020T3;""
04 Balears, Illes;Altas;Reactivaciones;2020T2;""
04 Balears, Illes;Altas;Reactivaciones;2020T1;""
04 Balears, Illes;Altas;Bajas;2022T4;""
04 Balears, Illes;Altas;Bajas;2022T3;""
04 Balears, Illes;Altas;Bajas;2022T2;""
04 Balears, Illes;Altas;Bajas;2022T1;""
04 Balears, Illes;Altas;Bajas;2021T4;""
04 Balears, Illes;Altas;Bajas;2021T3;""
04 Balears, Illes;Altas;Bajas;2021T2;""
04 Balears, Illes;Altas;Bajas;2021T1;""
04 Balears, Illes;Altas;Bajas;2020T4;""
04 Balears, Illes;Altas;Bajas;2020T3;""
04 Balears, Illes;Altas;Bajas;2020T2;""
04 Balears, Illes;Altas;Bajas;2020T1;""
04 Balears, Illes;Permanencias;No detectadas;2022T4;""
04 Balears, Illes;Permanencias;No detectadas;2022T3;""
04 Balears, Illes;Permanencias;No detectadas;2022T2;""
04 Balears, Illes;Permanencias;No detectadas;2022T1;""
04 Balears, Illes;Permanencias;No detectadas;2021T4;""
04 Balears, Illes;Permanencias;No detectadas;2021T3;""
04 Balears, Illes;Permanencias;No detectadas;2021T2;""
04 Balears, Illes;Permanencias;No detectadas;2021T1;""
04 Balears, Illes;Permanencias;No detectadas;2020T4;""
04 Balears, Illes;Permanencias;No detectadas;2020T3;""
04 Balears, Illes;Permanencias;No detectadas;2020T2;""
