,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
80,Santa Cruz de Tenerife,42,24.0,4.0,,13,0,1,2021_2T.xlsx,,
81,Cantabria,16,5.0,1.0,,9,0,1,2021_2T.xlsx,,
82,Castilla y León,110,59.0,12.0,,33,4,2,2021_2T.xlsx,,
83,Ávila,5,3.0,0.0,,2,0,0,2021_2T.xlsx,,
84,Burgos,15,5.0,1.0,,8,1,0,2021_2T.xlsx,,
85,León,19,16.0,0.0,,2,0,1,2021_2T.xlsx,,
86,Palencia,4,0.0,0.0,,3,1,0,2021_2T.xlsx,,
87,Salamanca,15,11.0,0.0,,4,0,0,2021_2T.xlsx,,
88,Segovia,3,2.0,0.0,,1,0,0,2021_2T.xlsx,,
89,Soria,7,5.0,0.0,,2,0,0,2021_2T.xlsx,,
90,Valladolid,32,11.0,11.0,,7,2,1,2021_2T.xlsx,,
91,Zamora,10,6.0,0.0,,4,0,0,2021_2T.xlsx,,
92,Castilla-La Mancha,88,46.0,11.0,,26,3,2,2021_2T.xlsx,,
93,Albacete,21,5.0,8.0,,7,0,1,2021_2T.xlsx,,
94,Ciudad Real,8,4.0,0.0,,4,0,0,2021_2T.xlsx,,
95,Cuenca,3,0.0,0.0,,2,0,1,2021_2T.xlsx,,
96,Guadalajara,24,20.0,0.0,,4,0,0,2021_2T.xlsx,,
97,Toledo,32,17.0,3.0,,9,3,0,2021_2T.xlsx,,
98,Cataluña,1043,392.0,320.0,,307,18,6,2021_2T.xlsx,,
99,Barcelona,832,287.0,271.0,,252,16,6,2021_2T.xlsx,,
100,Girona,70,19.0,29.0,,21,1,0,2021_2T.xlsx,,
101,Lleida,55,43.0,3.0,,9,0,0,2021_2T.xlsx,,
102,Tarragona,86,43.0,17.0,,25,1,0,2021_2T.xlsx,,
103,Comunitat Valenciana,438,209.0,53.0,,172,1,3,2021_2T.xlsx,,
104,Alicante,138,54.0,30.0,,54,0,0,2021_2T.xlsx,,
105,Castellón,34,20.0,3.0,,10,1,0,2021_2T.xlsx,,
106,Valencia,266,135.0,20.0,,108,0,3,2021_2T.xlsx,,
107,Extremadura,27,13.0,1.0,,12,1,0,2021_2T.xlsx,,
108,Badajoz,17,7.0,1.0,,8,1,0,2021_2T.xlsx,,
109,Cáceres,10,6.0,0.0,,4,0,0,2021_2T.xlsx,,
110,Galicia,143,82.0,13.0,,44,3,1,2021_2T.xlsx,,
111,A Coruña,49,27.0,5.0,,17,0,0,2021_2T.xlsx,,
112,Lugo,23,17.0,0.0,,5,0,1,2021_2T.xlsx,,
113,Ourense,14,10.0,0.0,,3,1,0,2021_2T.xlsx,,
114,Pontevedra,57,28.0,8.0,,19,2,0,2021_2T.xlsx,,
115,Madrid,597,195.0,57.0,,320,21,4,2021_2T.xlsx,,
116,Murcia,86,47.0,14.0,,22,1,2,2021_2T.xlsx,,
117,Navarra,21,13.0,1.0,,5,2,0,2021_2T.xlsx,,
118,Pais Vasco,110,33.0,11.0,,51,10,5,2021_2T.xlsx,,
119,Araba/Álava,19,8.0,1.0,,8,2,0,2021_2T.xlsx,,
120,Bizkaia,55,15.0,8.0,,24,6,2,2021_2T.xlsx,,
121,Gipuzkoa,36,10.0,2.0,,19,2,3,2021_2T.xlsx,,
122,La Rioja,16,11.0,0.0,,5,0,0,2021_2T.xlsx,,
123,Ceuta y Melilla,4,4.0,0.0,,0,0,0,2021_2T.xlsx,,
124,Ceuta,4,4.0,0.0,,0,0,0,2021_2T.xlsx,,
125,Melilla,0,0.0,0.0,,0,0,0,2021_2T.xlsx,,
126,Andalucía,229,102.0,52.0,,72,2,1,2021_3T.xlsx,,
127,Almería,29,17.0,2.0,,10,0,0,2021_3T.xlsx,,
128,Cádiz,29,20.0,3.0,,6,0,0,2021_3T.xlsx,,
129,Córdoba,15,4.0,5.0,,6,0,0,2021_3T.xlsx,,
130,Granada,26,17.0,4.0,,5,0,0,2021_3T.xlsx,,
131,Huelva,6,1.0,1.0,,4,0,0,2021_3T.xlsx,,
132,Jaén,10,4.0,3.0,,3,0,0,2021_3T.xlsx,,
133,Málaga,41,12.0,10.0,,18,1,0,2021_3T.xlsx,,
134,Sevilla,73,27.0,24.0,,20,1,1,2021_3T.xlsx,,
135,Aragón,96,63.0,5.0,,26,2,0,2021_3T.xlsx,,
136,Huesca,10,9.0,0.0,,1,0,0,2021_3T.xlsx,,
137,Teruel,7,6.0,0.0,,1,0,0,2021_3T.xlsx,,
138,Zaragoza,79,48.0,5.0,,24,2,0,2021_3T.xlsx,,
139,Asturias,52,26.0,16.0,,10,0,0,2021_3T.xlsx,,
140,"Balears, Illes",52,22.0,9.0,,21,0,0,2021_3T.xlsx,,
141,Canarias,100,61.0,10.0,,26,3,0,2021_3T.xlsx,,
142,Las Palmas de Gran Canaria,68,42.0,6.0,,18,2,0,2021_3T.xlsx,,
143,Santa Cruz de Tenerife,32,19.0,4.0,,8,1,0,2021_3T.xlsx,,
144,Cantabria,17,11.0,2.0,,4,0,0,2021_3T.xlsx,,
145,Castilla y León,85,45.0,6.0,,32,1,1,2021_3T.xlsx,,
146,Ávila,1,0.0,0.0,,1,0,0,2021_3T.xlsx,,
147,Burgos,9,6.0,0.0,,3,0,0,2021_3T.xlsx,,
148,León,19,15.0,0.0,,4,0,0,2021_3T.xlsx,,
149,Palencia,3,0.0,0.0,,3,0,0,2021_3T.xlsx,,
150,Salamanca,16,10.0,0.0,,6,0,0,2021_3T.xlsx,,
151,Segovia,4,3.0,0.0,,1,0,0,2021_3T.xlsx,,
152,Soria,2,1.0,0.0,,1,0,0,2021_3T.xlsx,,
153,Valladolid,31,10.0,6.0,,13,1,1,2021_3T.xlsx,,
154,Zamora,0,0.0,0.0,,0,0,0,2021_3T.xlsx,,
155,Castilla-La Mancha,68,28.0,3.0,,36,1,0,2021_3T.xlsx,,
156,Albacete,13,5.0,2.0,,6,0,0,2021_3T.xlsx,,
157,Ciudad Real,8,1.0,0.0,,7,0,0,2021_3T.xlsx,,
158,Cuenca,7,1.0,0.0,,5,1,0,2021_3T.xlsx,,
159,Guadalajara,17,13.0,0.0,,4,0,0,2021_3T.xlsx,,
160,Toledo,23,8.0,1.0,,14,0,0,2021_3T.xlsx,,
161,Cataluña,815,323.0,255.0,,227,9,1,2021_3T.xlsx,,
162,Barcelona,649,237.0,214.0,,188,9,1,2021_3T.xlsx,,
163,Girona,66,20.0,29.0,,17,0,0,2021_3T.xlsx,,
164,Lleida,48,37.0,0.0,,11,0,0,2021_3T.xlsx,,
165,Tarragona,52,29.0,12.0,,11,0,0,2021_3T.xlsx,,
166,Comunitat Valenciana,327,135.0,46.0,,137,7,2,2021_3T.xlsx,,
167,Alicante,80,18.0,18.0,,43,1,0,2021_3T.xlsx,,
168,Castellón,49,13.0,16.0,,18,0,2,2021_3T.xlsx,,
169,Valencia,198,104.0,12.0,,76,6,0,2021_3T.xlsx,,
170,Extremadura,19,11.0,0.0,,5,2,1,2021_3T.xlsx,,
171,Badajoz,12,7.0,0.0,,3,1,1,2021_3T.xlsx,,
172,Cáceres,7,4.0,0.0,,2,1,0,2021_3T.xlsx,,
173,Galicia,100,51.0,10.0,,38,1,0,2021_3T.xlsx,,
174,A Coruña,46,23.0,8.0,,14,1,0,2021_3T.xlsx,,
175,Lugo,12,5.0,0.0,,7,0,0,2021_3T.xlsx,,
176,Ourense,8,5.0,0.0,,3,0,0,2021_3T.xlsx,,
177,Pontevedra,34,18.0,2.0,,14,0,0,2021_3T.xlsx,,
178,Madrid,381,132.0,44.0,,190,10,5,2021_3T.xlsx,,
179,Murcia,63,37.0,10.0,,15,1,0,2021_3T.xlsx,,
180,Navarra,22,11.0,5.0,,4,2,0,2021_3T.xlsx,,
181,Pais Vasco,84,20.0,13.0,,45,6,0,2021_3T.xlsx,,
182,Araba/Álava,13,8.0,0.0,,5,0,0,2021_3T.xlsx,,
183,Bizkaia,42,11.0,9.0,,20,2,0,2021_3T.xlsx,,
184,Gipuzkoa,29,1.0,4.0,,20,4,0,2021_3T.xlsx,,
185,La Rioja,21,14.0,0.0,,7,0,0,2021_3T.xlsx,,
186,Ceuta y Melilla,2,1.0,0.0,,1,0,0,2021_3T.xlsx,,
187,Ceuta,2,1.0,0.0,,1,0,0,2021_3T.xlsx,,
188,Melilla,0,0.0,0.0,,0,0,0,2021_3T.xlsx,,
189,Andalucía,357,171.0,70.0,,107,5,4,2021_4T.xlsx,,
190,Almería,38,23.0,3.0,,11,0,1,2021_4T.xlsx,,
191,Cádiz,50,18.0,8.0,,23,0,1,2021_4T.xlsx,,
192,Córdoba,39,13.0,16.0,,10,0,0,2021_4T.xlsx,,
193,Granada,28,13.0,6.0,,9,0,0,2021_4T.xlsx,,
194,Huelva,8,3.0,0.0,,5,0,0,2021_4T.xlsx,,
195,Jaén,29,16.0,5.0,,7,0,1,2021_4T.xlsx,,
196,Málaga,63,46.0,0.0,,15,1,1,2021_4T.xlsx,,
197,Sevilla,102,39.0,32.0,,27,4,0,2021_4T.xlsx,,
198,Aragón,100,63.0,4.0,,30,2,1,2021_4T.xlsx,,
199,Huesca,11,6.0,0.0,,4,1,0,2021_4T.xlsx,,
200,Teruel,7,1.0,0.0,,6,0,0,2021_4T.xlsx,,
201,Zaragoza,82,56.0,4.0,,20,1,1,2021_4T.xlsx,,
202,Asturias,77,37.0,21.0,,17,2,0,2021_4T.xlsx,,
203,"Balears, Illes",46,16.0,14.0,,15,0,1,2021_4T.xlsx,,
204,Canarias,120,66.0,27.0,,24,2,1,2021_4T.xlsx,,
205,Las Palmas de Gran Canaria,70,42.0,11.0,,16,0,1,2021_4T.xlsx,,
206,Santa Cruz de Tenerife,50,24.0,16.0,,8,2,0,2021_4T.xlsx,,
207,Cantabria,22,9.0,2.0,,11,0,0,2021_4T.xlsx,,
208,Castilla y León,102,66.0,10.0,,25,1,0,2021_4T.xlsx,,
209,Ávila,6,4.0,0.0,,2,0,0,2021_4T.xlsx,,
210,Burgos,14,7.0,2.0,,5,0,0,2021_4T.xlsx,,
211,León,22,17.0,0.0,,4,1,0,2021_4T.xlsx,,
212,Palencia,2,0.0,0.0,,2,0,0,2021_4T.xlsx,,
213,Salamanca,9,7.0,0.0,,2,0,0,2021_4T.xlsx,,
214,Segovia,8,7.0,0.0,,1,0,0,2021_4T.xlsx,,
215,Soria,3,1.0,0.0,,2,0,0,2021_4T.xlsx,,
216,Valladolid,35,20.0,8.0,,7,0,0,2021_4T.xlsx,,
217,Zamora,3,3.0,0.0,,0,0,0,2021_4T.xlsx,,
218,Castilla-La Mancha,90,45.0,13.0,,29,1,2,2021_4T.xlsx,,
219,Albacete,17,3.0,6.0,,7,0,1,2021_4T.xlsx,,
220,Ciudad Real,22,14.0,2.0,,5,1,0,2021_4T.xlsx,,
221,Cuenca,4,2.0,0.0,,2,0,0,2021_4T.xlsx,,
222,Guadalajara,27,24.0,0.0,,3,0,0,2021_4T.xlsx,,
223,Toledo,20,2.0,5.0,,12,0,1,2021_4T.xlsx,,
224,Cataluña,1032,426.0,328.0,,257,18,3,2021_4T.xlsx,,
225,Barcelona,836,312.0,282.0,,223,18,1,2021_4T.xlsx,,
226,Girona,98,50.0,32.0,,15,0,1,2021_4T.xlsx,,
227,Lleida,37,29.0,0.0,,7,0,1,2021_4T.xlsx,,
228,Tarragona,61,35.0,14.0,,12,0,0,2021_4T.xlsx,,
229,Comunitat Valenciana,427,179.0,73.0,,153,16,6,2021_4T.xlsx,,
230,Alicante,100,23.0,24.0,,43,7,3,2021_4T.xlsx,,
231,Castellón,56,15.0,14.0,,23,3,1,2021_4T.xlsx,,
232,Valencia,271,141.0,35.0,,87,6,2,2021_4T.xlsx,,
233,Extremadura,29,13.0,0.0,,12,3,1,2021_4T.xlsx,,
234,Badajoz,18,8.0,0.0,,9,0,1,2021_4T.xlsx,,
235,Cáceres,11,5.0,0.0,,3,3,0,2021_4T.xlsx,,
236,Galicia,121,70.0,8.0,,38,5,0,2021_4T.xlsx,,
