,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
353,Lleida,57,49.0,0.0,,8,0,0,2022_2T.xlsx,,
354,Tarragona,65,36.0,10.0,,17,2,0,2022_2T.xlsx,,
355,Comunitat Valenciana,481,194.0,53.0,,216,9,9,2022_2T.xlsx,,
356,Alicante,118,43.0,18.0,,55,2,0,2022_2T.xlsx,,
357,Castellón,60,18.0,24.0,,18,0,0,2022_2T.xlsx,,
358,Valencia,303,133.0,11.0,,143,7,9,2022_2T.xlsx,,
359,Extremadura,14,6.0,0.0,,8,0,0,2022_2T.xlsx,,
360,Badajoz,8,4.0,0.0,,4,0,0,2022_2T.xlsx,,
361,Cáceres,6,2.0,0.0,,4,0,0,2022_2T.xlsx,,
362,Galicia,156,87.0,22.0,,43,3,1,2022_2T.xlsx,,
363,A Coruña,56,27.0,13.0,,15,1,0,2022_2T.xlsx,,
364,Lugo,38,24.0,0.0,,14,0,0,2022_2T.xlsx,,
365,Ourense,11,5.0,0.0,,5,1,0,2022_2T.xlsx,,
366,Pontevedra,51,31.0,9.0,,9,1,1,2022_2T.xlsx,,
367,Madrid,508,172.0,77.0,,241,14,4,2022_2T.xlsx,,
368,Murcia,85,40.0,17.0,,25,1,2,2022_2T.xlsx,,
369,Navarra,37,10.0,17.0,,8,1,1,2022_2T.xlsx,,
370,Pais Vasco,132,33.0,35.0,,58,4,2,2022_2T.xlsx,,
371,Araba/Álava,16,12.0,3.0,,1,0,0,2022_2T.xlsx,,
372,Bizkaia,73,12.0,19.0,,38,3,1,2022_2T.xlsx,,
373,Gipuzkoa,43,9.0,13.0,,19,1,1,2022_2T.xlsx,,
374,La Rioja,12,8.0,0.0,,4,0,0,2022_2T.xlsx,,
375,Ceuta y Melilla,3,0.0,0.0,,3,0,0,2022_2T.xlsx,,
376,Ceuta,2,0.0,0.0,,2,0,0,2022_2T.xlsx,,
377,Melilla,1,0.0,0.0,,1,0,0,2022_2T.xlsx,,
378,Andalucía,416,,,,178,13,3,2022_3T.xlsx,222.0,
379,Almería,34,,,,16,2,2,2022_3T.xlsx,14.0,
380,Cádiz,36,,,,16,1,0,2022_3T.xlsx,19.0,
381,Córdoba,41,,,,24,1,0,2022_3T.xlsx,16.0,
382,Granada,51,,,,19,2,0,2022_3T.xlsx,30.0,
383,Huelva,26,,,,13,0,0,2022_3T.xlsx,13.0,
384,Jaén,22,,,,6,2,1,2022_3T.xlsx,13.0,
385,Málaga,79,,,,36,1,0,2022_3T.xlsx,42.0,
386,Sevilla,127,,,,48,4,0,2022_3T.xlsx,75.0,
387,Aragón,159,,,,45,6,1,2022_3T.xlsx,107.0,
388,Huesca,28,,,,5,0,0,2022_3T.xlsx,23.0,
389,Teruel,5,,,,1,0,0,2022_3T.xlsx,4.0,
390,Zaragoza,126,,,,39,6,1,2022_3T.xlsx,80.0,
391,Asturias,84,,,,25,4,0,2022_3T.xlsx,55.0,
392,"Balears, Illes",91,,,,26,0,0,2022_3T.xlsx,65.0,
393,Canarias,99,,,,27,1,0,2022_3T.xlsx,71.0,
394,Las Palmas de Gran Canaria,58,,,,15,0,0,2022_3T.xlsx,43.0,
395,Santa Cruz de Tenerife,41,,,,12,1,0,2022_3T.xlsx,28.0,
396,Cantabria,21,,,,10,0,1,2022_3T.xlsx,10.0,
397,Castilla y León,121,,,,33,9,0,2022_3T.xlsx,79.0,
398,Ávila,2,,,,0,0,0,2022_3T.xlsx,2.0,
399,Burgos,10,,,,4,0,0,2022_3T.xlsx,6.0,
400,León,27,,,,4,2,0,2022_3T.xlsx,21.0,
401,Palencia,4,,,,2,2,0,2022_3T.xlsx,0.0,
402,Salamanca,17,,,,5,0,0,2022_3T.xlsx,12.0,
403,Segovia,13,,,,7,0,0,2022_3T.xlsx,6.0,
404,Soria,4,,,,1,0,0,2022_3T.xlsx,3.0,
405,Valladolid,44,,,,10,5,0,2022_3T.xlsx,29.0,
406,Zamora,0,,,,0,0,0,2022_3T.xlsx,0.0,
407,Castilla-La Mancha,130,,,,45,1,1,2022_3T.xlsx,83.0,
408,Albacete,38,,,,15,0,1,2022_3T.xlsx,22.0,
409,Ciudad Real,21,,,,2,1,0,2022_3T.xlsx,18.0,
410,Cuenca,10,,,,7,0,0,2022_3T.xlsx,3.0,
411,Guadalajara,25,,,,4,0,0,2022_3T.xlsx,21.0,
412,Toledo,36,,,,17,0,0,2022_3T.xlsx,19.0,
413,Cataluña,1289,,,,418,25,9,2022_3T.xlsx,837.0,
414,Barcelona,971,,,,341,21,6,2022_3T.xlsx,603.0,
415,Girona,122,,,,35,3,0,2022_3T.xlsx,84.0,
416,Lleida,121,,,,27,1,3,2022_3T.xlsx,90.0,
417,Tarragona,75,,,,15,0,0,2022_3T.xlsx,60.0,
418,Comunitat Valenciana,510,,,,256,6,2,2022_3T.xlsx,246.0,
419,Alicante,156,,,,73,1,1,2022_3T.xlsx,81.0,
420,Castellón,49,,,,23,1,0,2022_3T.xlsx,25.0,
421,Valencia,305,,,,160,4,1,2022_3T.xlsx,140.0,
422,Extremadura,52,,,,23,1,1,2022_3T.xlsx,27.0,
423,Badajoz,29,,,,11,1,1,2022_3T.xlsx,16.0,
424,Cáceres,23,,,,12,0,0,2022_3T.xlsx,11.0,
425,Galicia,154,,,,57,1,1,2022_3T.xlsx,95.0,
426,A Coruña,47,,,,21,0,0,2022_3T.xlsx,26.0,
427,Lugo,41,,,,20,1,0,2022_3T.xlsx,20.0,
428,Ourense,9,,,,0,0,0,2022_3T.xlsx,9.0,
429,Pontevedra,57,,,,16,0,1,2022_3T.xlsx,40.0,
430,Madrid,703,,,,421,25,9,2022_3T.xlsx,248.0,
431,Murcia,122,,,,46,3,2,2022_3T.xlsx,71.0,
432,Navarra,26,,,,9,1,0,2022_3T.xlsx,16.0,
433,Pais Vasco,148,,,,89,8,3,2022_3T.xlsx,48.0,
434,Araba/Álava,31,,,,16,1,0,2022_3T.xlsx,14.0,
435,Bizkaia,68,,,,48,5,2,2022_3T.xlsx,13.0,
436,Gipuzkoa,49,,,,25,2,1,2022_3T.xlsx,21.0,
437,La Rioja,24,,,,8,0,0,2022_3T.xlsx,16.0,
438,Ceuta y Melilla,2,,,,0,0,0,2022_3T.xlsx,2.0,
439,Ceuta,2,,,,0,0,0,2022_3T.xlsx,2.0,
440,Melilla,0,,,,0,0,0,2022_3T.xlsx,0.0,
441,Andalucía,861,,,,154,31,5,2022_4T.xlsx,671.0,
442,Almería,93,,,,20,1,1,2022_4T.xlsx,71.0,
443,Cádiz,132,,,,25,4,0,2022_4T.xlsx,103.0,
444,Córdoba,60,,,,10,1,0,2022_4T.xlsx,49.0,
445,Granada,96,,,,14,0,2,2022_4T.xlsx,80.0,
446,Huelva,49,,,,8,0,1,2022_4T.xlsx,40.0,
447,Jaén,27,,,,6,0,0,2022_4T.xlsx,21.0,
448,Málaga,149,,,,31,1,0,2022_4T.xlsx,117.0,
449,Sevilla,255,,,,40,24,1,2022_4T.xlsx,190.0,
450,Aragón,223,,,,29,4,1,2022_4T.xlsx,189.0,
451,Huesca,32,,,,2,0,0,2022_4T.xlsx,30.0,
452,Teruel,4,,,,0,1,0,2022_4T.xlsx,3.0,
453,Zaragoza,187,,,,27,3,1,2022_4T.xlsx,156.0,
454,Asturias,180,,,,21,2,0,2022_4T.xlsx,157.0,
455,"Balears, Illes",201,,,,23,1,0,2022_4T.xlsx,177.0,
456,Canarias,277,,,,28,1,2,2022_4T.xlsx,246.0,
457,Las Palmas de Gran Canaria,213,,,,15,0,1,2022_4T.xlsx,197.0,
458,Santa Cruz de Tenerife,64,,,,13,1,1,2022_4T.xlsx,49.0,
459,Cantabria,82,,,,7,0,1,2022_4T.xlsx,74.0,
460,Castilla y León,251,,,,39,8,2,2022_4T.xlsx,202.0,
461,Ávila,13,,,,2,0,0,2022_4T.xlsx,11.0,
462,Burgos,36,,,,10,4,0,2022_4T.xlsx,22.0,
463,León,31,,,,4,1,0,2022_4T.xlsx,26.0,
464,Palencia,6,,,,1,1,0,2022_4T.xlsx,4.0,
465,Salamanca,47,,,,8,0,1,2022_4T.xlsx,38.0,
466,Segovia,16,,,,3,0,0,2022_4T.xlsx,13.0,
467,Soria,15,,,,2,0,0,2022_4T.xlsx,13.0,
468,Valladolid,83,,,,7,2,1,2022_4T.xlsx,73.0,
469,Zamora,4,,,,2,0,0,2022_4T.xlsx,2.0,
470,Castilla-La Mancha,226,,,,38,2,2,2022_4T.xlsx,184.0,
471,Albacete,85,,,,13,0,1,2022_4T.xlsx,71.0,
472,Ciudad Real,2,,,,0,0,0,2022_4T.xlsx,2.0,
473,Cuenca,12,,,,2,0,0,2022_4T.xlsx,10.0,
474,Guadalajara,72,,,,7,1,0,2022_4T.xlsx,64.0,
475,Toledo,55,,,,16,1,1,2022_4T.xlsx,37.0,
476,Cataluña,1824,,,,292,11,3,2022_4T.xlsx,1518.0,
477,Barcelona,1465,,,,248,10,3,2022_4T.xlsx,1204.0,
478,Girona,216,,,,15,1,0,2022_4T.xlsx,200.0,
479,Lleida,119,,,,22,0,0,2022_4T.xlsx,97.0,
480,Tarragona,24,,,,7,0,0,2022_4T.xlsx,17.0,
481,Comunitat Valenciana,947,,,,244,11,4,2022_4T.xlsx,688.0,
482,Alicante,299,,,,79,3,1,2022_4T.xlsx,216.0,
483,Castellón,113,,,,30,2,0,2022_4T.xlsx,81.0,
484,Valencia,535,,,,135,6,3,2022_4T.xlsx,391.0,
485,Extremadura,92,,,,13,1,1,2022_4T.xlsx,77.0,
486,Badajoz,73,,,,9,0,1,2022_4T.xlsx,63.0,
487,Cáceres,19,,,,4,1,0,2022_4T.xlsx,14.0,
488,Galicia,281,,,,61,0,0,2022_4T.xlsx,220.0,
489,A Coruña,130,,,,31,0,0,2022_4T.xlsx,99.0,
490,Lugo,47,,,,9,0,0,2022_4T.xlsx,38.0,
491,Ourense,17,,,,2,0,0,2022_4T.xlsx,15.0,
492,Pontevedra,87,,,,19,0,0,2022_4T.xlsx,68.0,
493,Madrid,1333,,,,423,27,8,2022_4T.xlsx,875.0,
494,Murcia,282,,,,37,2,1,2022_4T.xlsx,242.0,
495,Navarra,34,,,,5,0,0,2022_4T.xlsx,29.0,
496,Pais Vasco,206,,,,51,9,4,2022_4T.xlsx,142.0,
497,Araba/Álava,30,,,,4,3,1,2022_4T.xlsx,22.0,
498,Bizkaia,111,,,,30,6,1,2022_4T.xlsx,74.0,
499,Gipuzkoa,65,,,,17,0,2,2022_4T.xlsx,46.0,
500,La Rioja,34,,,,2,1,0,2022_4T.xlsx,31.0,
501,Ceuta y Melilla,14,,,,1,0,0,2022_4T.xlsx,13.0,
502,Ceuta,12,,,,1,0,0,2022_4T.xlsx,11.0,
503,Melilla,2,,,,0,0,0,2022_4T.xlsx,2.0,
504,Andalucía,925,,,,100,5,4,2023_1T.xlsx,816.0,
505,Almería,97,,,,9,0,0,2023_1T.xlsx,88.0,
506,Cádiz,68,,,,6,1,0,2023_1T.xlsx,61.0,
507,Córdoba,51,,,,10,1,0,2023_1T.xlsx,40.0,
508,Granada,116,,,,10,0,0,2023_1T.xlsx,106.0,
509,Huelva,27,,,,3,1,0,2023_1T.xlsx,23.0,
510,Jaén,49,,,,5,0,0,2023_1T.xlsx,44.0,
511,Málaga,110,,,,16,0,1,2023_1T.xlsx,93.0,
512,Sevilla,407,,,,41,2,3,2023_1T.xlsx,361.0,
513,Aragón,263,,,,40,5,0,2023_1T.xlsx,218.0,
514,Huesca,27,,,,3,1,0,2023_1T.xlsx,23.0,
515,Teruel,17,,,,5,0,0,2023_1T.xlsx,12.0,
516,Zaragoza,219,,,,32,4,0,2023_1T.xlsx,183.0,
517,Asturias,158,,,,13,3,2,2023_1T.xlsx,140.0,
518,"Balears, Illes",263,,,,25,0,1,2023_1T.xlsx,237.0,
519,Canarias,239,,,,23,0,2,2023_1T.xlsx,214.0,
520,Las Palmas de Gran Canaria,165,,,,14,0,1,2023_1T.xlsx,150.0,
521,Santa Cruz de Tenerife,74,,,,9,0,1,2023_1T.xlsx,64.0,
522,Cantabria,30,,,,3,0,1,2023_1T.xlsx,26.0,
523,Castilla y León,180,,,,27,2,2,2023_1T.xlsx,149.0,
524,Ávila,8,,,,2,0,0,2023_1T.xlsx,6.0,
525,Burgos,44,,,,8,1,0,2023_1T.xlsx,35.0,
526,León,21,,,,1,1,0,2023_1T.xlsx,19.0,
527,Palencia,2,,,,1,0,0,2023_1T.xlsx,1.0,
528,Salamanca,44,,,,6,0,1,2023_1T.xlsx,37.0,
529,Segovia,4,,,,1,0,1,2023_1T.xlsx,2.0,
530,Soria,15,,,,0,0,0,2023_1T.xlsx,15.0,
531,Valladolid,33,,,,5,0,0,2023_1T.xlsx,28.0,
532,Zamora,9,,,,3,0,0,2023_1T.xlsx,6.0,
533,Castilla-La Mancha,124,,,,22,3,0,2023_1T.xlsx,99.0,
534,Albacete,21,,,,7,0,0,2023_1T.xlsx,14.0,
535,Ciudad Real,19,,,,8,2,0,2023_1T.xlsx,9.0,
536,Cuenca,10,,,,3,0,0,2023_1T.xlsx,7.0,
537,Guadalajara,21,,,,1,1,0,2023_1T.xlsx,19.0,
538,Toledo,53,,,,3,0,0,2023_1T.xlsx,50.0,
539,Cataluña,1860,,,,237,17,8,2023_1T.xlsx,1598.0,
540,Barcelona,1484,,,,210,13,8,2023_1T.xlsx,1253.0,
541,Girona,97,,,,6,2,0,2023_1T.xlsx,89.0,
542,Lleida,137,,,,9,1,0,2023_1T.xlsx,127.0,
543,Tarragona,142,,,,12,1,0,2023_1T.xlsx,129.0,
544,Comunitat Valenciana,888,,,,161,11,2,2023_1T.xlsx,714.0,
545,Alicante,247,,,,33,1,0,2023_1T.xlsx,213.0,
546,Castellón,104,,,,32,3,0,2023_1T.xlsx,69.0,
547,Valencia,537,,,,96,7,2,2023_1T.xlsx,432.0,
548,Extremadura,51,,,,6,0,0,2023_1T.xlsx,45.0,
549,Badajoz,49,,,,4,0,0,2023_1T.xlsx,45.0,
550,Cáceres,2,,,,2,0,0,2023_1T.xlsx,0.0,
551,Galicia,202,,,,30,1,0,2023_1T.xlsx,171.0,
552,A Coruña,51,,,,5,0,0,2023_1T.xlsx,46.0,
553,Lugo,32,,,,4,0,0,2023_1T.xlsx,28.0,
554,Ourense,12,,,,1,0,0,2023_1T.xlsx,11.0,
555,Pontevedra,107,,,,20,1,0,2023_1T.xlsx,86.0,
556,Madrid,884,,,,173,15,4,2023_1T.xlsx,692.0,
557,Murcia,229,,,,22,2,2,2023_1T.xlsx,203.0,
558,Navarra,22,,,,4,2,0,2023_1T.xlsx,16.0,
559,Pais Vasco,150,,,,38,5,4,2023_1T.xlsx,103.0,
560,Araba/Álava,17,,,,6,0,0,2023_1T.xlsx,11.0,
561,Bizkaia,47,,,,20,3,2,2023_1T.xlsx,22.0,
562,Gipuzkoa,86,,,,12,2,2,2023_1T.xlsx,70.0,
563,La Rioja,20,,,,7,1,0,2023_1T.xlsx,12.0,
564,Ceuta y Melilla,21,,,,1,0,1,2023_1T.xlsx,19.0,
565,Ceuta,17,,,,1,0,1,2023_1T.xlsx,15.0,
566,Melilla,4,,,,0,0,0,2023_1T.xlsx,4.0,
567,Andalucía,991,,,,108,8,5,2023_2T.xlsx,870.0,
568,Almería,204,,,,17,2,0,2023_2T.xlsx,185.0,
569,Cádiz,30,,,,4,0,0,2023_2T.xlsx,26.0,
570,Córdoba,43,,,,8,0,0,2023_2T.xlsx,35.0,
571,Granada,105,,,,12,2,1,2023_2T.xlsx,90.0,
572,Huelva,53,,,,2,1,0,2023_2T.xlsx,50.0,
573,Jaén,50,,,,6,1,0,2023_2T.xlsx,43.0,
574,Málaga,197,,,,24,2,1,2023_2T.xlsx,170.0,
575,Sevilla,309,,,,35,0,3,2023_2T.xlsx,271.0,
576,Aragón,190,,,,33,5,2,2023_2T.xlsx,150.0,
577,Huesca,54,,,,7,0,0,2023_2T.xlsx,47.0,
578,Teruel,11,,,,2,0,0,2023_2T.xlsx,9.0,
579,Zaragoza,125,,,,24,5,2,2023_2T.xlsx,94.0,
580,Asturias,129,,,,16,1,0,2023_2T.xlsx,112.0,
581,"Balears, Illes",228,,,,28,2,1,2023_2T.xlsx,197.0,
582,Canarias,617,,,,31,1,1,2023_2T.xlsx,584.0,
583,Las Palmas de Gran Canaria,391,,,,20,0,1,2023_2T.xlsx,370.0,
584,Santa Cruz de Tenerife,226,,,,11,1,0,2023_2T.xlsx,214.0,
585,Cantabria,47,,,,5,1,1,2023_2T.xlsx,40.0,
586,Castilla y León,339,,,,30,7,0,2023_2T.xlsx,302.0,
587,Ávila,33,,,,0,3,0,2023_2T.xlsx,30.0,
588,Burgos,31,,,,4,1,0,2023_2T.xlsx,26.0,
589,León,99,,,,5,0,0,2023_2T.xlsx,94.0,
590,Palencia,21,,,,1,2,0,2023_2T.xlsx,18.0,
591,Salamanca,40,,,,5,0,0,2023_2T.xlsx,35.0,
592,Segovia,29,,,,5,1,0,2023_2T.xlsx,23.0,
593,Soria,8,,,,0,0,0,2023_2T.xlsx,8.0,
594,Valladolid,77,,,,10,0,0,2023_2T.xlsx,67.0,
595,Zamora,1,,,,0,0,0,2023_2T.xlsx,1.0,
596,Castilla-La Mancha,211,,,,20,3,0,2023_2T.xlsx,188.0,
597,Albacete,24,,,,4,1,0,2023_2T.xlsx,19.0,
598,Ciudad Real,59,,,,9,0,0,2023_2T.xlsx,50.0,
599,Cuenca,21,,,,2,2,0,2023_2T.xlsx,17.0,
600,Guadalajara,60,,,,1,0,0,2023_2T.xlsx,59.0,
601,Toledo,47,,,,4,0,0,2023_2T.xlsx,43.0,
602,Cataluña,3008,,,,318,20,12,2023_2T.xlsx,2658.0,
603,Barcelona,2300,,,,285,18,10,2023_2T.xlsx,1987.0,
604,Girona,371,,,,17,2,1,2023_2T.xlsx,351.0,
605,Lleida,140,,,,6,0,1,2023_2T.xlsx,133.0,
606,Tarragona,197,,,,10,0,0,2023_2T.xlsx,187.0,
607,Comunitat Valenciana,1679,,,,222,5,6,2023_2T.xlsx,1446.0,
608,Alicante,606,,,,79,0,0,2023_2T.xlsx,527.0,
609,Castellón,150,,,,14,3,1,2023_2T.xlsx,132.0,
610,Valencia,923,,,,129,2,5,2023_2T.xlsx,787.0,
611,Extremadura,121,,,,15,2,1,2023_2T.xlsx,103.0,
612,Badajoz,62,,,,10,2,0,2023_2T.xlsx,50.0,
613,Cáceres,59,,,,5,0,1,2023_2T.xlsx,53.0,
614,Galicia,507,,,,73,3,2,2023_2T.xlsx,429.0,
615,A Coruña,254,,,,36,2,1,2023_2T.xlsx,215.0,
616,Lugo,73,,,,13,0,1,2023_2T.xlsx,59.0,
617,Ourense,26,,,,4,0,0,2023_2T.xlsx,22.0,
618,Pontevedra,154,,,,20,1,0,2023_2T.xlsx,133.0,
619,Madrid,1281,,,,187,12,7,2023_2T.xlsx,1075.0,
620,Murcia,291,,,,30,5,1,2023_2T.xlsx,255.0,
621,Navarra,120,,,,14,1,0,2023_2T.xlsx,105.0,
622,Pais Vasco,267,,,,66,9,5,2023_2T.xlsx,187.0,
623,Araba/Álava,45,,,,10,3,1,2023_2T.xlsx,31.0,
624,Bizkaia,147,,,,40,6,2,2023_2T.xlsx,99.0,
625,Gipuzkoa,75,,,,16,0,2,2023_2T.xlsx,57.0,
626,La Rioja,74,,,,11,0,1,2023_2T.xlsx,62.0,
627,Ceuta y Melilla,13,,,,0,0,0,2023_2T.xlsx,13.0,
628,Ceuta,13,,,,0,0,0,2023_2T.xlsx,13.0,
629,Melilla,0,,,,0,0,0,2023_2T.xlsx,0.0,
630,Andalucía,701,,,,102,5,2,2023_3T.xlsx,592.0,
631,Almería,71,,,,3,0,0,2023_3T.xlsx,68.0,
632,Cádiz,104,,,,14,0,0,2023_3T.xlsx,90.0,
633,Córdoba,33,,,,5,1,0,2023_3T.xlsx,27.0,
634,Granada,89,,,,13,0,0,2023_3T.xlsx,76.0,
635,Huelva,29,,,,3,0,0,2023_3T.xlsx,26.0,
636,Jaén,29,,,,2,0,0,2023_3T.xlsx,27.0,
637,Málaga,110,,,,17,1,0,2023_3T.xlsx,92.0,
638,Sevilla,236,,,,45,3,2,2023_3T.xlsx,186.0,
639,Aragón,189,,,,32,1,2,2023_3T.xlsx,154.0,
640,Huesca,30,,,,4,0,0,2023_3T.xlsx,26.0,
641,Teruel,6,,,,2,0,0,2023_3T.xlsx,4.0,
642,Zaragoza,153,,,,26,1,2,2023_3T.xlsx,124.0,
643,Asturias,142,,,,20,3,0,2023_3T.xlsx,119.0,
644,"Balears, Illes",273,,,,19,0,0,2023_3T.xlsx,254.0,
645,Canarias,397,,,,28,1,1,2023_3T.xlsx,367.0,
646,Las Palmas de Gran Canaria,179,,,,13,1,1,2023_3T.xlsx,164.0,
647,Santa Cruz de Tenerife,218,,,,15,0,0,2023_3T.xlsx,203.0,
648,Cantabria,45,,,,9,1,0,2023_3T.xlsx,35.0,
649,Castilla y León,257,,,,40,1,2,2023_3T.xlsx,214.0,
650,Ávila,9,,,,1,0,0,2023_3T.xlsx,8.0,
651,Burgos,34,,,,4,0,0,2023_3T.xlsx,30.0,
652,León,51,,,,7,0,0,2023_3T.xlsx,44.0,
653,Palencia,5,,,,1,0,0,2023_3T.xlsx,4.0,
654,Salamanca,31,,,,7,0,1,2023_3T.xlsx,23.0,
655,Segovia,17,,,,4,0,0,2023_3T.xlsx,13.0,
656,Soria,8,,,,3,0,0,2023_3T.xlsx,5.0,
657,Valladolid,92,,,,13,0,1,2023_3T.xlsx,78.0,
658,Zamora,10,,,,0,1,0,2023_3T.xlsx,9.0,
659,Castilla-La Mancha,294,,,,39,1,0,2023_3T.xlsx,254.0,
660,Albacete,108,,,,18,1,0,2023_3T.xlsx,89.0,
661,Ciudad Real,62,,,,9,0,0,2023_3T.xlsx,53.0,
662,Cuenca,40,,,,6,0,0,2023_3T.xlsx,34.0,
663,Guadalajara,45,,,,2,0,0,2023_3T.xlsx,43.0,
664,Toledo,39,,,,4,0,0,2023_3T.xlsx,35.0,
665,Cataluña,2471,,,,295,17,9,2023_3T.xlsx,2150.0,
666,Barcelona,1937,,,,251,13,7,2023_3T.xlsx,1666.0,
667,Girona,210,,,,25,1,0,2023_3T.xlsx,184.0,
668,Lleida,102,,,,7,2,2,2023_3T.xlsx,91.0,
669,Tarragona,222,,,,12,1,0,2023_3T.xlsx,209.0,
670,Comunitat Valenciana,935,,,,134,4,3,2023_3T.xlsx,794.0,
671,Alicante,328,,,,37,0,1,2023_3T.xlsx,290.0,
672,Castellón,94,,,,26,2,1,2023_3T.xlsx,65.0,
673,Valencia,513,,,,71,2,1,2023_3T.xlsx,439.0,
674,Extremadura,106,,,,15,1,1,2023_3T.xlsx,89.0,
675,Badajoz,81,,,,13,1,1,2023_3T.xlsx,66.0,
676,Cáceres,25,,,,2,0,0,2023_3T.xlsx,23.0,
677,Galicia,287,,,,46,2,4,2023_3T.xlsx,235.0,
678,A Coruña,147,,,,19,0,2,2023_3T.xlsx,126.0,
679,Lugo,35,,,,10,0,0,2023_3T.xlsx,25.0,
680,Ourense,15,,,,2,0,0,2023_3T.xlsx,13.0,
681,Pontevedra,90,,,,15,2,2,2023_3T.xlsx,71.0,
682,Madrid,1004,,,,161,11,4,2023_3T.xlsx,828.0,
683,Murcia,379,,,,26,0,3,2023_3T.xlsx,350.0,
684,Navarra,82,,,,10,0,0,2023_3T.xlsx,72.0,
685,Pais Vasco,197,,,,54,0,3,2023_3T.xlsx,140.0,
686,Araba/Álava,35,,,,8,0,0,2023_3T.xlsx,27.0,
687,Bizkaia,113,,,,29,0,1,2023_3T.xlsx,83.0,
688,Gipuzkoa,49,,,,17,0,2,2023_3T.xlsx,30.0,
689,La Rioja,37,,,,5,1,0,2023_3T.xlsx,31.0,
690,Ceuta y Melilla,16,,,,0,0,0,2023_3T.xlsx,16.0,
691,Ceuta,16,,,,0,0,0,2023_3T.xlsx,16.0,
692,Melilla,0,,,,0,0,0,2023_3T.xlsx,0.0,
693,Andalucía,1356,1022,184,,139,7,4,2023_4T.xlsx,,
694,Almería,212,185,12,,15,0,0,2023_4T.xlsx,,
695,Cádiz,172,147,3,,21,0,1,2023_4T.xlsx,,
696,Córdoba,88,66,12,,9,0,1,2023_4T.xlsx,,
697,Granada,93,70,13,,9,1,0,2023_4T.xlsx,,
698,Huelva,58,21,28,,7,2,0,2023_4T.xlsx,,
699,Jaén,33,25,1,,7,0,0,2023_4T.xlsx,,
700,Málaga,280,246,9,,24,1,0,2023_4T.xlsx,,
701,Sevilla,420,262,106,,47,3,2,2023_4T.xlsx,,
702,Aragón,167,113,28,,22,1,3,2023_4T.xlsx,,
703,Huesca,48,22,18,,7,0,1,2023_4T.xlsx,,
704,Teruel,13,4,7,,2,0,0,2023_4T.xlsx,,
705,Zaragoza,106,87,3,,13,1,2,2023_4T.xlsx,,
706,Asturias,202,151,29,,22,0,0,2023_4T.xlsx,,
707,"Balears, Illes",238,162,49,,27,0,0,2023_4T.xlsx,,
708,Canarias,684,533,117,,32,1,1,2023_4T.xlsx,,
709,Las Palmas de Gran Canaria,423,338,63,,20,1,1,2023_4T.xlsx,,
710,Santa Cruz de Tenerife,261,195,54,,12,0,0,2023_4T.xlsx,,
711,Cantabria,118,104,3,,10,0,1,2023_4T.xlsx,,
712,Castilla y León,340,256,41,,40,1,2,2023_4T.xlsx,,
713,Ávila,3,2,0,,1,0,0,2023_4T.xlsx,,
714,Burgos,81,64,5,,11,1,0,2023_4T.xlsx,,
715,León,69,58,4,,7,0,0,2023_4T.xlsx,,
716,Palencia,5,4,1,,0,0,0,2023_4T.xlsx,,
717,Salamanca,75,58,8,,8,0,1,2023_4T.xlsx,,
718,Segovia,4,4,0,,0,0,0,2023_4T.xlsx,,
719,Soria,7,5,1,,1,0,0,2023_4T.xlsx,,
720,Valladolid,90,57,20,,12,0,1,2023_4T.xlsx,,
721,Zamora,6,4,2,,0,0,0,2023_4T.xlsx,,
722,Castilla-La Mancha,371,296,20,,49,3,3,2023_4T.xlsx,,
723,Albacete,96,64,12,,18,1,1,2023_4T.xlsx,,
724,Ciudad Real,59,44,3,,11,1,0,2023_4T.xlsx,,
725,Cuenca,22,19,0,,3,0,0,2023_4T.xlsx,,
726,Guadalajara,77,70,3,,3,0,1,2023_4T.xlsx,,
727,Toledo,117,99,2,,14,1,1,2023_4T.xlsx,,
728,Cataluña,2699,1791,524,,359,17,8,2023_4T.xlsx,,
729,Barcelona,1932,1228,384,,298,15,7,2023_4T.xlsx,,
730,Girona,240,190,31,,19,0,0,2023_4T.xlsx,,
731,Lleida,160,112,32,,14,1,1,2023_4T.xlsx,,
732,Tarragona,367,261,77,,28,1,0,2023_4T.xlsx,,
733,Comunitat Valenciana,1461,1087,167,,197,6,4,2023_4T.xlsx,,
734,Alicante,560,390,88,,78,1,3,2023_4T.xlsx,,
735,Castellón,94,53,31,,8,2,0,2023_4T.xlsx,,
736,Valencia,807,644,48,,111,3,1,2023_4T.xlsx,,
737,Extremadura,205,172,18,,11,1,3,2023_4T.xlsx,,
738,Badajoz,135,114,8,,11,0,2,2023_4T.xlsx,,
739,Cáceres,70,58,10,,0,1,1,2023_4T.xlsx,,
740,Galicia,341,235,27,,73,4,2,2023_4T.xlsx,,
741,A Coruña,127,88,9,,25,4,1,2023_4T.xlsx,,
742,Lugo,40,27,0,,13,0,0,2023_4T.xlsx,,
743,Ourense,27,22,3,,2,0,0,2023_4T.xlsx,,
744,Pontevedra,147,98,15,,33,0,1,2023_4T.xlsx,,
745,Madrid,1416,933,197,,254,23,9,2023_4T.xlsx,,
