,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
350,Cataluña,324,143,38,37,18,14,4,0,70,2022_2T.xlsx
351,Barcelona,286,127,33,32,16,13,4,0,61,2022_2T.xlsx
352,Girona,11,2,2,3,2,0,0,0,2,2022_2T.xlsx
353,Lleida,8,4,2,0,0,0,0,0,2,2022_2T.xlsx
354,Tarragona,19,10,1,2,0,1,0,0,5,2022_2T.xlsx
355,Comunitat Valenciana,234,121,27,16,8,10,2,0,50,2022_2T.xlsx
356,Alicante,57,33,7,6,1,1,0,0,9,2022_2T.xlsx
357,Castellón,18,12,2,1,0,0,1,0,2,2022_2T.xlsx
358,Valencia,159,76,18,9,7,9,1,0,39,2022_2T.xlsx
359,Extremadura,8,6,1,0,0,0,0,0,1,2022_2T.xlsx
360,Badajoz,4,4,0,0,0,0,0,0,0,2022_2T.xlsx
361,Cáceres,4,2,1,0,0,0,0,0,1,2022_2T.xlsx
362,Galicia,47,26,3,3,2,4,0,0,9,2022_2T.xlsx
363,A Coruña,16,11,0,1,0,2,0,0,2,2022_2T.xlsx
364,Lugo,14,6,2,0,1,1,0,0,4,2022_2T.xlsx
365,Ourense,6,4,0,0,0,0,0,0,2,2022_2T.xlsx
366,Pontevedra,11,5,1,2,1,1,0,0,1,2022_2T.xlsx
367,Madrid,259,140,21,20,6,9,2,1,60,2022_2T.xlsx
368,Murcia,28,16,2,4,2,2,0,0,2,2022_2T.xlsx
369,Navarra,10,4,0,3,1,1,0,0,1,2022_2T.xlsx
370,Pais Vasco,64,34,12,3,3,5,1,0,6,2022_2T.xlsx
371,Araba/Álava,1,1,0,0,0,0,0,0,0,2022_2T.xlsx
372,Bizkaia,42,23,4,2,3,5,1,0,4,2022_2T.xlsx
373,Gipuzkoa,21,10,8,1,0,0,0,0,2,2022_2T.xlsx
374,La Rioja,4,2,1,0,0,0,0,0,1,2022_2T.xlsx
375,Ceuta y Melilla,3,2,0,0,0,0,0,0,1,2022_2T.xlsx
376,Ceuta,2,1,0,0,0,0,0,0,1,2022_2T.xlsx
377,Melilla,1,1,0,0,0,0,0,0,0,2022_2T.xlsx
378,Andalucía,194,87,28,16,5,13,1,0,44,2022_3T.xlsx
379,Almería,20,9,2,4,0,1,0,0,4,2022_3T.xlsx
380,Cádiz,17,4,3,2,0,2,0,0,6,2022_3T.xlsx
381,Córdoba,25,13,4,1,0,2,0,0,5,2022_3T.xlsx
382,Granada,21,13,1,2,1,0,1,0,3,2022_3T.xlsx
383,Huelva,13,5,0,1,1,0,0,0,6,2022_3T.xlsx
384,Jaén,9,6,0,1,0,0,0,0,2,2022_3T.xlsx
385,Málaga,37,17,7,2,1,2,0,0,8,2022_3T.xlsx
386,Sevilla,52,20,11,3,2,6,0,0,10,2022_3T.xlsx
387,Aragón,52,20,11,5,0,1,2,0,13,2022_3T.xlsx
388,Huesca,5,2,1,0,0,0,1,0,1,2022_3T.xlsx
389,Teruel,1,0,0,0,0,0,0,0,1,2022_3T.xlsx
390,Zaragoza,46,18,10,5,0,1,1,0,11,2022_3T.xlsx
391,Asturias,29,11,5,2,2,4,0,0,5,2022_3T.xlsx
392,"Balears, Illes",26,14,2,2,2,0,0,0,6,2022_3T.xlsx
393,Canarias,28,13,2,0,2,1,0,0,10,2022_3T.xlsx
394,Las Palmas de Gran Canaria,15,7,1,0,1,1,0,0,5,2022_3T.xlsx
395,Santa Cruz de Tenerife,13,6,1,0,1,0,0,0,5,2022_3T.xlsx
396,Cantabria,11,5,1,2,0,0,0,0,3,2022_3T.xlsx
397,Castilla y León,42,18,3,2,1,3,1,0,14,2022_3T.xlsx
398,Ávila,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
399,Burgos,4,3,0,0,0,0,0,0,1,2022_3T.xlsx
400,León,6,2,0,0,1,1,0,0,2,2022_3T.xlsx
401,Palencia,4,1,0,1,0,0,0,0,2,2022_3T.xlsx
402,Salamanca,5,4,0,0,0,0,1,0,0,2022_3T.xlsx
403,Segovia,7,4,0,1,0,1,0,0,1,2022_3T.xlsx
404,Soria,1,0,0,0,0,0,0,0,1,2022_3T.xlsx
405,Valladolid,15,4,3,0,0,1,0,0,7,2022_3T.xlsx
406,Zamora,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
407,Castilla-La Mancha,47,21,8,6,1,1,0,0,10,2022_3T.xlsx
408,Albacete,16,6,2,3,0,1,0,0,4,2022_3T.xlsx
409,Ciudad Real,3,0,0,0,0,0,0,0,3,2022_3T.xlsx
410,Cuenca,7,5,0,2,0,0,0,0,0,2022_3T.xlsx
411,Guadalajara,4,1,1,0,1,0,0,0,1,2022_3T.xlsx
412,Toledo,17,9,5,1,0,0,0,0,2,2022_3T.xlsx
413,Cataluña,452,209,46,39,20,19,9,0,110,2022_3T.xlsx
414,Barcelona,368,176,38,32,16,17,7,0,82,2022_3T.xlsx
415,Girona,38,17,4,3,1,1,1,0,11,2022_3T.xlsx
416,Lleida,31,12,1,3,2,1,0,0,12,2022_3T.xlsx
417,Tarragona,15,4,3,1,1,0,1,0,5,2022_3T.xlsx
418,Comunitat Valenciana,264,134,34,24,17,7,6,0,42,2022_3T.xlsx
419,Alicante,75,40,13,9,2,2,1,0,8,2022_3T.xlsx
420,Castellón,24,12,3,3,2,1,0,0,3,2022_3T.xlsx
421,Valencia,165,82,18,12,13,4,5,0,31,2022_3T.xlsx
422,Extremadura,25,10,5,1,0,1,1,0,7,2022_3T.xlsx
423,Badajoz,13,4,1,1,0,1,1,0,5,2022_3T.xlsx
424,Cáceres,12,6,4,0,0,0,0,0,2,2022_3T.xlsx
425,Galicia,59,32,5,10,4,1,2,0,5,2022_3T.xlsx
426,A Coruña,21,9,3,5,0,0,2,0,2,2022_3T.xlsx
427,Lugo,21,11,1,3,3,1,0,0,2,2022_3T.xlsx
428,Ourense,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
429,Pontevedra,17,12,1,2,1,0,0,0,1,2022_3T.xlsx
430,Madrid,455,253,48,34,21,12,5,0,82,2022_3T.xlsx
431,Murcia,51,25,5,2,3,2,2,0,12,2022_3T.xlsx
432,Navarra,10,6,1,0,0,1,0,0,2,2022_3T.xlsx
433,Pais Vasco,100,48,11,10,8,4,2,0,17,2022_3T.xlsx
434,Araba/Álava,17,12,1,0,2,0,0,0,2,2022_3T.xlsx
435,Bizkaia,55,24,4,6,6,4,2,0,9,2022_3T.xlsx
436,Gipuzkoa,28,12,6,4,0,0,0,0,6,2022_3T.xlsx
437,La Rioja,8,3,1,0,0,0,0,0,4,2022_3T.xlsx
438,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
439,Ceuta,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
440,Melilla,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
441,Andalucía,190,92,14,21,7,6,3,2,45,2022_4T.xlsx
442,Almería,22,12,4,1,1,3,0,0,1,2022_4T.xlsx
443,Cádiz,29,15,2,3,2,1,1,0,5,2022_4T.xlsx
444,Córdoba,11,4,2,1,0,0,0,0,4,2022_4T.xlsx
445,Granada,16,7,1,3,1,0,1,0,3,2022_4T.xlsx
446,Huelva,9,5,2,0,0,0,0,0,2,2022_4T.xlsx
447,Jaén,6,4,0,0,0,0,1,0,1,2022_4T.xlsx
448,Málaga,32,18,2,3,1,0,0,0,8,2022_4T.xlsx
449,Sevilla,65,27,1,10,2,2,0,2,21,2022_4T.xlsx
450,Aragón,34,15,7,3,2,4,0,0,3,2022_4T.xlsx
451,Huesca,2,0,1,0,1,0,0,0,0,2022_4T.xlsx
452,Teruel,1,0,0,0,1,0,0,0,0,2022_4T.xlsx
453,Zaragoza,31,15,6,3,0,4,0,0,3,2022_4T.xlsx
454,Asturias,23,9,5,2,3,3,0,0,1,2022_4T.xlsx
455,"Balears, Illes",24,12,1,1,2,1,0,0,7,2022_4T.xlsx
456,Canarias,31,20,2,0,1,2,0,0,6,2022_4T.xlsx
457,Las Palmas de Gran Canaria,16,8,2,0,1,2,0,0,3,2022_4T.xlsx
458,Santa Cruz de Tenerife,15,12,0,0,0,0,0,0,3,2022_4T.xlsx
459,Cantabria,8,3,2,0,0,1,0,0,2,2022_4T.xlsx
460,Castilla y León,49,24,4,2,6,4,0,0,9,2022_4T.xlsx
461,Ávila,2,2,0,0,0,0,0,0,0,2022_4T.xlsx
462,Burgos,14,7,2,1,2,0,0,0,2,2022_4T.xlsx
463,León,5,1,0,0,2,0,0,0,2,2022_4T.xlsx
464,Palencia,2,1,0,0,0,1,0,0,0,2022_4T.xlsx
465,Salamanca,9,3,1,1,0,1,0,0,3,2022_4T.xlsx
466,Segovia,3,2,0,0,0,0,0,0,1,2022_4T.xlsx
467,Soria,2,2,0,0,0,0,0,0,0,2022_4T.xlsx
468,Valladolid,10,5,1,0,2,1,0,0,1,2022_4T.xlsx
469,Zamora,2,1,0,0,0,1,0,0,0,2022_4T.xlsx
470,Castilla-La Mancha,42,18,3,4,5,2,2,0,8,2022_4T.xlsx
471,Albacete,14,6,0,2,1,1,1,0,3,2022_4T.xlsx
472,Ciudad Real,0,0,0,0,0,0,0,0,0,2022_4T.xlsx
473,Cuenca,2,0,0,0,2,0,0,0,0,2022_4T.xlsx
474,Guadalajara,8,3,0,0,0,1,0,0,4,2022_4T.xlsx
475,Toledo,18,9,3,2,2,0,1,0,1,2022_4T.xlsx
476,Cataluña,306,139,38,21,17,17,7,0,67,2022_4T.xlsx
477,Barcelona,261,120,31,19,13,14,7,0,57,2022_4T.xlsx
478,Girona,16,6,3,0,3,2,0,0,2,2022_4T.xlsx
479,Lleida,22,11,2,1,0,1,0,0,7,2022_4T.xlsx
480,Tarragona,7,2,2,1,1,0,0,0,1,2022_4T.xlsx
481,Comunitat Valenciana,259,128,38,22,16,10,5,0,40,2022_4T.xlsx
482,Alicante,83,37,18,8,4,3,0,0,13,2022_4T.xlsx
483,Castellón,32,18,4,1,3,2,1,0,3,2022_4T.xlsx
484,Valencia,144,73,16,13,9,5,4,0,24,2022_4T.xlsx
485,Extremadura,15,9,1,0,1,0,1,0,3,2022_4T.xlsx
486,Badajoz,10,5,1,0,0,0,1,0,3,2022_4T.xlsx
487,Cáceres,5,4,0,0,1,0,0,0,0,2022_4T.xlsx
488,Galicia,61,37,8,3,4,2,2,0,5,2022_4T.xlsx
489,A Coruña,31,20,3,2,2,2,0,0,2,2022_4T.xlsx
490,Lugo,9,5,2,0,1,0,0,0,1,2022_4T.xlsx
491,Ourense,2,2,0,0,0,0,0,0,0,2022_4T.xlsx
492,Pontevedra,19,10,3,1,1,0,2,0,2,2022_4T.xlsx
493,Madrid,458,224,56,34,26,14,13,0,91,2022_4T.xlsx
494,Murcia,40,12,5,3,3,4,4,0,9,2022_4T.xlsx
495,Navarra,5,4,1,0,0,0,0,0,0,2022_4T.xlsx
496,Pais Vasco,64,32,8,9,5,3,1,0,6,2022_4T.xlsx
497,Araba/Álava,8,3,3,2,0,0,0,0,0,2022_4T.xlsx
498,Bizkaia,37,22,3,4,4,1,1,0,2,2022_4T.xlsx
499,Gipuzkoa,19,7,2,3,1,2,0,0,4,2022_4T.xlsx
500,La Rioja,3,1,0,1,0,0,1,0,0,2022_4T.xlsx
501,Ceuta y Melilla,1,0,0,0,0,0,0,0,1,2022_4T.xlsx
502,Ceuta,1,0,0,0,0,0,0,0,1,2022_4T.xlsx
503,Melilla,0,0,0,0,0,0,0,0,0,2022_4T.xlsx
504,Andalucía,109,35,9,10,6,6,1,0,42,2023_1T.xlsx
505,Almería,9,3,2,2,0,0,0,0,2,2023_1T.xlsx
506,Cádiz,7,4,2,0,0,0,0,0,1,2023_1T.xlsx
507,Córdoba,11,3,1,2,0,0,1,0,4,2023_1T.xlsx
508,Granada,10,2,0,0,3,1,0,0,4,2023_1T.xlsx
509,Huelva,4,1,0,0,0,0,0,0,3,2023_1T.xlsx
510,Jaén,5,1,0,0,1,0,0,0,3,2023_1T.xlsx
511,Málaga,17,3,1,2,0,3,0,0,8,2023_1T.xlsx
512,Sevilla,46,18,3,4,2,2,0,0,17,2023_1T.xlsx
513,Aragón,45,21,5,6,1,4,0,0,8,2023_1T.xlsx
514,Huesca,4,3,0,1,0,0,0,0,0,2023_1T.xlsx
515,Teruel,5,4,0,1,0,0,0,0,0,2023_1T.xlsx
516,Zaragoza,36,14,5,4,1,4,0,0,8,2023_1T.xlsx
517,Asturias,18,7,1,5,1,1,0,0,3,2023_1T.xlsx
518,"Balears, Illes",26,8,3,2,0,2,1,0,10,2023_1T.xlsx
519,Canarias,25,11,3,0,1,1,1,0,8,2023_1T.xlsx
520,Las Palmas de Gran Canaria,15,4,1,0,1,1,1,0,7,2023_1T.xlsx
521,Santa Cruz de Tenerife,10,7,2,0,0,0,0,0,1,2023_1T.xlsx
522,Cantabria,4,2,0,0,1,0,0,0,1,2023_1T.xlsx
523,Castilla y León,31,10,3,1,3,4,0,0,10,2023_1T.xlsx
524,Ávila,2,2,0,0,0,0,0,0,0,2023_1T.xlsx
525,Burgos,9,3,0,0,2,1,0,0,3,2023_1T.xlsx
526,León,2,0,1,0,0,0,0,0,1,2023_1T.xlsx
527,Palencia,1,1,0,0,0,0,0,0,0,2023_1T.xlsx
528,Salamanca,7,2,2,0,0,0,0,0,3,2023_1T.xlsx
529,Segovia,2,1,0,0,0,1,0,0,0,2023_1T.xlsx
530,Soria,0,0,0,0,0,0,0,0,0,2023_1T.xlsx
531,Valladolid,5,1,0,1,1,1,0,0,1,2023_1T.xlsx
532,Zamora,3,0,0,0,0,1,0,0,2,2023_1T.xlsx
533,Castilla-La Mancha,25,11,2,2,1,3,1,0,5,2023_1T.xlsx
534,Albacete,7,3,1,1,0,0,0,0,2,2023_1T.xlsx
535,Ciudad Real,10,4,0,0,1,2,1,0,2,2023_1T.xlsx
536,Cuenca,3,2,0,0,0,1,0,0,0,2023_1T.xlsx
537,Guadalajara,2,0,1,0,0,0,0,0,1,2023_1T.xlsx
538,Toledo,3,2,0,1,0,0,0,0,0,2023_1T.xlsx
539,Cataluña,262,102,13,26,18,16,5,0,82,2023_1T.xlsx
540,Barcelona,231,94,12,23,18,12,2,0,70,2023_1T.xlsx
541,Girona,8,1,0,0,0,2,0,0,5,2023_1T.xlsx
542,Lleida,10,3,0,2,0,1,0,0,4,2023_1T.xlsx
543,Tarragona,13,4,1,1,0,1,3,0,3,2023_1T.xlsx
544,Comunitat Valenciana,174,62,27,10,13,10,4,0,48,2023_1T.xlsx
545,Alicante,34,9,4,3,4,1,1,0,12,2023_1T.xlsx
546,Castellón,35,15,3,3,1,2,2,0,9,2023_1T.xlsx
547,Valencia,105,38,20,4,8,7,1,0,27,2023_1T.xlsx
548,Extremadura,6,2,0,2,0,0,0,0,2,2023_1T.xlsx
549,Badajoz,4,1,0,1,0,0,0,0,2,2023_1T.xlsx
550,Cáceres,2,1,0,1,0,0,0,0,0,2023_1T.xlsx
551,Galicia,31,12,3,3,6,4,0,0,3,2023_1T.xlsx
552,A Coruña,5,2,0,0,1,0,0,0,2,2023_1T.xlsx
553,Lugo,4,1,0,1,0,2,0,0,0,2023_1T.xlsx
554,Ourense,1,0,0,0,0,0,0,0,1,2023_1T.xlsx
555,Pontevedra,21,9,3,2,5,2,0,0,0,2023_1T.xlsx
556,Madrid,192,71,17,18,13,9,4,0,60,2023_1T.xlsx
557,Murcia,26,10,2,3,3,2,1,0,5,2023_1T.xlsx
558,Navarra,6,4,1,0,0,0,1,0,0,2023_1T.xlsx
559,Pais Vasco,47,17,5,3,2,4,1,0,15,2023_1T.xlsx
560,Araba/Álava,6,3,0,1,0,0,0,0,2,2023_1T.xlsx
561,Bizkaia,25,8,3,1,1,2,1,0,9,2023_1T.xlsx
562,Gipuzkoa,16,6,2,1,1,2,0,0,4,2023_1T.xlsx
563,La Rioja,8,5,1,0,2,0,0,0,0,2023_1T.xlsx
564,Ceuta y Melilla,2,0,0,0,0,1,0,0,1,2023_1T.xlsx
565,Ceuta,2,0,0,0,0,1,0,0,1,2023_1T.xlsx
566,Melilla,0,0,0,0,0,0,0,0,0,2023_1T.xlsx
567,Andalucía,121,55,14,13,10,6,1,0,22,2023_2T.xlsx
568,Almería,19,14,0,2,1,0,0,0,2,2023_2T.xlsx
569,Cádiz,4,1,1,0,0,1,0,0,1,2023_2T.xlsx
570,Córdoba,8,5,0,0,1,0,1,0,1,2023_2T.xlsx
571,Granada,15,8,2,1,0,2,0,0,2,2023_2T.xlsx
572,Huelva,3,1,1,1,0,0,0,0,0,2023_2T.xlsx
573,Jaén,7,1,1,1,0,1,0,0,3,2023_2T.xlsx
574,Málaga,27,10,3,3,5,1,0,0,5,2023_2T.xlsx
575,Sevilla,38,15,6,5,3,1,0,0,8,2023_2T.xlsx
576,Aragón,40,17,7,4,4,2,1,0,5,2023_2T.xlsx
577,Huesca,7,4,1,0,1,1,0,0,0,2023_2T.xlsx
578,Teruel,2,0,1,0,0,0,0,0,1,2023_2T.xlsx
579,Zaragoza,31,13,5,4,3,1,1,0,4,2023_2T.xlsx
580,Asturias,17,5,0,2,2,2,0,0,6,2023_2T.xlsx
581,"Balears, Illes",31,13,4,2,1,1,0,0,10,2023_2T.xlsx
582,Canarias,33,15,6,2,2,0,0,0,8,2023_2T.xlsx
583,Las Palmas de Gran Canaria,21,9,4,2,2,0,0,0,4,2023_2T.xlsx
584,Santa Cruz de Tenerife,12,6,2,0,0,0,0,0,4,2023_2T.xlsx
585,Cantabria,7,2,0,1,1,0,1,0,2,2023_2T.xlsx
586,Castilla y León,37,15,6,3,2,4,0,0,7,2023_2T.xlsx
587,Ávila,3,3,0,0,0,0,0,0,0,2023_2T.xlsx
588,Burgos,5,1,1,1,0,0,0,0,2,2023_2T.xlsx
589,León,5,3,0,1,0,0,0,0,1,2023_2T.xlsx
590,Palencia,3,0,1,0,0,0,0,0,2,2023_2T.xlsx
591,Salamanca,5,2,0,1,0,1,0,0,1,2023_2T.xlsx
592,Segovia,6,2,0,0,1,3,0,0,0,2023_2T.xlsx
593,Soria,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
594,Valladolid,10,4,4,0,1,0,0,0,1,2023_2T.xlsx
595,Zamora,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
596,Castilla-La Mancha,23,11,1,0,2,2,0,0,7,2023_2T.xlsx
597,Albacete,5,4,0,0,1,0,0,0,0,2023_2T.xlsx
598,Ciudad Real,9,2,1,0,0,1,0,0,5,2023_2T.xlsx
599,Cuenca,4,1,0,0,1,1,0,0,1,2023_2T.xlsx
600,Guadalajara,1,1,0,0,0,0,0,0,0,2023_2T.xlsx
601,Toledo,4,3,0,0,0,0,0,0,1,2023_2T.xlsx
602,Cataluña,350,129,49,34,35,27,6,0,70,2023_2T.xlsx
603,Barcelona,313,117,42,31,32,24,5,0,62,2023_2T.xlsx
604,Girona,20,6,3,2,2,2,1,0,4,2023_2T.xlsx
605,Lleida,7,4,1,0,0,0,0,0,2,2023_2T.xlsx
606,Tarragona,10,2,3,1,1,1,0,0,2,2023_2T.xlsx
607,Comunitat Valenciana,233,91,34,28,12,14,7,0,47,2023_2T.xlsx
608,Alicante,79,32,12,12,3,5,1,0,14,2023_2T.xlsx
609,Castellón,18,5,2,3,0,1,2,0,5,2023_2T.xlsx
610,Valencia,136,54,20,13,9,8,4,0,28,2023_2T.xlsx
611,Extremadura,18,5,0,2,3,2,0,0,6,2023_2T.xlsx
612,Badajoz,12,2,0,1,3,2,0,0,4,2023_2T.xlsx
613,Cáceres,6,3,0,1,0,0,0,0,2,2023_2T.xlsx
614,Galicia,78,30,7,8,7,3,2,0,21,2023_2T.xlsx
615,A Coruña,39,15,4,5,2,2,1,0,10,2023_2T.xlsx
616,Lugo,14,4,1,1,1,0,1,0,6,2023_2T.xlsx
617,Ourense,4,3,0,0,0,1,0,0,0,2023_2T.xlsx
618,Pontevedra,21,8,2,2,4,0,0,0,5,2023_2T.xlsx
619,Madrid,206,91,18,16,14,8,0,0,59,2023_2T.xlsx
620,Murcia,36,15,1,1,4,2,5,0,8,2023_2T.xlsx
621,Navarra,15,4,2,2,1,2,2,0,2,2023_2T.xlsx
622,Pais Vasco,80,22,16,13,10,2,1,0,16,2023_2T.xlsx
623,Araba/Álava,14,5,4,2,3,0,0,0,0,2023_2T.xlsx
624,Bizkaia,48,13,10,8,6,2,1,0,8,2023_2T.xlsx
625,Gipuzkoa,18,4,2,3,1,0,0,0,8,2023_2T.xlsx
626,La Rioja,12,3,2,3,1,1,0,0,2,2023_2T.xlsx
627,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
628,Ceuta,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
629,Melilla,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
630,Andalucía,109,45,11,9,8,5,2,1,28,2023_3T.xlsx
631,Almería,3,0,1,0,2,0,0,0,0,2023_3T.xlsx
632,Cádiz,14,6,1,2,1,1,0,0,3,2023_3T.xlsx
633,Córdoba,6,4,0,1,0,0,0,0,1,2023_3T.xlsx
634,Granada,13,4,0,2,0,0,0,1,6,2023_3T.xlsx
635,Huelva,3,1,0,0,0,0,0,0,2,2023_3T.xlsx
636,Jaén,2,0,0,1,0,0,0,0,1,2023_3T.xlsx
637,Málaga,18,10,2,2,1,0,1,0,2,2023_3T.xlsx
638,Sevilla,50,20,7,1,4,4,1,0,13,2023_3T.xlsx
639,Aragón,35,15,4,1,4,3,2,0,6,2023_3T.xlsx
640,Huesca,4,0,0,0,1,1,1,0,1,2023_3T.xlsx
641,Teruel,2,1,0,0,0,0,1,0,0,2023_3T.xlsx
642,Zaragoza,29,14,4,1,3,2,0,0,5,2023_3T.xlsx
643,Asturias,23,7,2,7,2,1,0,0,4,2023_3T.xlsx
644,"Balears, Illes",19,10,2,1,0,1,0,0,5,2023_3T.xlsx
645,Canarias,30,13,2,7,0,1,0,0,7,2023_3T.xlsx
646,Las Palmas de Gran Canaria,15,4,1,5,0,0,0,0,5,2023_3T.xlsx
647,Santa Cruz de Tenerife,15,9,1,2,0,1,0,0,2,2023_3T.xlsx
648,Cantabria,10,4,1,4,0,0,0,0,1,2023_3T.xlsx
649,Castilla y León,43,20,6,2,2,3,1,0,9,2023_3T.xlsx
650,Ávila,1,0,0,0,0,0,0,0,1,2023_3T.xlsx
651,Burgos,4,1,2,0,0,0,0,0,1,2023_3T.xlsx
652,León,7,3,2,0,1,1,0,0,0,2023_3T.xlsx
653,Palencia,1,1,0,0,0,0,0,0,0,2023_3T.xlsx
654,Salamanca,8,5,0,1,0,0,0,0,2,2023_3T.xlsx
655,Segovia,4,2,0,1,1,0,0,0,0,2023_3T.xlsx
656,Soria,3,2,0,0,0,0,0,0,1,2023_3T.xlsx
657,Valladolid,14,6,2,0,0,2,0,0,4,2023_3T.xlsx
658,Zamora,1,0,0,0,0,0,1,0,0,2023_3T.xlsx
659,Castilla-La Mancha,40,18,4,2,5,0,0,0,11,2023_3T.xlsx
660,Albacete,19,10,1,1,2,0,0,0,5,2023_3T.xlsx
661,Ciudad Real,9,3,0,0,1,0,0,0,5,2023_3T.xlsx
662,Cuenca,6,3,2,1,0,0,0,0,0,2023_3T.xlsx
663,Guadalajara,2,1,0,0,1,0,0,0,0,2023_3T.xlsx
664,Toledo,4,1,1,0,1,0,0,0,1,2023_3T.xlsx
665,Cataluña,321,144,32,39,16,8,3,0,79,2023_3T.xlsx
666,Barcelona,271,118,29,33,16,7,3,0,65,2023_3T.xlsx
667,Girona,26,12,2,4,0,0,0,0,8,2023_3T.xlsx
668,Lleida,11,6,0,0,0,0,0,0,5,2023_3T.xlsx
669,Tarragona,13,8,1,2,0,1,0,0,1,2023_3T.xlsx
670,Comunitat Valenciana,141,56,16,10,14,15,2,0,28,2023_3T.xlsx
671,Alicante,38,17,4,1,4,2,1,0,9,2023_3T.xlsx
672,Castellón,29,9,2,1,2,10,0,0,5,2023_3T.xlsx
673,Valencia,74,30,10,8,8,3,1,0,14,2023_3T.xlsx
674,Extremadura,17,9,2,0,0,0,2,0,4,2023_3T.xlsx
675,Badajoz,15,8,2,0,0,0,1,0,4,2023_3T.xlsx
676,Cáceres,2,1,0,0,0,0,1,0,0,2023_3T.xlsx
677,Galicia,52,28,8,6,2,1,0,0,7,2023_3T.xlsx
678,A Coruña,21,12,3,3,1,0,0,0,2,2023_3T.xlsx
679,Lugo,10,3,2,1,1,1,0,0,2,2023_3T.xlsx
680,Ourense,2,1,1,0,0,0,0,0,0,2023_3T.xlsx
681,Pontevedra,19,12,2,2,0,0,0,0,3,2023_3T.xlsx
682,Madrid,176,76,21,18,8,3,6,0,44,2023_3T.xlsx
683,Murcia,29,13,1,4,1,2,0,0,8,2023_3T.xlsx
684,Navarra,10,3,0,2,2,1,1,0,1,2023_3T.xlsx
685,Pais Vasco,57,29,3,9,5,3,2,0,6,2023_3T.xlsx
686,Araba/Álava,8,3,0,3,1,0,0,0,1,2023_3T.xlsx
687,Bizkaia,30,17,2,3,3,1,0,0,4,2023_3T.xlsx
688,Gipuzkoa,19,9,1,3,1,2,2,0,1,2023_3T.xlsx
689,La Rioja,6,3,0,2,1,0,0,0,0,2023_3T.xlsx
690,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
691,Ceuta,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
692,Melilla,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
693,Andalucía,150,57,21,12,8,9,6,0,37,2023_4T.xlsx
694,Almería,15,8,1,2,0,1,1,0,2,2023_4T.xlsx
695,Cádiz,22,8,2,1,3,0,0,0,8,2023_4T.xlsx
696,Córdoba,10,3,0,1,0,1,1,0,4,2023_4T.xlsx
697,Granada,10,5,0,0,0,1,1,0,3,2023_4T.xlsx
698,Huelva,9,0,2,0,1,2,0,0,4,2023_4T.xlsx
699,Jaén,7,2,2,0,1,1,0,0,1,2023_4T.xlsx
700,Málaga,25,12,2,4,2,1,0,0,4,2023_4T.xlsx
701,Sevilla,52,19,12,4,1,2,3,0,11,2023_4T.xlsx
702,Aragón,26,11,2,5,2,0,1,0,5,2023_4T.xlsx
703,Huesca,8,2,0,3,0,0,0,0,3,2023_4T.xlsx
704,Teruel,2,0,1,1,0,0,0,0,0,2023_4T.xlsx
705,Zaragoza,16,9,1,1,2,0,1,0,2,2023_4T.xlsx
706,Asturias,22,7,5,2,2,1,1,0,4,2023_4T.xlsx
707,"Balears, Illes",27,12,2,5,2,1,0,0,5,2023_4T.xlsx
708,Canarias,34,12,1,6,3,1,0,0,11,2023_4T.xlsx
709,Las Palmas de Gran Canaria,22,9,1,3,1,0,0,0,8,2023_4T.xlsx
710,Santa Cruz de Tenerife,12,3,0,3,2,1,0,0,3,2023_4T.xlsx
711,Cantabria,11,4,0,0,0,0,1,0,6,2023_4T.xlsx
712,Castilla y León,43,19,8,3,4,0,1,0,8,2023_4T.xlsx
713,Ávila,1,1,0,0,0,0,0,0,0,2023_4T.xlsx
714,Burgos,12,4,2,0,2,0,0,0,4,2023_4T.xlsx
715,León,7,2,2,0,1,0,1,0,1,2023_4T.xlsx
716,Palencia,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
717,Salamanca,9,6,1,0,1,0,0,0,1,2023_4T.xlsx
718,Segovia,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
719,Soria,1,0,0,0,0,0,0,0,1,2023_4T.xlsx
720,Valladolid,13,6,3,3,0,0,0,0,1,2023_4T.xlsx
721,Zamora,0,0,0,0,0,0,0,0,0,2023_4T.xlsx
722,Castilla-La Mancha,55,18,12,4,5,7,3,0,6,2023_4T.xlsx
