,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
83,Ávila,2,2,0,0,0,0,0,0,0,2021_2T.xlsx
84,Burgos,9,4,2,1,0,0,0,0,2,2021_2T.xlsx
85,León,3,1,1,0,0,0,0,0,1,2021_2T.xlsx
86,Palencia,4,1,1,0,0,1,0,0,1,2021_2T.xlsx
87,Salamanca,4,2,2,0,0,0,0,0,0,2021_2T.xlsx
88,Segovia,1,1,0,0,0,0,0,0,0,2021_2T.xlsx
89,Soria,2,1,0,0,0,0,0,0,1,2021_2T.xlsx
90,Valladolid,10,2,2,0,0,2,0,0,4,2021_2T.xlsx
91,Zamora,4,1,2,1,0,0,0,0,0,2021_2T.xlsx
92,Castilla-La Mancha,31,15,4,2,0,2,0,0,8,2021_2T.xlsx
93,Albacete,8,6,0,0,0,0,0,0,2,2021_2T.xlsx
94,Ciudad Real,4,2,0,0,0,0,0,0,2,2021_2T.xlsx
95,Cuenca,3,2,0,1,0,0,0,0,0,2021_2T.xlsx
96,Guadalajara,4,2,0,0,0,1,0,0,1,2021_2T.xlsx
97,Toledo,12,3,4,1,0,1,0,0,3,2021_2T.xlsx
98,Cataluña,331,115,36,55,20,10,4,0,91,2021_2T.xlsx
99,Barcelona,274,98,33,44,16,8,4,0,71,2021_2T.xlsx
100,Girona,22,7,1,5,3,2,0,0,4,2021_2T.xlsx
101,Lleida,9,2,0,2,1,0,0,0,4,2021_2T.xlsx
102,Tarragona,26,8,2,4,0,0,0,0,12,2021_2T.xlsx
103,Comunitat Valenciana,176,68,24,22,11,6,3,0,42,2021_2T.xlsx
104,Alicante,54,18,10,10,4,3,1,0,8,2021_2T.xlsx
105,Castellón,11,5,1,2,0,0,0,0,3,2021_2T.xlsx
106,Valencia,111,45,13,10,7,3,2,0,31,2021_2T.xlsx
107,Extremadura,13,3,3,3,1,0,0,0,3,2021_2T.xlsx
108,Badajoz,9,2,3,2,1,0,0,0,1,2021_2T.xlsx
109,Cáceres,4,1,0,1,0,0,0,0,2,2021_2T.xlsx
110,Galicia,48,17,5,13,4,2,0,0,7,2021_2T.xlsx
111,A Coruña,17,4,2,7,2,2,0,0,0,2021_2T.xlsx
112,Lugo,6,2,0,2,1,0,0,0,1,2021_2T.xlsx
113,Ourense,4,3,0,0,0,0,0,0,1,2021_2T.xlsx
114,Pontevedra,21,8,3,4,1,0,0,0,5,2021_2T.xlsx
115,Madrid,345,152,44,40,15,16,2,0,76,2021_2T.xlsx
116,Murcia,25,9,2,3,2,3,0,0,6,2021_2T.xlsx
117,Navarra,7,2,1,1,0,1,0,0,2,2021_2T.xlsx
118,Pais Vasco,66,25,8,9,4,5,2,0,13,2021_2T.xlsx
119,Araba/Álava,10,4,2,1,1,0,0,0,2,2021_2T.xlsx
120,Bizkaia,32,12,1,3,0,4,2,0,10,2021_2T.xlsx
121,Gipuzkoa,24,9,5,5,3,1,0,0,1,2021_2T.xlsx
122,La Rioja,5,2,1,0,0,0,0,0,2,2021_2T.xlsx
123,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
124,Ceuta,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
125,Melilla,0,0,0,0,0,0,0,0,0,2021_2T.xlsx
126,Andalucía,75,33,12,5,6,1,1,0,17,2021_3T.xlsx
127,Almería,10,5,1,0,1,0,0,0,3,2021_3T.xlsx
128,Cádiz,6,0,0,0,0,0,0,0,6,2021_3T.xlsx
129,Córdoba,6,3,2,0,0,0,1,0,0,2021_3T.xlsx
130,Granada,5,2,2,0,0,0,0,0,1,2021_3T.xlsx
131,Huelva,4,2,1,0,0,0,0,0,1,2021_3T.xlsx
132,Jaén,3,1,1,0,1,0,0,0,0,2021_3T.xlsx
133,Málaga,19,10,3,2,1,0,0,0,3,2021_3T.xlsx
134,Sevilla,22,10,2,3,3,1,0,0,3,2021_3T.xlsx
135,Aragón,28,11,7,2,3,0,0,0,5,2021_3T.xlsx
136,Huesca,1,0,1,0,0,0,0,0,0,2021_3T.xlsx
137,Teruel,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
138,Zaragoza,26,10,6,2,3,0,0,0,5,2021_3T.xlsx
139,Asturias,10,5,1,0,1,0,0,0,3,2021_3T.xlsx
140,"Balears, Illes",21,9,3,0,0,0,0,0,9,2021_3T.xlsx
141,Canarias,29,13,4,2,0,0,1,0,9,2021_3T.xlsx
142,Las Palmas de Gran Canaria,20,7,4,1,0,0,1,0,7,2021_3T.xlsx
143,Santa Cruz de Tenerife,9,6,0,1,0,0,0,0,2,2021_3T.xlsx
144,Cantabria,4,1,1,1,0,0,0,0,1,2021_3T.xlsx
145,Castilla y León,34,20,2,4,0,2,0,0,6,2021_3T.xlsx
146,Ávila,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
147,Burgos,3,2,1,0,0,0,0,0,0,2021_3T.xlsx
148,León,4,2,0,0,0,0,0,0,2,2021_3T.xlsx
149,Palencia,3,1,0,0,0,1,0,0,1,2021_3T.xlsx
150,Salamanca,6,4,1,0,0,1,0,0,0,2021_3T.xlsx
151,Segovia,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
152,Soria,1,1,0,0,0,0,0,0,0,2021_3T.xlsx
153,Valladolid,15,8,0,4,0,0,0,0,3,2021_3T.xlsx
154,Zamora,0,0,0,0,0,0,0,0,0,2021_3T.xlsx
155,Castilla-La Mancha,37,15,5,3,3,2,1,0,8,2021_3T.xlsx
156,Albacete,6,3,1,1,1,0,0,0,0,2021_3T.xlsx
157,Ciudad Real,7,2,2,0,0,0,0,0,3,2021_3T.xlsx
158,Cuenca,6,4,0,0,1,0,0,0,1,2021_3T.xlsx
159,Guadalajara,4,1,1,1,0,0,0,0,1,2021_3T.xlsx
160,Toledo,14,5,1,1,1,2,1,0,3,2021_3T.xlsx
161,Cataluña,237,106,32,22,12,8,1,0,56,2021_3T.xlsx
162,Barcelona,198,88,27,21,8,7,1,0,46,2021_3T.xlsx
163,Girona,17,8,1,0,1,0,0,0,7,2021_3T.xlsx
