,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
354,empresas,Valencia,82,80,1,1,,16,0,66,2021_3T.xlsx
355,empresas,Extremadura,8,8,0,0,,3,0,5,2021_3T.xlsx
356,empresas,Badajoz,5,5,0,0,,2,0,3,2021_3T.xlsx
357,empresas,Cáceres,3,3,0,0,,1,0,2,2021_3T.xlsx
358,empresas,Galicia,39,39,0,0,,33,0,6,2021_3T.xlsx
359,empresas,A Coruña,15,15,0,0,,11,0,4,2021_3T.xlsx
360,empresas,Lugo,7,7,0,0,,7,0,0,2021_3T.xlsx
361,empresas,Ourense,3,3,0,0,,3,0,0,2021_3T.xlsx
362,empresas,Pontevedra,14,14,0,0,,12,0,2,2021_3T.xlsx
363,empresas,Madrid,205,200,4,1,,42,8,155,2021_3T.xlsx
364,empresas,Murcia,16,16,0,0,,13,0,3,2021_3T.xlsx
365,empresas,Navarra,6,6,0,0,,2,1,3,2021_3T.xlsx
366,empresas,Pais Vasco,51,51,0,0,,13,4,34,2021_3T.xlsx
367,empresas,Araba/Álava,5,5,0,0,,0,0,5,2021_3T.xlsx
368,empresas,Bizkaia,22,22,0,0,,5,2,15,2021_3T.xlsx
369,empresas,Gipuzkoa,24,24,0,0,,8,2,14,2021_3T.xlsx
370,,La Rioja,7,6,1,0,,3,0,4,2021_3T.xlsx
371,,Ceuta y Melilla,1,1,0,0,,0,0,1,2021_3T.xlsx
372,fisica,Andalucía,241,30,0,211,,208,4,29,2021_4T.xlsx
373,fisica,Almería,26,5,0,21,,24,1,1,2021_4T.xlsx
374,fisica,Cádiz,26,0,0,26,,22,0,4,2021_4T.xlsx
375,fisica,Córdoba,29,1,0,28,,27,0,2,2021_4T.xlsx
376,fisica,Granada,19,4,0,15,,18,1,0,2021_4T.xlsx
377,fisica,Huelva,3,0,0,3,,3,0,0,2021_4T.xlsx
378,fisica,Jaén,21,1,0,20,,17,0,4,2021_4T.xlsx
379,fisica,Málaga,46,8,0,38,,32,0,14,2021_4T.xlsx
380,fisica,Sevilla,71,11,0,60,,65,2,4,2021_4T.xlsx
381,fisica,Aragón,67,10,0,57,,35,1,31,2021_4T.xlsx
382,fisica,Huesca,6,2,0,4,,3,0,3,2021_4T.xlsx
383,fisica,Teruel,1,0,0,1,,1,0,0,2021_4T.xlsx
384,fisica,Zaragoza,60,8,0,52,,31,1,28,2021_4T.xlsx
385,fisica,Asturias,58,26,0,32,,27,0,31,2021_4T.xlsx
386,fisica,"Balears, Illes",30,22,0,8,,29,1,0,2021_4T.xlsx
387,fisica,Canarias,93,18,0,75,,68,1,24,2021_4T.xlsx
388,fisica,Las Palmas de Gran Canaria,53,10,0,43,,32,0,21,2021_4T.xlsx
389,fisica,Santa Cruz de Tenerife,40,8,0,32,,36,1,3,2021_4T.xlsx
390,fisica,Cantabria,11,8,1,2,,10,0,1,2021_4T.xlsx
391,fisica,Castilla y León,76,31,1,44,,56,0,20,2021_4T.xlsx
392,fisica,Ávila,4,1,0,3,,3,0,1,2021_4T.xlsx
393,fisica,Burgos,9,5,0,4,,9,0,0,2021_4T.xlsx
394,fisica,León,17,6,0,11,,10,0,7,2021_4T.xlsx
395,fisica,Palencia,0,0,0,0,,0,0,0,2021_4T.xlsx
396,fisica,Salamanca,7,2,0,5,,5,0,2,2021_4T.xlsx
397,fisica,Segovia,7,6,0,1,,7,0,0,2021_4T.xlsx
398,fisica,Soria,1,1,0,0,,1,0,0,2021_4T.xlsx
399,fisica,Valladolid,28,10,1,17,,18,0,10,2021_4T.xlsx
400,fisica,Zamora,3,0,0,3,,3,0,0,2021_4T.xlsx
401,fisica,Castilla-La Mancha,58,19,0,39,,22,1,35,2021_4T.xlsx
402,fisica,Albacete,9,3,0,6,,3,0,6,2021_4T.xlsx
403,fisica,Ciudad Real,16,7,0,9,,3,0,13,2021_4T.xlsx
404,fisica,Cuenca,2,0,0,2,,0,0,2,2021_4T.xlsx
405,fisica,Guadalajara,24,4,0,20,,11,1,12,2021_4T.xlsx
406,fisica,Toledo,7,5,0,2,,5,0,2,2021_4T.xlsx
407,fisica,Cataluña,754,46,0,708,,712,3,39,2021_4T.xlsx
408,fisica,Barcelona,594,37,0,557,,567,3,24,2021_4T.xlsx
409,fisica,Girona,82,4,0,78,,76,0,6,2021_4T.xlsx
410,fisica,Lleida,29,1,0,28,,29,0,0,2021_4T.xlsx
411,fisica,Tarragona,49,4,0,45,,40,0,9,2021_4T.xlsx
412,fisica,Comunitat Valenciana,252,90,3,159,,226,3,23,2021_4T.xlsx
413,fisica,Alicante,47,22,2,23,,40,2,5,2021_4T.xlsx
414,fisica,Castellón,29,11,1,17,,27,0,2,2021_4T.xlsx
415,fisica,Valencia,176,57,0,119,,159,1,16,2021_4T.xlsx
416,fisica,Extremadura,13,8,0,5,,10,0,3,2021_4T.xlsx
417,fisica,Badajoz,8,6,0,2,,7,0,1,2021_4T.xlsx
418,fisica,Cáceres,5,2,0,3,,3,0,2,2021_4T.xlsx
419,fisica,Galicia,78,37,0,41,,63,0,15,2021_4T.xlsx
420,fisica,A Coruña,24,8,0,16,,17,0,7,2021_4T.xlsx
421,fisica,Lugo,13,8,0,5,,13,0,0,2021_4T.xlsx
422,fisica,Ourense,7,5,0,2,,6,0,1,2021_4T.xlsx
423,fisica,Pontevedra,34,16,0,18,,27,0,7,2021_4T.xlsx
424,fisica,Madrid,260,31,1,228,,210,3,45,2021_4T.xlsx
425,fisica,Murcia,40,30,0,10,,36,0,4,2021_4T.xlsx
426,fisica,Navarra,26,8,0,18,,16,0,10,2021_4T.xlsx
427,fisica,Pais Vasco,54,38,0,16,,38,0,16,2021_4T.xlsx
428,fisica,Araba/Álava,6,5,0,1,,6,0,0,2021_4T.xlsx
429,fisica,Bizkaia,33,23,0,10,,26,0,7,2021_4T.xlsx
430,fisica,Gipuzkoa,15,10,0,5,,6,0,9,2021_4T.xlsx
431,fisica,La Rioja,8,1,0,7,,0,0,8,2021_4T.xlsx
432,fisica,Ceuta y Melilla,1,1,0,0,,1,0,0,2021_4T.xlsx
433,fisica,Ceuta,1,1,0,0,,1,0,0,2021_4T.xlsx
434,fisica,Melilla,0,0,0,0,,0,0,0,2021_4T.xlsx
435,empresas,Andalucía,116,113,0,3,,61,20,35,2021_4T.xlsx
436,empresas,Almería,12,12,0,0,,0,7,5,2021_4T.xlsx
437,empresas,Cádiz,24,23,0,1,,16,1,7,2021_4T.xlsx
438,empresas,Córdoba,10,9,0,1,,3,5,2,2021_4T.xlsx
439,empresas,Granada,9,9,0,0,,6,1,2,2021_4T.xlsx
440,empresas,Huelva,5,4,0,1,,1,0,4,2021_4T.xlsx
441,empresas,Jaén,8,8,0,0,,6,2,0,2021_4T.xlsx
442,empresas,Málaga,17,17,0,0,,10,3,4,2021_4T.xlsx
443,empresas,Sevilla,31,31,0,0,,19,1,11,2021_4T.xlsx
444,empresas,Aragón,33,33,0,0,,15,1,17,2021_4T.xlsx
445,empresas,Huesca,5,5,0,0,,4,1,0,2021_4T.xlsx
446,empresas,Teruel,6,6,0,0,,4,0,2,2021_4T.xlsx
447,empresas,Zaragoza,22,22,0,0,,7,0,15,2021_4T.xlsx
448,empresas,Asturias,19,19,0,0,,5,3,11,2021_4T.xlsx
449,empresas,"Balears, Illes",16,16,0,0,,8,1,7,2021_4T.xlsx
450,empresas,Canarias,27,27,0,0,,12,1,14,2021_4T.xlsx
451,empresas,Las Palmas de Gran Canaria,17,17,0,0,,7,1,9,2021_4T.xlsx
452,empresas,Santa Cruz de Tenerife,10,10,0,0,,5,0,5,2021_4T.xlsx
453,empresas,Cantabria,11,11,0,0,,2,0,9,2021_4T.xlsx
454,empresas,Castilla y León,26,26,0,0,,9,4,13,2021_4T.xlsx
455,empresas,Ávila,2,2,0,0,,1,0,1,2021_4T.xlsx
456,empresas,Burgos,5,5,0,0,,3,0,2,2021_4T.xlsx
457,empresas,León,5,5,0,0,,1,3,1,2021_4T.xlsx
458,empresas,Palencia,2,2,0,0,,2,0,0,2021_4T.xlsx
459,empresas,Salamanca,2,2,0,0,,0,1,1,2021_4T.xlsx
460,empresas,Segovia,1,1,0,0,,1,0,0,2021_4T.xlsx
461,empresas,Soria,2,2,0,0,,1,0,1,2021_4T.xlsx
462,empresas,Valladolid,7,7,0,0,,0,0,7,2021_4T.xlsx
463,empresas,Zamora,0,0,0,0,,0,0,0,2021_4T.xlsx
464,empresas,Castilla-La Mancha,32,31,0,1,,17,1,14,2021_4T.xlsx
465,empresas,Albacete,8,8,0,0,,5,1,2,2021_4T.xlsx
466,empresas,Ciudad Real,6,6,0,0,,2,0,4,2021_4T.xlsx
467,empresas,Cuenca,2,2,0,0,,1,0,1,2021_4T.xlsx
468,empresas,Guadalajara,3,3,0,0,,2,0,1,2021_4T.xlsx
469,empresas,Toledo,13,12,0,1,,7,0,6,2021_4T.xlsx
470,empresas,Cataluña,278,276,0,2,,87,8,183,2021_4T.xlsx
471,empresas,Barcelona,242,241,0,1,,68,8,166,2021_4T.xlsx
472,empresas,Girona,16,16,0,0,,7,0,9,2021_4T.xlsx
473,empresas,Lleida,8,7,0,1,,5,0,3,2021_4T.xlsx
474,empresas,Tarragona,12,12,0,0,,7,0,5,2021_4T.xlsx
475,empresas,Comunitat Valenciana,175,171,0,4,,59,14,102,2021_4T.xlsx
476,empresas,Alicante,53,51,0,2,,21,13,19,2021_4T.xlsx
477,empresas,Castellón,27,26,0,1,,14,0,13,2021_4T.xlsx
478,empresas,Valencia,95,94,0,1,,24,1,70,2021_4T.xlsx
479,empresas,Extremadura,16,16,0,0,,10,0,6,2021_4T.xlsx
480,empresas,Badajoz,10,10,0,0,,6,0,4,2021_4T.xlsx
481,empresas,Cáceres,6,6,0,0,,4,0,2,2021_4T.xlsx
482,empresas,Galicia,43,41,0,2,,30,2,11,2021_4T.xlsx
483,empresas,A Coruña,23,23,0,0,,14,2,7,2021_4T.xlsx
484,empresas,Lugo,8,8,0,0,,8,0,0,2021_4T.xlsx
485,empresas,Ourense,3,2,0,1,,2,0,1,2021_4T.xlsx
486,empresas,Pontevedra,9,8,0,1,,6,0,3,2021_4T.xlsx
487,empresas,Madrid,264,258,2,4,,67,6,191,2021_4T.xlsx
488,empresas,Murcia,17,17,0,0,,9,3,5,2021_4T.xlsx
489,empresas,Navarra,13,13,0,0,,6,1,6,2021_4T.xlsx
490,empresas,Pais Vasco,63,62,1,0,,40,1,22,2021_4T.xlsx
491,empresas,Araba/Álava,6,6,0,0,,4,0,2,2021_4T.xlsx
492,empresas,Bizkaia,42,41,1,0,,28,1,13,2021_4T.xlsx
493,empresas,Gipuzkoa,15,15,0,0,,8,0,7,2021_4T.xlsx
494,,La Rioja,0,0,0,0,,0,0,0,2021_4T.xlsx
495,,Ceuta y Melilla,1,1,0,0,,1,0,0,2021_4T.xlsx
496,fisica,Andalucía,244,37,1,206,,213,3,28,2022_1T.xlsx
497,fisica,Almería,15,3,0,12,,14,1,0,2022_1T.xlsx
498,fisica,Cádiz,32,6,0,26,,31,0,1,2022_1T.xlsx
499,fisica,Córdoba,13,3,0,10,,12,0,1,2022_1T.xlsx
500,fisica,Granada,29,3,1,25,,24,1,4,2022_1T.xlsx
501,fisica,Huelva,9,1,0,8,,9,0,0,2022_1T.xlsx
502,fisica,Jaén,15,3,0,12,,14,0,1,2022_1T.xlsx
503,fisica,Málaga,32,2,0,30,,28,0,4,2022_1T.xlsx
504,fisica,Sevilla,99,16,0,83,,81,1,17,2022_1T.xlsx
505,fisica,Aragón,97,11,0,86,,54,0,43,2022_1T.xlsx
506,fisica,Huesca,15,6,0,9,,8,0,7,2022_1T.xlsx
507,fisica,Teruel,2,0,0,2,,1,0,1,2022_1T.xlsx
508,fisica,Zaragoza,80,5,0,75,,45,0,35,2022_1T.xlsx
509,fisica,Asturias,67,27,1,39,,31,0,36,2022_1T.xlsx
510,fisica,"Balears, Illes",49,30,0,19,,47,0,2,2022_1T.xlsx
511,fisica,Canarias,79,7,0,72,,59,2,18,2022_1T.xlsx
512,fisica,Las Palmas de Gran Canaria,39,4,0,35,,31,1,7,2022_1T.xlsx
513,fisica,Santa Cruz de Tenerife,40,3,0,37,,28,1,11,2022_1T.xlsx
514,fisica,Cantabria,16,12,0,4,,16,0,0,2022_1T.xlsx
515,fisica,Castilla y León,58,18,1,39,,37,0,21,2022_1T.xlsx
516,fisica,Ávila,6,1,0,5,,3,0,3,2022_1T.xlsx
517,fisica,Burgos,7,1,0,6,,4,0,3,2022_1T.xlsx
518,fisica,León,11,5,0,6,,10,0,1,2022_1T.xlsx
519,fisica,Palencia,0,0,0,0,,0,0,0,2022_1T.xlsx
520,fisica,Salamanca,11,0,1,10,,3,0,8,2022_1T.xlsx
521,fisica,Segovia,2,1,0,1,,2,0,0,2022_1T.xlsx
522,fisica,Soria,1,0,0,1,,1,0,0,2022_1T.xlsx
523,fisica,Valladolid,20,10,0,10,,14,0,6,2022_1T.xlsx
524,fisica,Zamora,0,0,0,0,,0,0,0,2022_1T.xlsx
525,fisica,Castilla-La Mancha,45,5,0,40,,20,0,25,2022_1T.xlsx
526,fisica,Albacete,14,2,0,12,,9,0,5,2022_1T.xlsx
527,fisica,Ciudad Real,4,0,0,4,,0,0,4,2022_1T.xlsx
528,fisica,Cuenca,2,0,0,2,,1,0,1,2022_1T.xlsx
529,fisica,Guadalajara,13,0,0,13,,1,0,12,2022_1T.xlsx
530,fisica,Toledo,12,3,0,9,,9,0,3,2022_1T.xlsx
531,fisica,Cataluña,825,63,0,762,,771,7,47,2022_1T.xlsx
532,fisica,Barcelona,641,42,0,599,,601,6,34,2022_1T.xlsx
533,fisica,Girona,59,5,0,54,,53,0,6,2022_1T.xlsx
534,fisica,Lleida,64,9,0,55,,64,0,0,2022_1T.xlsx
535,fisica,Tarragona,61,7,0,54,,53,1,7,2022_1T.xlsx
536,fisica,Comunitat Valenciana,315,127,1,187,,267,2,46,2022_1T.xlsx
537,fisica,Alicante,97,44,0,53,,77,1,19,2022_1T.xlsx
538,fisica,Castellón,46,15,1,30,,43,0,3,2022_1T.xlsx
539,fisica,Valencia,172,68,0,104,,147,1,24,2022_1T.xlsx
540,fisica,Extremadura,7,5,0,2,,6,0,1,2022_1T.xlsx
541,fisica,Badajoz,5,3,0,2,,4,0,1,2022_1T.xlsx
542,fisica,Cáceres,2,2,0,0,,2,0,0,2022_1T.xlsx
543,fisica,Galicia,93,36,0,57,,72,0,21,2022_1T.xlsx
544,fisica,A Coruña,37,12,0,25,,25,0,12,2022_1T.xlsx
545,fisica,Lugo,18,5,0,13,,17,0,1,2022_1T.xlsx
546,fisica,Ourense,9,6,0,3,,5,0,4,2022_1T.xlsx
547,fisica,Pontevedra,29,13,0,16,,25,0,4,2022_1T.xlsx
548,fisica,Madrid,319,43,0,276,,264,0,55,2022_1T.xlsx
549,fisica,Murcia,66,41,0,25,,56,0,10,2022_1T.xlsx
550,fisica,Navarra,24,12,0,12,,13,0,11,2022_1T.xlsx
551,fisica,Pais Vasco,52,41,1,10,,29,0,23,2022_1T.xlsx
552,fisica,Araba/Álava,7,4,0,3,,7,0,0,2022_1T.xlsx
553,fisica,Bizkaia,29,24,1,4,,14,0,15,2022_1T.xlsx
554,fisica,Gipuzkoa,16,13,0,3,,8,0,8,2022_1T.xlsx
555,fisica,La Rioja,10,0,0,10,,5,0,5,2022_1T.xlsx
556,fisica,Ceuta y Melilla,1,1,0,0,,1,0,0,2022_1T.xlsx
557,fisica,Ceuta,1,1,0,0,,1,0,0,2022_1T.xlsx
558,fisica,Melilla,0,0,0,0,,0,0,0,2022_1T.xlsx
559,empresas,Andalucía,109,103,0,6,,52,13,44,2022_1T.xlsx
560,empresas,Almería,8,8,0,0,,0,4,4,2022_1T.xlsx
561,empresas,Cádiz,12,10,0,2,,8,1,3,2022_1T.xlsx
562,empresas,Córdoba,8,8,0,0,,1,2,5,2022_1T.xlsx
563,empresas,Granada,12,11,0,1,,4,2,6,2022_1T.xlsx
564,empresas,Huelva,7,7,0,0,,5,0,2,2022_1T.xlsx
565,empresas,Jaén,1,1,0,0,,0,0,1,2022_1T.xlsx
566,empresas,Málaga,25,25,0,0,,16,4,5,2022_1T.xlsx
567,empresas,Sevilla,36,33,0,3,,18,0,18,2022_1T.xlsx
568,empresas,Aragón,48,48,0,0,,14,4,30,2022_1T.xlsx
569,empresas,Huesca,4,4,0,0,,2,1,1,2022_1T.xlsx
570,empresas,Teruel,3,3,0,0,,2,0,1,2022_1T.xlsx
571,empresas,Zaragoza,41,41,0,0,,10,3,28,2022_1T.xlsx
572,empresas,Asturias,23,23,0,0,,10,2,11,2022_1T.xlsx
573,empresas,"Balears, Illes",34,34,0,0,,17,11,6,2022_1T.xlsx
574,empresas,Canarias,28,26,1,1,,13,1,14,2022_1T.xlsx
575,empresas,Las Palmas de Gran Canaria,17,16,1,0,,7,1,9,2022_1T.xlsx
576,empresas,Santa Cruz de Tenerife,11,10,0,1,,6,0,5,2022_1T.xlsx
577,empresas,Cantabria,20,20,0,0,,7,0,13,2022_1T.xlsx
578,empresas,Castilla y León,22,22,0,0,,13,0,9,2022_1T.xlsx
579,empresas,Ávila,1,1,0,0,,1,0,0,2022_1T.xlsx
580,empresas,Burgos,6,6,0,0,,6,0,0,2022_1T.xlsx
581,empresas,León,2,2,0,0,,1,0,1,2022_1T.xlsx
582,empresas,Palencia,1,1,0,0,,1,0,0,2022_1T.xlsx
583,empresas,Salamanca,2,2,0,0,,0,0,2,2022_1T.xlsx
584,empresas,Segovia,2,2,0,0,,0,0,2,2022_1T.xlsx
585,empresas,Soria,2,2,0,0,,2,0,0,2022_1T.xlsx
586,empresas,Valladolid,6,6,0,0,,2,0,4,2022_1T.xlsx
587,empresas,Zamora,0,0,0,0,,0,0,0,2022_1T.xlsx
588,empresas,Castilla-La Mancha,37,31,0,6,,8,0,29,2022_1T.xlsx
589,empresas,Albacete,10,10,0,0,,2,0,8,2022_1T.xlsx
590,empresas,Ciudad Real,5,5,0,0,,0,0,5,2022_1T.xlsx
591,empresas,Cuenca,6,5,0,1,,2,0,4,2022_1T.xlsx
592,empresas,Guadalajara,3,2,0,1,,1,0,2,2022_1T.xlsx
593,empresas,Toledo,13,9,0,4,,3,0,10,2022_1T.xlsx
594,empresas,Cataluña,320,318,0,2,,76,7,237,2022_1T.xlsx
595,empresas,Barcelona,275,273,0,2,,61,7,207,2022_1T.xlsx
596,empresas,Girona,25,25,0,0,,8,0,17,2022_1T.xlsx
597,empresas,Lleida,15,15,0,0,,4,0,11,2022_1T.xlsx
598,empresas,Tarragona,5,5,0,0,,3,0,2,2022_1T.xlsx
599,empresas,Comunitat Valenciana,203,199,0,4,,49,4,150,2022_1T.xlsx
600,empresas,Alicante,60,59,0,1,,11,0,49,2022_1T.xlsx
601,empresas,Castellón,23,20,0,3,,14,0,9,2022_1T.xlsx
602,empresas,Valencia,120,120,0,0,,24,4,92,2022_1T.xlsx
603,empresas,Extremadura,7,6,1,0,,5,0,2,2022_1T.xlsx
604,empresas,Badajoz,4,4,0,0,,2,0,2,2022_1T.xlsx
605,empresas,Cáceres,3,2,1,0,,3,0,0,2022_1T.xlsx
606,empresas,Galicia,52,52,0,0,,31,2,19,2022_1T.xlsx
607,empresas,A Coruña,19,19,0,0,,8,1,10,2022_1T.xlsx
608,empresas,Lugo,11,11,0,0,,6,0,5,2022_1T.xlsx
609,empresas,Ourense,6,6,0,0,,6,0,0,2022_1T.xlsx
610,empresas,Pontevedra,16,16,0,0,,11,1,4,2022_1T.xlsx
611,empresas,Madrid,325,315,8,2,,71,15,239,2022_1T.xlsx
612,empresas,Murcia,38,38,0,0,,13,14,11,2022_1T.xlsx
613,empresas,Navarra,7,7,0,0,,4,0,3,2022_1T.xlsx
614,empresas,Pais Vasco,66,66,0,0,,26,2,38,2022_1T.xlsx
615,empresas,Araba/Álava,11,11,0,0,,3,0,8,2022_1T.xlsx
616,empresas,Bizkaia,41,41,0,0,,20,2,19,2022_1T.xlsx
617,empresas,Gipuzkoa,14,14,0,0,,3,0,11,2022_1T.xlsx
618,empresas,La Rioja,7,7,0,0,,5,0,2,2022_1T.xlsx
619,empresas,Ceuta y Melilla,1,1,0,0,,1,0,0,2022_1T.xlsx
620,fisica,Andalucía,214,45,1,168,,178,1,35,2022_2T.xlsx
621,fisica,Almería,13,1,0,12,,13,0,0,2022_2T.xlsx
622,fisica,Cádiz,18,4,0,14,,16,0,2,2022_2T.xlsx
623,fisica,Córdoba,15,5,0,10,,14,0,1,2022_2T.xlsx
624,fisica,Granada,21,5,0,16,,20,0,1,2022_2T.xlsx
625,fisica,Huelva,5,0,0,5,,4,0,1,2022_2T.xlsx
626,fisica,Jaén,23,1,0,22,,23,0,0,2022_2T.xlsx
627,fisica,Málaga,37,11,1,25,,27,1,9,2022_2T.xlsx
628,fisica,Sevilla,82,18,0,64,,61,0,21,2022_2T.xlsx
629,fisica,Aragón,117,17,0,100,,71,2,44,2022_2T.xlsx
630,fisica,Huesca,15,3,0,12,,9,0,6,2022_2T.xlsx
631,fisica,Teruel,10,3,0,7,,8,0,2,2022_2T.xlsx
632,fisica,Zaragoza,92,11,0,81,,54,2,36,2022_2T.xlsx
633,fisica,Asturias,72,24,1,47,,40,0,32,2022_2T.xlsx
634,fisica,"Balears, Illes",40,21,0,19,,40,0,0,2022_2T.xlsx
635,fisica,Canarias,82,14,0,68,,61,1,20,2022_2T.xlsx
636,fisica,Las Palmas de Gran Canaria,48,9,0,39,,32,1,15,2022_2T.xlsx
637,fisica,Santa Cruz de Tenerife,34,5,0,29,,29,0,5,2022_2T.xlsx
638,fisica,Cantabria,15,9,0,6,,13,0,2,2022_2T.xlsx
639,fisica,Castilla y León,86,41,0,45,,64,0,22,2022_2T.xlsx
640,fisica,Ávila,1,0,0,1,,1,0,0,2022_2T.xlsx
641,fisica,Burgos,4,1,0,3,,3,0,1,2022_2T.xlsx
642,fisica,León,17,11,0,6,,16,0,1,2022_2T.xlsx
643,fisica,Palencia,0,0,0,0,,0,0,0,2022_2T.xlsx
644,fisica,Salamanca,12,4,0,8,,5,0,7,2022_2T.xlsx
645,fisica,Segovia,11,2,0,9,,11,0,0,2022_2T.xlsx
646,fisica,Soria,7,4,0,3,,7,0,0,2022_2T.xlsx
647,fisica,Valladolid,32,19,0,13,,20,0,12,2022_2T.xlsx
648,fisica,Zamora,2,0,0,2,,1,0,1,2022_2T.xlsx
649,fisica,Castilla-La Mancha,82,14,0,68,,41,0,41,2022_2T.xlsx
650,fisica,Albacete,16,4,0,12,,10,0,6,2022_2T.xlsx
651,fisica,Ciudad Real,5,0,0,5,,2,0,3,2022_2T.xlsx
652,fisica,Cuenca,4,1,0,3,,1,0,3,2022_2T.xlsx
653,fisica,Guadalajara,40,5,0,35,,18,0,22,2022_2T.xlsx
654,fisica,Toledo,17,4,0,13,,10,0,7,2022_2T.xlsx
655,fisica,Cataluña,861,58,1,802,,818,3,40,2022_2T.xlsx
656,fisica,Barcelona,694,39,0,655,,668,0,26,2022_2T.xlsx
657,fisica,Girona,72,10,1,61,,59,2,11,2022_2T.xlsx
658,fisica,Lleida,49,4,0,45,,49,0,0,2022_2T.xlsx
659,fisica,Tarragona,46,5,0,41,,42,1,3,2022_2T.xlsx
660,fisica,Comunitat Valenciana,247,86,0,161,,219,2,26,2022_2T.xlsx
661,fisica,Alicante,61,26,0,35,,47,2,12,2022_2T.xlsx
662,fisica,Castellón,42,17,0,25,,40,0,2,2022_2T.xlsx
663,fisica,Valencia,144,43,0,101,,132,0,12,2022_2T.xlsx
664,fisica,Extremadura,6,2,0,4,,5,0,1,2022_2T.xlsx
665,fisica,Badajoz,4,1,0,3,,4,0,0,2022_2T.xlsx
666,fisica,Cáceres,2,1,0,1,,1,0,1,2022_2T.xlsx
667,fisica,Galicia,109,45,0,64,,91,0,18,2022_2T.xlsx
668,fisica,A Coruña,40,13,0,27,,28,0,12,2022_2T.xlsx
669,fisica,Lugo,24,12,0,12,,24,0,0,2022_2T.xlsx
670,fisica,Ourense,5,1,0,4,,1,0,4,2022_2T.xlsx
671,fisica,Pontevedra,40,19,0,21,,38,0,2,2022_2T.xlsx
672,fisica,Madrid,249,37,0,212,,208,2,39,2022_2T.xlsx
673,fisica,Murcia,57,35,0,22,,54,0,3,2022_2T.xlsx
674,fisica,Navarra,27,4,0,23,,5,0,22,2022_2T.xlsx
675,fisica,Pais Vasco,68,49,0,19,,47,0,21,2022_2T.xlsx
676,fisica,Araba/Álava,15,11,0,4,,15,0,0,2022_2T.xlsx
677,fisica,Bizkaia,31,23,0,8,,18,0,13,2022_2T.xlsx
678,fisica,Gipuzkoa,22,15,0,7,,14,0,8,2022_2T.xlsx
679,fisica,La Rioja,8,0,0,8,,2,0,6,2022_2T.xlsx
680,fisica,Ceuta y Melilla,0,0,0,0,,0,0,0,2022_2T.xlsx
681,fisica,Ceuta,0,0,0,0,,0,0,0,2022_2T.xlsx
682,fisica,Melilla,0,0,0,0,,0,0,0,2022_2T.xlsx
683,empresas,Andalucía,104,99,2,3,,50,18,36,2022_2T.xlsx
684,empresas,Almería,14,13,1,0,,0,7,7,2022_2T.xlsx
685,empresas,Cádiz,5,5,0,0,,4,0,1,2022_2T.xlsx
686,empresas,Córdoba,8,8,0,0,,1,4,3,2022_2T.xlsx
687,empresas,Granada,19,17,1,1,,10,3,6,2022_2T.xlsx
688,empresas,Huelva,8,8,0,0,,5,0,3,2022_2T.xlsx
689,empresas,Jaén,4,4,0,0,,2,0,2,2022_2T.xlsx
690,empresas,Málaga,23,22,0,1,,12,3,8,2022_2T.xlsx
691,empresas,Sevilla,23,22,0,1,,16,1,6,2022_2T.xlsx
692,empresas,Aragón,36,34,0,2,,11,0,25,2022_2T.xlsx
693,empresas,Huesca,4,4,0,0,,1,0,3,2022_2T.xlsx
694,empresas,Teruel,4,3,0,1,,1,0,3,2022_2T.xlsx
695,empresas,Zaragoza,28,27,0,1,,9,0,19,2022_2T.xlsx
696,empresas,Asturias,24,24,0,0,,11,0,13,2022_2T.xlsx
697,empresas,"Balears, Illes",23,23,0,0,,19,0,4,2022_2T.xlsx
698,empresas,Canarias,37,35,0,2,,19,2,16,2022_2T.xlsx
699,empresas,Las Palmas de Gran Canaria,22,22,0,0,,10,2,10,2022_2T.xlsx
700,empresas,Santa Cruz de Tenerife,15,13,0,2,,9,0,6,2022_2T.xlsx
701,empresas,Cantabria,8,8,0,0,,3,0,5,2022_2T.xlsx
702,empresas,Castilla y León,25,25,0,0,,11,0,14,2022_2T.xlsx
703,empresas,Ávila,1,1,0,0,,0,0,1,2022_2T.xlsx
704,empresas,Burgos,4,4,0,0,,4,0,0,2022_2T.xlsx
705,empresas,León,5,5,0,0,,3,0,2,2022_2T.xlsx
706,empresas,Palencia,1,1,0,0,,1,0,0,2022_2T.xlsx
707,empresas,Salamanca,3,3,0,0,,1,0,2,2022_2T.xlsx
708,empresas,Segovia,1,1,0,0,,0,0,1,2022_2T.xlsx
709,empresas,Soria,3,3,0,0,,0,0,3,2022_2T.xlsx
710,empresas,Valladolid,5,5,0,0,,1,0,4,2022_2T.xlsx
711,empresas,Zamora,2,2,0,0,,1,0,1,2022_2T.xlsx
712,empresas,Castilla-La Mancha,29,28,1,0,,9,2,18,2022_2T.xlsx
713,empresas,Albacete,7,7,0,0,,2,0,5,2022_2T.xlsx
714,empresas,Ciudad Real,9,9,0,0,,1,0,8,2022_2T.xlsx
715,empresas,Cuenca,1,1,0,0,,0,0,1,2022_2T.xlsx
716,empresas,Guadalajara,2,2,0,0,,0,0,2,2022_2T.xlsx
717,empresas,Toledo,10,9,1,0,,6,2,2,2022_2T.xlsx
