,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
345,Albacete,7,1,2,1,1,1,0,0,0,1,2022_2T.xlsx
346,Ciudad Real,9,3,1,3,1,0,0,0,0,1,2022_2T.xlsx
347,Cuenca,1,1,0,0,0,0,0,0,0,0,2022_2T.xlsx
348,Guadalajara,2,0,0,0,1,0,0,0,0,1,2022_2T.xlsx
349,Toledo,10,0,0,2,0,2,0,0,0,6,2022_2T.xlsx
350,Cataluña,324,55,58,53,32,29,22,4,1,70,2022_2T.xlsx
351,Barcelona,286,50,52,47,27,26,19,3,1,61,2022_2T.xlsx
352,Girona,11,1,0,1,4,2,1,0,0,2,2022_2T.xlsx
353,Lleida,8,2,1,2,0,1,0,0,0,2,2022_2T.xlsx
354,Tarragona,19,2,5,3,1,0,2,1,0,5,2022_2T.xlsx
355,Comunitat Valenciana,234,44,38,44,27,17,11,1,2,50,2022_2T.xlsx
356,Alicante,57,8,12,8,9,7,4,0,0,9,2022_2T.xlsx
357,Castellón,18,4,4,5,1,1,1,0,0,2,2022_2T.xlsx
358,Valencia,159,32,22,31,17,9,6,1,2,39,2022_2T.xlsx
359,Extremadura,8,2,2,2,0,1,0,0,0,1,2022_2T.xlsx
360,Badajoz,4,2,1,1,0,0,0,0,0,0,2022_2T.xlsx
361,Cáceres,4,0,1,1,0,1,0,0,0,1,2022_2T.xlsx
362,Galicia,47,10,5,10,7,3,3,0,0,9,2022_2T.xlsx
363,A Coruña,16,5,1,4,2,0,2,0,0,2,2022_2T.xlsx
364,Lugo,14,2,2,1,2,2,1,0,0,4,2022_2T.xlsx
365,Ourense,6,1,1,2,0,0,0,0,0,2,2022_2T.xlsx
366,Pontevedra,11,2,1,3,3,1,0,0,0,1,2022_2T.xlsx
367,Madrid,259,57,51,34,18,19,15,3,2,60,2022_2T.xlsx
368,Murcia,28,9,7,3,2,2,3,0,0,2,2022_2T.xlsx
369,Navarra,10,1,3,2,1,2,0,0,0,1,2022_2T.xlsx
370,Pais Vasco,64,7,13,19,10,4,3,0,2,6,2022_2T.xlsx
371,Araba/Álava,1,0,0,1,0,0,0,0,0,0,2022_2T.xlsx
372,Bizkaia,42,5,9,9,6,4,3,0,2,4,2022_2T.xlsx
373,Gipuzkoa,21,2,4,9,4,0,0,0,0,2,2022_2T.xlsx
374,La Rioja,4,0,3,0,0,0,0,0,0,1,2022_2T.xlsx
375,Ceuta y Melilla,3,1,0,1,0,0,0,0,0,1,2022_2T.xlsx
376,Ceuta,2,0,0,1,0,0,0,0,0,1,2022_2T.xlsx
377,Melilla,1,1,0,0,0,0,0,0,0,0,2022_2T.xlsx
378,Andalucía,194,50,24,26,20,17,8,4,1,44,2022_3T.xlsx
379,Almería,20,7,2,3,4,0,0,0,0,4,2022_3T.xlsx
380,Cádiz,17,2,0,3,3,3,0,0,0,6,2022_3T.xlsx
381,Córdoba,25,9,2,2,2,3,0,2,0,5,2022_3T.xlsx
382,Granada,21,7,3,3,0,3,0,2,0,3,2022_3T.xlsx
383,Huelva,13,2,1,2,1,1,0,0,0,6,2022_3T.xlsx
384,Jaén,9,3,2,0,1,1,0,0,0,2,2022_3T.xlsx
385,Málaga,37,10,5,4,3,2,5,0,0,8,2022_3T.xlsx
386,Sevilla,52,10,9,9,6,4,3,0,1,10,2022_3T.xlsx
387,Aragón,52,10,8,6,5,6,2,1,1,13,2022_3T.xlsx
388,Huesca,5,1,1,1,0,0,0,1,0,1,2022_3T.xlsx
389,Teruel,1,0,0,0,0,0,0,0,0,1,2022_3T.xlsx
390,Zaragoza,46,9,7,5,5,6,2,0,1,11,2022_3T.xlsx
391,Asturias,29,4,9,3,6,1,1,0,0,5,2022_3T.xlsx
392,"Balears, Illes",26,6,5,2,2,5,0,0,0,6,2022_3T.xlsx
393,Canarias,28,7,2,2,3,1,2,1,0,10,2022_3T.xlsx
394,Las Palmas de Gran Canaria,15,4,2,2,0,0,2,0,0,5,2022_3T.xlsx
395,Santa Cruz de Tenerife,13,3,0,0,3,1,0,1,0,5,2022_3T.xlsx
396,Cantabria,11,2,1,2,1,2,0,0,0,3,2022_3T.xlsx
397,Castilla y León,42,12,6,1,1,7,0,1,0,14,2022_3T.xlsx
398,Ávila,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
399,Burgos,4,1,1,0,1,0,0,0,0,1,2022_3T.xlsx
400,León,6,1,0,1,0,1,0,1,0,2,2022_3T.xlsx
401,Palencia,4,0,1,0,0,1,0,0,0,2,2022_3T.xlsx
402,Salamanca,5,2,2,0,0,1,0,0,0,0,2022_3T.xlsx
403,Segovia,7,4,0,0,0,2,0,0,0,1,2022_3T.xlsx
404,Soria,1,0,0,0,0,0,0,0,0,1,2022_3T.xlsx
405,Valladolid,15,4,2,0,0,2,0,0,0,7,2022_3T.xlsx
406,Zamora,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
407,Castilla-La Mancha,47,12,7,7,6,1,3,0,1,10,2022_3T.xlsx
408,Albacete,16,5,3,0,1,1,2,0,0,4,2022_3T.xlsx
409,Ciudad Real,3,0,0,0,0,0,0,0,0,3,2022_3T.xlsx
410,Cuenca,7,3,1,1,1,0,0,0,1,0,2022_3T.xlsx
411,Guadalajara,4,0,1,1,0,0,1,0,0,1,2022_3T.xlsx
412,Toledo,17,4,2,5,4,0,0,0,0,2,2022_3T.xlsx
413,Cataluña,452,112,59,59,43,37,24,7,1,110,2022_3T.xlsx
414,Barcelona,368,96,43,47,38,34,21,6,1,82,2022_3T.xlsx
415,Girona,38,8,8,6,2,1,2,0,0,11,2022_3T.xlsx
416,Lleida,31,6,6,3,1,2,1,0,0,12,2022_3T.xlsx
417,Tarragona,15,2,2,3,2,0,0,1,0,5,2022_3T.xlsx
418,Comunitat Valenciana,264,71,61,33,30,14,7,3,3,42,2022_3T.xlsx
419,Alicante,75,21,19,9,6,8,3,0,1,8,2022_3T.xlsx
420,Castellón,24,7,4,4,4,1,0,1,0,3,2022_3T.xlsx
421,Valencia,165,43,38,20,20,5,4,2,2,31,2022_3T.xlsx
422,Extremadura,25,8,2,3,0,2,2,0,1,7,2022_3T.xlsx
423,Badajoz,13,3,0,1,0,1,2,0,1,5,2022_3T.xlsx
424,Cáceres,12,5,2,2,0,1,0,0,0,2,2022_3T.xlsx
425,Galicia,59,13,12,6,10,9,4,0,0,5,2022_3T.xlsx
426,A Coruña,21,3,5,2,3,6,0,0,0,2,2022_3T.xlsx
427,Lugo,21,4,3,3,6,1,2,0,0,2,2022_3T.xlsx
428,Ourense,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
429,Pontevedra,17,6,4,1,1,2,2,0,0,1,2022_3T.xlsx
430,Madrid,455,155,68,62,36,40,8,4,0,82,2022_3T.xlsx
431,Murcia,51,16,3,8,3,4,5,0,0,12,2022_3T.xlsx
432,Navarra,10,4,1,2,0,1,0,0,0,2,2022_3T.xlsx
433,Pais Vasco,100,17,17,26,8,8,4,1,2,17,2022_3T.xlsx
434,Araba/Álava,17,6,3,4,2,0,0,0,0,2,2022_3T.xlsx
435,Bizkaia,55,9,9,11,4,6,4,1,2,9,2022_3T.xlsx
436,Gipuzkoa,28,2,5,11,2,2,0,0,0,6,2022_3T.xlsx
437,La Rioja,8,1,2,0,1,0,0,0,0,4,2022_3T.xlsx
438,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
439,Ceuta,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
440,Melilla,0,0,0,0,0,0,0,0,0,0,2022_3T.xlsx
441,Andalucía,190,52,22,22,14,16,12,3,4,45,2022_4T.xlsx
442,Almería,22,5,5,5,4,0,1,1,0,1,2022_4T.xlsx
443,Cádiz,29,6,4,3,3,5,2,1,0,5,2022_4T.xlsx
444,Córdoba,11,3,1,1,1,0,1,0,0,4,2022_4T.xlsx
445,Granada,16,6,0,3,1,1,2,0,0,3,2022_4T.xlsx
446,Huelva,9,4,1,1,0,1,0,0,0,2,2022_4T.xlsx
447,Jaén,6,3,0,0,1,1,0,0,0,1,2022_4T.xlsx
448,Málaga,32,6,9,3,2,3,1,0,0,8,2022_4T.xlsx
449,Sevilla,65,19,2,6,2,5,5,1,4,21,2022_4T.xlsx
450,Aragón,34,7,6,5,5,5,2,1,0,3,2022_4T.xlsx
451,Huesca,2,0,0,1,1,0,0,0,0,0,2022_4T.xlsx
452,Teruel,1,0,0,0,1,0,0,0,0,0,2022_4T.xlsx
453,Zaragoza,31,7,6,4,3,5,2,1,0,3,2022_4T.xlsx
454,Asturias,23,4,5,3,4,4,2,0,0,1,2022_4T.xlsx
455,"Balears, Illes",24,4,4,4,1,1,1,2,0,7,2022_4T.xlsx
456,Canarias,31,10,5,4,1,4,1,0,0,6,2022_4T.xlsx
457,Las Palmas de Gran Canaria,16,5,2,3,0,2,1,0,0,3,2022_4T.xlsx
458,Santa Cruz de Tenerife,15,5,3,1,1,2,0,0,0,3,2022_4T.xlsx
459,Cantabria,8,1,1,2,0,1,1,0,0,2,2022_4T.xlsx
460,Castilla y León,49,10,4,9,7,8,2,0,0,9,2022_4T.xlsx
461,Ávila,2,0,1,1,0,0,0,0,0,0,2022_4T.xlsx
462,Burgos,14,3,1,3,3,1,1,0,0,2,2022_4T.xlsx
463,León,5,0,0,0,2,1,0,0,0,2,2022_4T.xlsx
464,Palencia,2,1,0,0,0,0,1,0,0,0,2022_4T.xlsx
465,Salamanca,9,1,0,3,1,1,0,0,0,3,2022_4T.xlsx
466,Segovia,3,1,1,0,0,0,0,0,0,1,2022_4T.xlsx
467,Soria,2,1,0,1,0,0,0,0,0,0,2022_4T.xlsx
468,Valladolid,10,2,1,1,1,4,0,0,0,1,2022_4T.xlsx
469,Zamora,2,1,0,0,0,1,0,0,0,0,2022_4T.xlsx
470,Castilla-La Mancha,42,6,9,8,1,7,2,1,0,8,2022_4T.xlsx
471,Albacete,14,1,3,3,1,1,1,1,0,3,2022_4T.xlsx
472,Ciudad Real,0,0,0,0,0,0,0,0,0,0,2022_4T.xlsx
473,Cuenca,2,0,0,0,0,2,0,0,0,0,2022_4T.xlsx
474,Guadalajara,8,0,2,1,0,1,0,0,0,4,2022_4T.xlsx
475,Toledo,18,5,4,4,0,3,1,0,0,1,2022_4T.xlsx
476,Cataluña,306,62,55,39,27,26,24,4,2,67,2022_4T.xlsx
477,Barcelona,261,50,48,39,22,19,22,3,1,57,2022_4T.xlsx
478,Girona,16,4,3,0,1,4,1,0,1,2,2022_4T.xlsx
479,Lleida,22,5,4,0,2,2,1,1,0,7,2022_4T.xlsx
480,Tarragona,7,3,0,0,2,1,0,0,0,1,2022_4T.xlsx
481,Comunitat Valenciana,259,53,50,36,34,29,13,3,1,40,2022_4T.xlsx
482,Alicante,83,14,13,19,11,12,1,0,0,13,2022_4T.xlsx
483,Castellón,32,7,6,3,5,3,2,2,1,3,2022_4T.xlsx
484,Valencia,144,32,31,14,18,14,10,1,0,24,2022_4T.xlsx
485,Extremadura,15,5,2,3,1,0,1,0,0,3,2022_4T.xlsx
486,Badajoz,10,1,2,3,0,0,1,0,0,3,2022_4T.xlsx
487,Cáceres,5,4,0,0,1,0,0,0,0,0,2022_4T.xlsx
488,Galicia,61,13,8,10,12,7,4,2,0,5,2022_4T.xlsx
489,A Coruña,31,7,4,7,6,2,2,1,0,2,2022_4T.xlsx
490,Lugo,9,1,3,0,4,0,0,0,0,1,2022_4T.xlsx
491,Ourense,2,0,0,0,0,2,0,0,0,0,2022_4T.xlsx
492,Pontevedra,19,5,1,3,2,3,2,1,0,2,2022_4T.xlsx
493,Madrid,458,120,65,62,45,39,22,10,4,91,2022_4T.xlsx
494,Murcia,40,10,3,4,0,8,2,2,2,9,2022_4T.xlsx
495,Navarra,5,1,2,1,1,0,0,0,0,0,2022_4T.xlsx
496,Pais Vasco,64,17,12,12,5,6,5,1,0,6,2022_4T.xlsx
497,Araba/Álava,8,3,0,1,3,0,1,0,0,0,2022_4T.xlsx
498,Bizkaia,37,9,11,6,2,4,2,1,0,2,2022_4T.xlsx
499,Gipuzkoa,19,5,1,5,0,2,2,0,0,4,2022_4T.xlsx
500,La Rioja,3,1,0,0,0,1,1,0,0,0,2022_4T.xlsx
501,Ceuta y Melilla,1,0,0,0,0,0,0,0,0,1,2022_4T.xlsx
502,Ceuta,1,0,0,0,0,0,0,0,0,1,2022_4T.xlsx
503,Melilla,0,0,0,0,0,0,0,0,0,0,2022_4T.xlsx
504,Andalucía,109,18,11,12,11,7,6,1,1,42,2023_1T.xlsx
505,Almería,9,3,1,0,2,0,1,0,0,2,2023_1T.xlsx
506,Cádiz,7,2,2,1,1,0,0,0,0,1,2023_1T.xlsx
507,Córdoba,11,1,1,3,1,1,0,0,0,4,2023_1T.xlsx
508,Granada,10,1,0,1,1,2,1,0,0,4,2023_1T.xlsx
509,Huelva,4,1,0,0,0,0,0,0,0,3,2023_1T.xlsx
510,Jaén,5,0,0,1,0,1,0,0,0,3,2023_1T.xlsx
511,Málaga,17,1,0,2,2,1,2,1,0,8,2023_1T.xlsx
512,Sevilla,46,9,7,4,4,2,2,0,1,17,2023_1T.xlsx
513,Aragón,45,15,5,5,3,5,3,1,0,8,2023_1T.xlsx
514,Huesca,4,2,0,0,0,1,1,0,0,0,2023_1T.xlsx
515,Teruel,5,4,0,1,0,0,0,0,0,0,2023_1T.xlsx
516,Zaragoza,36,9,5,4,3,4,2,1,0,8,2023_1T.xlsx
517,Asturias,18,3,3,3,1,4,1,0,0,3,2023_1T.xlsx
518,"Balears, Illes",26,3,4,3,2,1,3,0,0,10,2023_1T.xlsx
519,Canarias,25,5,6,3,0,2,1,0,0,8,2023_1T.xlsx
520,Las Palmas de Gran Canaria,15,1,4,1,0,1,1,0,0,7,2023_1T.xlsx
521,Santa Cruz de Tenerife,10,4,2,2,0,1,0,0,0,1,2023_1T.xlsx
522,Cantabria,4,1,0,1,0,0,1,0,0,1,2023_1T.xlsx
523,Castilla y León,31,7,3,2,3,4,1,0,1,10,2023_1T.xlsx
524,Ávila,2,1,1,0,0,0,0,0,0,0,2023_1T.xlsx
525,Burgos,9,4,0,0,0,1,1,0,0,3,2023_1T.xlsx
526,León,2,0,0,1,0,0,0,0,0,1,2023_1T.xlsx
527,Palencia,1,0,1,0,0,0,0,0,0,0,2023_1T.xlsx
528,Salamanca,7,1,0,1,2,0,0,0,0,3,2023_1T.xlsx
529,Segovia,2,1,0,0,0,1,0,0,0,0,2023_1T.xlsx
530,Soria,0,0,0,0,0,0,0,0,0,0,2023_1T.xlsx
531,Valladolid,5,0,1,0,1,1,0,0,1,1,2023_1T.xlsx
532,Zamora,3,0,0,0,0,1,0,0,0,2,2023_1T.xlsx
533,Castilla-La Mancha,25,4,6,4,2,2,2,0,0,5,2023_1T.xlsx
534,Albacete,7,1,3,0,0,1,0,0,0,2,2023_1T.xlsx
535,Ciudad Real,10,2,2,2,1,0,1,0,0,2,2023_1T.xlsx
536,Cuenca,3,0,0,0,1,1,1,0,0,0,2023_1T.xlsx
537,Guadalajara,2,1,0,0,0,0,0,0,0,1,2023_1T.xlsx
538,Toledo,3,0,1,2,0,0,0,0,0,0,2023_1T.xlsx
539,Cataluña,262,41,45,31,16,23,20,2,2,82,2023_1T.xlsx
540,Barcelona,231,35,44,27,15,21,16,1,2,70,2023_1T.xlsx
541,Girona,8,1,0,1,0,0,1,0,0,5,2023_1T.xlsx
542,Lleida,10,3,0,1,1,0,1,0,0,4,2023_1T.xlsx
543,Tarragona,13,2,1,2,0,2,2,1,0,3,2023_1T.xlsx
544,Comunitat Valenciana,174,32,20,26,19,15,12,1,1,48,2023_1T.xlsx
545,Alicante,34,2,2,7,3,4,4,0,0,12,2023_1T.xlsx
546,Castellón,35,9,5,3,5,2,2,0,0,9,2023_1T.xlsx
547,Valencia,105,21,13,16,11,9,6,1,1,27,2023_1T.xlsx
548,Extremadura,6,2,1,0,0,0,1,0,0,2,2023_1T.xlsx
549,Badajoz,4,0,1,0,0,0,1,0,0,2,2023_1T.xlsx
550,Cáceres,2,2,0,0,0,0,0,0,0,0,2023_1T.xlsx
551,Galicia,31,2,5,6,5,4,5,0,1,3,2023_1T.xlsx
552,A Coruña,5,0,1,1,0,1,0,0,0,2,2023_1T.xlsx
553,Lugo,4,0,0,1,3,0,0,0,0,0,2023_1T.xlsx
554,Ourense,1,0,0,0,0,0,0,0,0,1,2023_1T.xlsx
555,Pontevedra,21,2,4,4,2,3,5,0,1,0,2023_1T.xlsx
556,Madrid,192,46,19,20,12,17,13,4,1,60,2023_1T.xlsx
557,Murcia,26,8,2,1,3,4,1,1,1,5,2023_1T.xlsx
558,Navarra,6,2,0,3,0,0,0,1,0,0,2023_1T.xlsx
559,Pais Vasco,47,5,9,9,4,2,1,2,0,15,2023_1T.xlsx
560,Araba/Álava,6,0,1,1,1,0,1,0,0,2,2023_1T.xlsx
561,Bizkaia,25,3,5,4,2,1,0,1,0,9,2023_1T.xlsx
562,Gipuzkoa,16,2,3,4,1,1,0,1,0,4,2023_1T.xlsx
563,La Rioja,8,1,3,1,0,3,0,0,0,0,2023_1T.xlsx
564,Ceuta y Melilla,2,0,0,0,0,1,0,0,0,1,2023_1T.xlsx
565,Ceuta,2,0,0,0,0,1,0,0,0,1,2023_1T.xlsx
566,Melilla,0,0,0,0,0,0,0,0,0,0,2023_1T.xlsx
567,Andalucía,121,28,19,18,8,9,12,3,2,22,2023_2T.xlsx
568,Almería,19,9,3,1,2,1,0,0,1,2,2023_2T.xlsx
569,Cádiz,4,1,0,0,0,1,1,0,0,1,2023_2T.xlsx
570,Córdoba,8,2,3,0,0,0,2,0,0,1,2023_2T.xlsx
571,Granada,15,2,3,4,2,0,2,0,0,2,2023_2T.xlsx
572,Huelva,3,0,1,1,1,0,0,0,0,0,2023_2T.xlsx
573,Jaén,7,0,1,3,0,0,0,0,0,3,2023_2T.xlsx
574,Málaga,27,2,5,3,1,5,3,2,1,5,2023_2T.xlsx
575,Sevilla,38,12,3,6,2,2,4,1,0,8,2023_2T.xlsx
576,Aragón,40,6,8,8,5,5,2,0,1,5,2023_2T.xlsx
577,Huesca,7,1,1,4,0,1,0,0,0,0,2023_2T.xlsx
578,Teruel,2,1,0,0,0,0,0,0,0,1,2023_2T.xlsx
579,Zaragoza,31,4,7,4,5,4,2,0,1,4,2023_2T.xlsx
580,Asturias,17,3,2,0,2,3,1,0,0,6,2023_2T.xlsx
581,"Balears, Illes",31,5,9,2,3,1,1,0,0,10,2023_2T.xlsx
582,Canarias,33,4,9,4,4,2,1,1,0,8,2023_2T.xlsx
583,Las Palmas de Gran Canaria,21,3,7,2,1,2,1,1,0,4,2023_2T.xlsx
584,Santa Cruz de Tenerife,12,1,2,2,3,0,0,0,0,4,2023_2T.xlsx
585,Cantabria,7,1,1,0,0,1,2,0,0,2,2023_2T.xlsx
586,Castilla y León,37,13,6,3,4,3,1,0,0,7,2023_2T.xlsx
587,Ávila,3,1,2,0,0,0,0,0,0,0,2023_2T.xlsx
588,Burgos,5,1,0,1,0,1,0,0,0,2,2023_2T.xlsx
589,León,5,2,1,0,1,0,0,0,0,1,2023_2T.xlsx
590,Palencia,3,0,0,0,1,0,0,0,0,2,2023_2T.xlsx
591,Salamanca,5,3,0,1,0,0,0,0,0,1,2023_2T.xlsx
592,Segovia,6,4,0,0,0,2,0,0,0,0,2023_2T.xlsx
593,Soria,0,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
594,Valladolid,10,2,3,1,2,0,1,0,0,1,2023_2T.xlsx
595,Zamora,0,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
596,Castilla-La Mancha,23,5,4,1,2,1,2,1,0,7,2023_2T.xlsx
597,Albacete,5,1,1,1,1,0,1,0,0,0,2023_2T.xlsx
598,Ciudad Real,9,1,1,0,1,0,1,0,0,5,2023_2T.xlsx
599,Cuenca,4,2,0,0,0,0,0,1,0,1,2023_2T.xlsx
600,Guadalajara,1,0,0,0,0,1,0,0,0,0,2023_2T.xlsx
601,Toledo,4,1,2,0,0,0,0,0,0,1,2023_2T.xlsx
602,Cataluña,350,54,50,52,49,43,26,3,3,70,2023_2T.xlsx
603,Barcelona,313,45,48,46,46,39,21,3,3,62,2023_2T.xlsx
604,Girona,20,4,2,3,0,2,5,0,0,4,2023_2T.xlsx
605,Lleida,7,3,0,1,1,0,0,0,0,2,2023_2T.xlsx
606,Tarragona,10,2,0,2,2,2,0,0,0,2,2023_2T.xlsx
607,Comunitat Valenciana,233,42,41,46,20,18,13,5,1,47,2023_2T.xlsx
608,Alicante,79,14,16,18,5,6,4,1,1,14,2023_2T.xlsx
609,Castellón,18,0,2,3,3,3,1,1,0,5,2023_2T.xlsx
610,Valencia,136,28,23,25,12,9,8,3,0,28,2023_2T.xlsx
611,Extremadura,18,2,1,1,5,0,0,2,1,6,2023_2T.xlsx
612,Badajoz,12,1,1,1,3,0,0,2,0,4,2023_2T.xlsx
613,Cáceres,6,1,0,0,2,0,0,0,1,2,2023_2T.xlsx
614,Galicia,78,12,13,10,8,9,2,2,1,21,2023_2T.xlsx
615,A Coruña,39,7,7,4,6,2,2,1,0,10,2023_2T.xlsx
616,Lugo,14,2,3,1,0,1,0,1,0,6,2023_2T.xlsx
617,Ourense,4,0,1,2,0,1,0,0,0,0,2023_2T.xlsx
618,Pontevedra,21,3,2,3,2,5,0,0,1,5,2023_2T.xlsx
619,Madrid,206,46,30,22,21,15,7,3,3,59,2023_2T.xlsx
620,Murcia,36,9,4,2,0,7,4,1,1,8,2023_2T.xlsx
621,Navarra,15,0,2,4,2,2,2,1,0,2,2023_2T.xlsx
622,Pais Vasco,80,7,11,14,14,11,6,0,1,16,2023_2T.xlsx
623,Araba/Álava,14,0,2,4,4,2,1,0,1,0,2023_2T.xlsx
624,Bizkaia,48,4,6,9,9,7,5,0,0,8,2023_2T.xlsx
625,Gipuzkoa,18,3,3,1,1,2,0,0,0,8,2023_2T.xlsx
626,La Rioja,12,1,2,3,2,1,1,0,0,2,2023_2T.xlsx
627,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
628,Ceuta,0,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
629,Melilla,0,0,0,0,0,0,0,0,0,0,2023_2T.xlsx
630,Andalucía,109,22,19,11,7,7,11,1,3,28,2023_3T.xlsx
631,Almería,3,0,2,1,0,0,0,0,0,0,2023_3T.xlsx
632,Cádiz,14,4,2,1,1,0,3,0,0,3,2023_3T.xlsx
633,Córdoba,6,3,0,0,1,1,0,0,0,1,2023_3T.xlsx
634,Granada,13,2,0,1,1,1,2,0,0,6,2023_3T.xlsx
635,Huelva,3,0,1,0,0,0,0,0,0,2,2023_3T.xlsx
636,Jaén,2,0,0,0,1,0,0,0,0,1,2023_3T.xlsx
637,Málaga,18,3,6,2,1,3,1,0,0,2,2023_3T.xlsx
638,Sevilla,50,10,8,6,2,2,5,1,3,13,2023_3T.xlsx
639,Aragón,35,5,6,3,3,3,7,1,1,6,2023_3T.xlsx
640,Huesca,4,0,0,0,0,1,2,0,0,1,2023_3T.xlsx
641,Teruel,2,0,0,0,1,1,0,0,0,0,2023_3T.xlsx
642,Zaragoza,29,5,6,3,2,1,5,1,1,5,2023_3T.xlsx
643,Asturias,23,4,3,3,3,3,1,0,2,4,2023_3T.xlsx
644,"Balears, Illes",19,3,4,4,1,2,0,0,0,5,2023_3T.xlsx
645,Canarias,30,2,3,7,1,7,3,0,0,7,2023_3T.xlsx
646,Las Palmas de Gran Canaria,15,0,1,4,0,4,1,0,0,5,2023_3T.xlsx
647,Santa Cruz de Tenerife,15,2,2,3,1,3,2,0,0,2,2023_3T.xlsx
648,Cantabria,10,2,1,2,1,3,0,0,0,1,2023_3T.xlsx
649,Castilla y León,43,12,5,4,4,5,2,2,0,9,2023_3T.xlsx
650,Ávila,1,0,0,0,0,0,0,0,0,1,2023_3T.xlsx
651,Burgos,4,0,1,0,1,1,0,0,0,1,2023_3T.xlsx
652,León,7,2,0,3,1,1,0,0,0,0,2023_3T.xlsx
653,Palencia,1,0,0,1,0,0,0,0,0,0,2023_3T.xlsx
654,Salamanca,8,2,3,0,0,1,0,0,0,2,2023_3T.xlsx
655,Segovia,4,2,0,0,0,1,0,1,0,0,2023_3T.xlsx
656,Soria,3,1,1,0,0,0,0,0,0,1,2023_3T.xlsx
657,Valladolid,14,5,0,0,2,1,2,0,0,4,2023_3T.xlsx
658,Zamora,1,0,0,0,0,0,0,1,0,0,2023_3T.xlsx
659,Castilla-La Mancha,40,10,3,7,3,2,4,0,0,11,2023_3T.xlsx
660,Albacete,19,5,1,4,0,2,2,0,0,5,2023_3T.xlsx
661,Ciudad Real,9,2,0,1,1,0,0,0,0,5,2023_3T.xlsx
662,Cuenca,6,2,1,2,1,0,0,0,0,0,2023_3T.xlsx
663,Guadalajara,2,0,0,0,0,0,2,0,0,0,2023_3T.xlsx
664,Toledo,4,1,1,0,1,0,0,0,0,1,2023_3T.xlsx
665,Cataluña,321,69,55,44,36,19,12,4,3,79,2023_3T.xlsx
666,Barcelona,271,59,43,39,32,16,11,4,2,65,2023_3T.xlsx
667,Girona,26,6,4,2,3,1,1,0,1,8,2023_3T.xlsx
668,Lleida,11,3,2,1,0,0,0,0,0,5,2023_3T.xlsx
669,Tarragona,13,1,6,2,1,2,0,0,0,1,2023_3T.xlsx
670,Comunitat Valenciana,141,20,24,24,13,14,13,1,4,28,2023_3T.xlsx
671,Alicante,38,5,11,6,3,2,2,0,0,9,2023_3T.xlsx
672,Castellón,29,4,2,1,1,4,9,0,3,5,2023_3T.xlsx
673,Valencia,74,11,11,17,9,8,2,1,1,14,2023_3T.xlsx
674,Extremadura,17,5,3,1,0,2,1,0,1,4,2023_3T.xlsx
675,Badajoz,15,4,3,1,0,2,1,0,0,4,2023_3T.xlsx
676,Cáceres,2,1,0,0,0,0,0,0,1,0,2023_3T.xlsx
677,Galicia,52,13,9,9,5,5,2,1,1,7,2023_3T.xlsx
678,A Coruña,21,7,3,3,2,1,2,1,0,2,2023_3T.xlsx
679,Lugo,10,2,0,2,3,1,0,0,0,2,2023_3T.xlsx
680,Ourense,2,0,1,1,0,0,0,0,0,0,2023_3T.xlsx
681,Pontevedra,19,4,5,3,0,3,0,0,1,3,2023_3T.xlsx
682,Madrid,176,45,15,29,25,9,6,2,1,44,2023_3T.xlsx
683,Murcia,29,7,6,1,0,4,1,1,1,8,2023_3T.xlsx
684,Navarra,10,2,2,1,0,0,4,0,0,1,2023_3T.xlsx
685,Pais Vasco,57,14,11,5,7,6,8,0,0,6,2023_3T.xlsx
686,Araba/Álava,8,2,1,2,1,1,0,0,0,1,2023_3T.xlsx
687,Bizkaia,30,8,5,2,5,3,3,0,0,4,2023_3T.xlsx
688,Gipuzkoa,19,4,5,1,1,2,5,0,0,1,2023_3T.xlsx
689,La Rioja,6,2,1,1,0,1,1,0,0,0,2023_3T.xlsx
690,Ceuta y Melilla,0,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
691,Ceuta,0,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
692,Melilla,0,0,0,0,0,0,0,0,0,0,2023_3T.xlsx
693,Andalucía,150,32,11,19,13,20,14,2,3,36,2023_4T.xlsx
694,Almería,15,5,1,3,1,0,2,1,0,2,2023_4T.xlsx
695,Cádiz,22,5,1,2,3,2,2,0,0,7,2023_4T.xlsx
696,Córdoba,10,1,0,1,1,3,0,0,0,4,2023_4T.xlsx
697,Granada,10,1,2,2,0,1,1,0,0,3,2023_4T.xlsx
698,Huelva,9,0,0,1,1,1,1,1,0,4,2023_4T.xlsx
699,Jaén,7,1,0,1,0,3,1,0,0,1,2023_4T.xlsx
