,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
79,Las Palmas de Gran Canaria,17,1,2,2,2,4,2,1,0,3,2021_2T.xlsx
80,Santa Cruz de Tenerife,14,3,1,1,1,3,0,0,0,5,2021_2T.xlsx
81,Cantabria,10,2,2,0,1,0,0,0,0,5,2021_2T.xlsx
82,Castilla y León,39,7,7,7,4,5,0,0,0,9,2021_2T.xlsx
83,Ávila,2,2,0,0,0,0,0,0,0,0,2021_2T.xlsx
84,Burgos,9,2,0,4,1,0,0,0,0,2,2021_2T.xlsx
85,León,3,2,0,0,0,0,0,0,0,1,2021_2T.xlsx
86,Palencia,4,1,1,0,1,0,0,0,0,1,2021_2T.xlsx
87,Salamanca,4,0,1,2,0,1,0,0,0,0,2021_2T.xlsx
88,Segovia,1,0,1,0,0,0,0,0,0,0,2021_2T.xlsx
89,Soria,2,0,1,0,0,0,0,0,0,1,2021_2T.xlsx
90,Valladolid,10,0,2,0,2,2,0,0,0,4,2021_2T.xlsx
91,Zamora,4,0,1,1,0,2,0,0,0,0,2021_2T.xlsx
92,Castilla-La Mancha,31,6,2,7,5,1,2,0,0,8,2021_2T.xlsx
93,Albacete,8,2,1,2,1,0,0,0,0,2,2021_2T.xlsx
94,Ciudad Real,4,1,0,0,1,0,0,0,0,2,2021_2T.xlsx
95,Cuenca,3,1,0,1,1,0,0,0,0,0,2021_2T.xlsx
96,Guadalajara,4,1,0,1,0,0,1,0,0,1,2021_2T.xlsx
97,Toledo,12,1,1,3,2,1,1,0,0,3,2021_2T.xlsx
98,Cataluña,331,57,48,54,29,35,14,2,1,91,2021_2T.xlsx
99,Barcelona,274,47,43,46,25,27,13,1,1,71,2021_2T.xlsx
100,Girona,22,4,2,3,3,4,1,1,0,4,2021_2T.xlsx
101,Lleida,9,2,1,1,0,1,0,0,0,4,2021_2T.xlsx
102,Tarragona,26,4,2,4,1,3,0,0,0,12,2021_2T.xlsx
103,Comunitat Valenciana,176,27,28,25,18,27,6,2,1,42,2021_2T.xlsx
104,Alicante,54,10,5,9,7,10,3,1,1,8,2021_2T.xlsx
105,Castellón,11,1,3,1,2,0,1,0,0,3,2021_2T.xlsx
106,Valencia,111,16,20,15,9,17,2,1,0,31,2021_2T.xlsx
107,Extremadura,13,1,3,4,0,1,0,1,0,3,2021_2T.xlsx
108,Badajoz,9,1,2,3,0,1,0,1,0,1,2021_2T.xlsx
109,Cáceres,4,0,1,1,0,0,0,0,0,2,2021_2T.xlsx
110,Galicia,48,9,7,5,5,5,9,1,0,7,2021_2T.xlsx
111,A Coruña,17,1,2,2,2,3,6,1,0,0,2021_2T.xlsx
112,Lugo,6,1,0,1,0,2,1,0,0,1,2021_2T.xlsx
113,Ourense,4,1,1,0,1,0,0,0,0,1,2021_2T.xlsx
114,Pontevedra,21,6,4,2,2,0,2,0,0,5,2021_2T.xlsx
115,Madrid,345,75,51,57,35,32,10,5,4,76,2021_2T.xlsx
116,Murcia,25,3,4,1,4,6,0,1,0,6,2021_2T.xlsx
117,Navarra,7,1,0,1,2,0,1,0,0,2,2021_2T.xlsx
118,Pais Vasco,66,8,10,13,6,8,6,1,1,13,2021_2T.xlsx
119,Araba/Álava,10,2,1,2,1,1,1,0,0,2,2021_2T.xlsx
120,Bizkaia,32,3,5,4,2,3,3,1,1,10,2021_2T.xlsx
121,Gipuzkoa,24,3,4,7,3,4,2,0,0,1,2021_2T.xlsx
