,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
94,Ciudad Real,4,0,1,0,0,1,2,2021_2T.xlsx
95,Cuenca,3,0,1,1,1,0,0,2021_2T.xlsx
96,Guadalajara,4,0,1,3,0,0,0,2021_2T.xlsx
97,Toledo,12,1,3,0,1,2,5,2021_2T.xlsx
98,Cataluña,331,61,74,53,28,24,91,2021_2T.xlsx
99,Barcelona,274,56,61,41,22,20,74,2021_2T.xlsx
100,Girona,22,3,4,5,3,2,5,2021_2T.xlsx
101,Lleida,9,1,2,2,0,1,3,2021_2T.xlsx
102,Tarragona,26,1,7,5,3,1,9,2021_2T.xlsx
103,Comunitat Valenciana,176,26,39,23,31,15,42,2021_2T.xlsx
104,Alicante,54,7,13,5,9,5,15,2021_2T.xlsx
105,Castellón,11,2,3,1,0,0,5,2021_2T.xlsx
106,Valencia,111,17,23,17,22,10,22,2021_2T.xlsx
107,Extremadura,13,2,4,1,1,0,5,2021_2T.xlsx
108,Badajoz,9,1,4,1,0,0,3,2021_2T.xlsx
109,Cáceres,4,1,0,0,1,0,2,2021_2T.xlsx
110,Galicia,48,5,12,7,6,5,13,2021_2T.xlsx
111,A Coruña,17,0,5,2,4,2,4,2021_2T.xlsx
112,Lugo,6,1,1,1,1,1,1,2021_2T.xlsx
113,Ourense,4,0,2,0,0,1,1,2021_2T.xlsx
114,Pontevedra,21,4,4,4,1,1,7,2021_2T.xlsx
115,Madrid,345,57,98,52,41,25,72,2021_2T.xlsx
116,Murcia,25,4,6,3,5,2,5,2021_2T.xlsx
117,Navarra,7,2,1,2,0,0,2,2021_2T.xlsx
118,Pais Vasco,66,12,8,8,9,7,22,2021_2T.xlsx
119,Araba/Álava,10,2,2,2,1,0,3,2021_2T.xlsx
120,Bizkaia,32,6,3,4,5,4,10,2021_2T.xlsx
121,Gipuzkoa,24,4,3,2,3,3,9,2021_2T.xlsx
122,La Rioja,5,0,2,0,2,0,1,2021_2T.xlsx
123,Ceuta y Melilla,0,0,0,0,0,0,0,2021_2T.xlsx
124,Ceuta,0,0,0,0,0,0,0,2021_2T.xlsx
125,Melilla,0,0,0,0,0,0,0,2021_2T.xlsx
126,Andalucía,75,16,24,8,10,4,13,2021_3T.xlsx
127,Almería,10,3,1,4,1,1,0,2021_3T.xlsx
128,Cádiz,6,1,3,0,1,0,1,2021_3T.xlsx
129,Córdoba,6,4,1,0,0,0,1,2021_3T.xlsx
130,Granada,5,1,2,0,2,0,0,2021_3T.xlsx
131,Huelva,4,1,0,1,2,0,0,2021_3T.xlsx
132,Jaén,3,0,1,1,0,1,0,2021_3T.xlsx
133,Málaga,19,2,9,1,1,1,5,2021_3T.xlsx
134,Sevilla,22,4,7,1,3,1,6,2021_3T.xlsx
135,Aragón,28,7,6,3,3,2,7,2021_3T.xlsx
136,Huesca,1,0,0,0,0,0,1,2021_3T.xlsx
137,Teruel,1,0,1,0,0,0,0,2021_3T.xlsx
138,Zaragoza,26,7,5,3,3,2,6,2021_3T.xlsx
139,Asturias,10,2,3,0,2,2,1,2021_3T.xlsx
140,"Balears, Illes",21,3,8,3,1,1,5,2021_3T.xlsx
141,Canarias,29,7,6,3,2,1,10,2021_3T.xlsx
142,Las Palmas de Gran Canaria,20,6,5,1,0,1,7,2021_3T.xlsx
143,Santa Cruz de Tenerife,9,1,1,2,2,0,3,2021_3T.xlsx
144,Cantabria,4,0,0,0,1,1,2,2021_3T.xlsx
145,Castilla y León,34,8,12,3,3,3,5,2021_3T.xlsx
146,Ávila,1,0,0,0,0,1,0,2021_3T.xlsx
147,Burgos,3,1,1,0,0,1,0,2021_3T.xlsx
148,León,4,2,1,0,1,0,0,2021_3T.xlsx
149,Palencia,3,1,1,0,1,0,0,2021_3T.xlsx
150,Salamanca,6,0,2,2,0,0,2,2021_3T.xlsx
151,Segovia,1,0,1,0,0,0,0,2021_3T.xlsx
152,Soria,1,0,0,0,0,0,1,2021_3T.xlsx
153,Valladolid,15,4,6,1,1,1,2,2021_3T.xlsx
154,Zamora,0,0,0,0,0,0,0,2021_3T.xlsx
155,Castilla-La Mancha,37,8,9,4,6,1,9,2021_3T.xlsx
156,Albacete,6,2,1,1,0,0,2,2021_3T.xlsx
157,Ciudad Real,7,0,3,2,2,0,0,2021_3T.xlsx
158,Cuenca,6,2,1,0,0,0,3,2021_3T.xlsx
159,Guadalajara,4,0,1,1,1,1,0,2021_3T.xlsx
160,Toledo,14,4,3,0,3,0,4,2021_3T.xlsx
161,Cataluña,237,43,65,36,25,14,54,2021_3T.xlsx
162,Barcelona,198,38,55,32,19,12,42,2021_3T.xlsx
163,Girona,17,4,4,1,1,1,6,2021_3T.xlsx
164,Lleida,11,1,5,1,1,0,3,2021_3T.xlsx
165,Tarragona,11,0,1,2,4,1,3,2021_3T.xlsx
166,Comunitat Valenciana,146,29,43,21,10,7,36,2021_3T.xlsx
167,Alicante,44,9,9,11,1,2,12,2021_3T.xlsx
168,Castellón,20,3,6,1,1,2,7,2021_3T.xlsx
169,Valencia,82,17,28,9,8,3,17,2021_3T.xlsx
170,Extremadura,8,1,0,0,4,0,3,2021_3T.xlsx
171,Badajoz,5,1,0,0,2,0,2,2021_3T.xlsx
172,Cáceres,3,0,0,0,2,0,1,2021_3T.xlsx
173,Galicia,39,5,11,7,2,4,10,2021_3T.xlsx
174,A Coruña,15,1,3,5,1,0,5,2021_3T.xlsx
175,Lugo,7,1,1,1,0,2,2,2021_3T.xlsx
176,Ourense,3,0,1,1,0,0,1,2021_3T.xlsx
177,Pontevedra,14,3,6,0,1,2,2,2021_3T.xlsx
178,Madrid,205,40,50,39,18,11,47,2021_3T.xlsx
179,Murcia,16,1,5,3,1,1,5,2021_3T.xlsx
180,Navarra,6,1,1,1,0,0,3,2021_3T.xlsx
181,Pais Vasco,51,8,12,7,3,5,16,2021_3T.xlsx
182,Araba/Álava,5,1,2,1,1,0,0,2021_3T.xlsx
183,Bizkaia,22,2,7,2,1,2,8,2021_3T.xlsx
184,Gipuzkoa,24,5,3,4,1,3,8,2021_3T.xlsx
185,La Rioja,7,2,1,0,2,0,2,2021_3T.xlsx
186,Ceuta y Melilla,1,0,1,0,0,0,0,2021_3T.xlsx
187,Ceuta,1,0,1,0,0,0,0,2021_3T.xlsx
188,Melilla,0,0,0,0,0,0,0,2021_3T.xlsx
189,Andalucía,116,18,29,20,13,10,26,2021_4T.xlsx
190,Almería,12,0,2,4,2,2,2,2021_4T.xlsx
191,Cádiz,24,6,4,4,3,4,3,2021_4T.xlsx
192,Córdoba,10,0,4,2,1,1,2,2021_4T.xlsx
193,Granada,9,4,1,2,1,0,1,2021_4T.xlsx
194,Huelva,5,1,2,0,1,0,1,2021_4T.xlsx
195,Jaén,8,2,2,2,0,1,1,2021_4T.xlsx
196,Málaga,17,2,6,3,1,1,4,2021_4T.xlsx
197,Sevilla,31,3,8,3,4,1,12,2021_4T.xlsx
198,Aragón,33,5,6,2,7,4,9,2021_4T.xlsx
199,Huesca,5,0,2,0,0,1,2,2021_4T.xlsx
200,Teruel,6,0,0,1,2,2,1,2021_4T.xlsx
201,Zaragoza,22,5,4,1,5,1,6,2021_4T.xlsx
202,Asturias,19,5,8,1,2,0,3,2021_4T.xlsx
203,"Balears, Illes",16,5,4,2,2,0,3,2021_4T.xlsx
204,Canarias,27,4,10,1,3,3,6,2021_4T.xlsx
205,Las Palmas de Gran Canaria,17,3,7,0,1,2,4,2021_4T.xlsx
206,Santa Cruz de Tenerife,10,1,3,1,2,1,2,2021_4T.xlsx
207,Cantabria,11,2,2,0,2,1,4,2021_4T.xlsx
208,Castilla y León,26,5,6,1,4,5,5,2021_4T.xlsx
209,Ávila,2,0,1,1,0,0,0,2021_4T.xlsx
210,Burgos,5,1,1,0,2,1,0,2021_4T.xlsx
211,León,5,1,0,0,0,2,2,2021_4T.xlsx
212,Palencia,2,0,1,0,0,0,1,2021_4T.xlsx
213,Salamanca,2,0,2,0,0,0,0,2021_4T.xlsx
214,Segovia,1,0,0,0,0,0,1,2021_4T.xlsx
215,Soria,2,0,0,0,1,1,0,2021_4T.xlsx
216,Valladolid,7,3,1,0,1,1,1,2021_4T.xlsx
217,Zamora,0,0,0,0,0,0,0,2021_4T.xlsx
218,Castilla-La Mancha,32,2,7,4,6,1,12,2021_4T.xlsx
219,Albacete,8,0,1,1,1,1,4,2021_4T.xlsx
220,Ciudad Real,6,0,0,2,0,0,4,2021_4T.xlsx
221,Cuenca,2,0,0,0,2,0,0,2021_4T.xlsx
222,Guadalajara,3,2,0,0,1,0,0,2021_4T.xlsx
223,Toledo,13,0,6,1,2,0,4,2021_4T.xlsx
224,Cataluña,278,71,79,29,21,18,60,2021_4T.xlsx
225,Barcelona,242,62,67,26,19,15,53,2021_4T.xlsx
226,Girona,16,5,6,1,1,0,3,2021_4T.xlsx
227,Lleida,8,1,2,1,0,2,2,2021_4T.xlsx
228,Tarragona,12,3,4,1,1,1,2,2021_4T.xlsx
229,Comunitat Valenciana,175,36,29,20,27,17,46,2021_4T.xlsx
230,Alicante,53,7,8,6,10,7,15,2021_4T.xlsx
231,Castellón,27,6,2,3,4,4,8,2021_4T.xlsx
232,Valencia,95,23,19,11,13,6,23,2021_4T.xlsx
233,Extremadura,16,6,1,2,2,1,4,2021_4T.xlsx
234,Badajoz,10,5,1,2,1,0,1,2021_4T.xlsx
235,Cáceres,6,1,0,0,1,1,3,2021_4T.xlsx
236,Galicia,43,6,9,6,5,1,16,2021_4T.xlsx
237,A Coruña,23,4,4,5,2,1,7,2021_4T.xlsx
238,Lugo,8,1,0,1,1,0,5,2021_4T.xlsx
239,Ourense,3,0,1,0,1,0,1,2021_4T.xlsx
240,Pontevedra,9,1,4,0,1,0,3,2021_4T.xlsx
241,Madrid,264,56,66,40,36,13,53,2021_4T.xlsx
242,Murcia,17,5,6,2,0,2,2,2021_4T.xlsx
243,Navarra,13,3,4,4,1,0,1,2021_4T.xlsx
244,Pais Vasco,63,9,8,6,6,6,28,2021_4T.xlsx
245,Araba/Álava,6,1,0,1,1,1,2,2021_4T.xlsx
246,Bizkaia,42,7,5,5,2,4,19,2021_4T.xlsx
247,Gipuzkoa,15,1,3,0,3,1,7,2021_4T.xlsx
248,La Rioja,0,0,0,0,0,0,0,2021_4T.xlsx
249,Ceuta y Melilla,1,0,0,0,0,0,1,2021_4T.xlsx
250,Ceuta,0,0,0,0,0,0,0,2021_4T.xlsx
251,Melilla,1,0,0,0,0,0,1,2021_4T.xlsx
252,Andalucía,109,24,23,19,13,8,22,2022_1T.xlsx
253,Almería,8,2,1,1,1,2,1,2022_1T.xlsx
254,Cádiz,12,1,3,1,1,2,4,2022_1T.xlsx
255,Córdoba,8,2,4,0,2,0,0,2022_1T.xlsx
256,Granada,12,3,1,5,0,1,2,2022_1T.xlsx
257,Huelva,7,1,0,1,1,0,4,2022_1T.xlsx
258,Jaén,1,0,0,1,0,0,0,2022_1T.xlsx
259,Málaga,25,10,7,3,2,0,3,2022_1T.xlsx
260,Sevilla,36,5,7,7,6,3,8,2022_1T.xlsx
261,Aragón,48,6,14,11,4,2,11,2022_1T.xlsx
262,Huesca,4,1,1,1,0,0,1,2022_1T.xlsx
263,Teruel,3,1,0,0,1,0,1,2022_1T.xlsx
264,Zaragoza,41,4,13,10,3,2,9,2022_1T.xlsx
265,Asturias,23,4,5,2,3,2,7,2022_1T.xlsx
266,"Balears, Illes",34,7,9,5,6,2,5,2022_1T.xlsx
267,Canarias,28,8,6,4,4,2,4,2022_1T.xlsx
268,Las Palmas de Gran Canaria,17,5,3,4,1,2,2,2022_1T.xlsx
269,Santa Cruz de Tenerife,11,3,3,0,3,0,2,2022_1T.xlsx
270,Cantabria,20,8,5,2,2,1,2,2022_1T.xlsx
271,Castilla y León,22,5,4,5,3,0,5,2022_1T.xlsx
