,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
409,Ciudad Real,3,1,0,0,0,0,2,2022_3T.xlsx
410,Cuenca,7,2,2,1,1,0,1,2022_3T.xlsx
411,Guadalajara,4,2,0,0,1,0,1,2022_3T.xlsx
412,Toledo,17,6,2,1,1,1,6,2022_3T.xlsx
413,Cataluña,452,112,96,59,48,39,98,2022_3T.xlsx
414,Barcelona,368,88,83,50,38,30,79,2022_3T.xlsx
415,Girona,38,14,6,2,3,2,11,2022_3T.xlsx
416,Lleida,31,6,4,5,6,5,5,2022_3T.xlsx
417,Tarragona,15,4,3,2,1,2,3,2022_3T.xlsx
418,Comunitat Valenciana,264,65,69,30,30,15,55,2022_3T.xlsx
419,Alicante,75,19,21,13,13,1,8,2022_3T.xlsx
420,Castellón,24,5,5,4,3,0,7,2022_3T.xlsx
421,Valencia,165,41,43,13,14,14,40,2022_3T.xlsx
422,Extremadura,25,7,5,4,2,0,7,2022_3T.xlsx
423,Badajoz,13,3,2,2,1,0,5,2022_3T.xlsx
424,Cáceres,12,4,3,2,1,0,2,2022_3T.xlsx
425,Galicia,59,13,10,10,8,5,13,2022_3T.xlsx
426,A Coruña,21,4,5,5,2,0,5,2022_3T.xlsx
427,Lugo,21,6,2,2,2,3,6,2022_3T.xlsx
428,Ourense,0,0,0,0,0,0,0,2022_3T.xlsx
429,Pontevedra,17,3,3,3,4,2,2,2022_3T.xlsx
430,Madrid,455,114,137,52,48,21,83,2022_3T.xlsx
431,Murcia,51,10,15,1,6,2,17,2022_3T.xlsx
432,Navarra,10,2,2,1,3,1,1,2022_3T.xlsx
433,Pais Vasco,100,16,18,15,10,11,30,2022_3T.xlsx
434,Araba/Álava,17,3,3,4,3,0,4,2022_3T.xlsx
435,Bizkaia,55,11,12,6,4,8,14,2022_3T.xlsx
436,Gipuzkoa,28,2,3,5,3,3,12,2022_3T.xlsx
437,La Rioja,8,0,1,2,1,1,3,2022_3T.xlsx
438,Ceuta y Melilla,0,0,0,0,0,0,0,2022_3T.xlsx
439,Ceuta,0,0,0,0,0,0,0,2022_3T.xlsx
440,Melilla,0,0,0,0,0,0,0,2022_3T.xlsx
441,Andalucía,190,46,46,24,21,13,40,2022_4T.xlsx
442,Almería,22,5,7,2,1,2,5,2022_4T.xlsx
443,Cádiz,29,9,5,3,4,1,7,2022_4T.xlsx
444,Córdoba,11,2,2,2,1,2,2,2022_4T.xlsx
445,Granada,16,2,6,2,2,0,4,2022_4T.xlsx
446,Huelva,9,1,3,1,2,0,2,2022_4T.xlsx
447,Jaén,6,2,0,1,1,2,0,2022_4T.xlsx
448,Málaga,32,11,9,2,2,1,7,2022_4T.xlsx
449,Sevilla,65,14,14,11,8,5,13,2022_4T.xlsx
450,Aragón,34,10,5,7,6,1,5,2022_4T.xlsx
451,Huesca,2,1,0,0,1,0,0,2022_4T.xlsx
452,Teruel,1,0,0,0,0,0,1,2022_4T.xlsx
453,Zaragoza,31,9,5,7,5,1,4,2022_4T.xlsx
454,Asturias,23,6,7,3,4,1,2,2022_4T.xlsx
455,"Balears, Illes",24,7,7,7,0,1,2,2022_4T.xlsx
456,Canarias,31,4,9,7,2,1,8,2022_4T.xlsx
457,Las Palmas de Gran Canaria,16,1,4,5,2,0,4,2022_4T.xlsx
458,Santa Cruz de Tenerife,15,3,5,2,0,1,4,2022_4T.xlsx
459,Cantabria,8,0,1,1,0,0,6,2022_4T.xlsx
460,Castilla y León,49,13,7,3,7,2,17,2022_4T.xlsx
461,Ávila,2,1,1,0,0,0,0,2022_4T.xlsx
462,Burgos,14,3,2,0,2,0,7,2022_4T.xlsx
463,León,5,0,0,1,1,1,2,2022_4T.xlsx
464,Palencia,2,0,0,0,1,0,1,2022_4T.xlsx
465,Salamanca,9,1,1,1,2,1,3,2022_4T.xlsx
466,Segovia,3,0,1,0,1,0,1,2022_4T.xlsx
467,Soria,2,2,0,0,0,0,0,2022_4T.xlsx
468,Valladolid,10,5,2,1,0,0,2,2022_4T.xlsx
469,Zamora,2,1,0,0,0,0,1,2022_4T.xlsx
470,Castilla-La Mancha,42,7,9,4,6,3,13,2022_4T.xlsx
471,Albacete,14,2,2,0,2,2,6,2022_4T.xlsx
472,Ciudad Real,0,0,0,0,0,0,0,2022_4T.xlsx
473,Cuenca,2,0,0,0,0,0,2,2022_4T.xlsx
474,Guadalajara,8,2,1,0,2,0,3,2022_4T.xlsx
475,Toledo,18,3,6,4,2,1,2,2022_4T.xlsx
476,Cataluña,306,78,66,32,28,29,73,2022_4T.xlsx
477,Barcelona,261,71,56,29,21,21,63,2022_4T.xlsx
478,Girona,16,6,4,1,2,0,3,2022_4T.xlsx
479,Lleida,22,0,3,2,5,7,5,2022_4T.xlsx
480,Tarragona,7,1,3,0,0,1,2,2022_4T.xlsx
481,Comunitat Valenciana,259,69,61,29,29,19,52,2022_4T.xlsx
482,Alicante,83,19,23,15,8,3,15,2022_4T.xlsx
483,Castellón,32,8,7,3,7,1,6,2022_4T.xlsx
484,Valencia,144,42,31,11,14,15,31,2022_4T.xlsx
485,Extremadura,15,4,1,0,3,1,6,2022_4T.xlsx
486,Badajoz,10,3,1,0,2,0,4,2022_4T.xlsx
487,Cáceres,5,1,0,0,1,1,2,2022_4T.xlsx
488,Galicia,61,14,8,7,4,6,22,2022_4T.xlsx
489,A Coruña,31,7,3,4,2,5,10,2022_4T.xlsx
490,Lugo,9,2,1,1,0,0,5,2022_4T.xlsx
491,Ourense,2,1,0,0,0,0,1,2022_4T.xlsx
492,Pontevedra,19,4,4,2,2,1,6,2022_4T.xlsx
493,Madrid,458,156,113,55,41,23,70,2022_4T.xlsx
494,Murcia,40,12,6,6,2,2,12,2022_4T.xlsx
495,Navarra,5,1,3,0,0,0,1,2022_4T.xlsx
496,Pais Vasco,64,16,13,4,3,4,24,2022_4T.xlsx
497,Araba/Álava,8,1,2,0,1,2,2,2022_4T.xlsx
498,Bizkaia,37,12,6,2,0,2,15,2022_4T.xlsx
499,Gipuzkoa,19,3,5,2,2,0,7,2022_4T.xlsx
500,La Rioja,3,0,0,0,0,0,3,2022_4T.xlsx
501,Ceuta y Melilla,1,0,1,0,0,0,0,2022_4T.xlsx
502,Ceuta,1,0,1,0,0,0,0,2022_4T.xlsx
503,Melilla,0,0,0,0,0,0,0,2022_4T.xlsx
504,Andalucía,109,37,28,6,13,4,21,2023_1T.xlsx
505,Almería,9,2,4,1,0,0,2,2023_1T.xlsx
506,Cádiz,7,1,3,0,0,0,3,2023_1T.xlsx
507,Córdoba,11,5,2,0,3,0,1,2023_1T.xlsx
508,Granada,10,6,1,0,0,1,2,2023_1T.xlsx
509,Huelva,4,1,0,0,1,0,2,2023_1T.xlsx
510,Jaén,5,2,2,0,0,0,1,2023_1T.xlsx
511,Málaga,17,4,3,1,3,1,5,2023_1T.xlsx
512,Sevilla,46,16,13,4,6,2,5,2023_1T.xlsx
513,Aragón,45,12,12,3,4,3,11,2023_1T.xlsx
514,Huesca,4,0,0,1,0,1,2,2023_1T.xlsx
515,Teruel,5,2,0,0,0,0,3,2023_1T.xlsx
516,Zaragoza,36,10,12,2,4,2,6,2023_1T.xlsx
517,Asturias,18,3,4,3,1,1,6,2023_1T.xlsx
518,"Balears, Illes",26,13,5,4,2,0,2,2023_1T.xlsx
519,Canarias,25,5,11,1,2,2,4,2023_1T.xlsx
520,Las Palmas de Gran Canaria,15,3,6,0,1,1,4,2023_1T.xlsx
521,Santa Cruz de Tenerife,10,2,5,1,1,1,0,2023_1T.xlsx
522,Cantabria,4,1,0,1,1,0,1,2023_1T.xlsx
523,Castilla y León,31,9,7,4,2,4,5,2023_1T.xlsx
524,Ávila,2,0,2,0,0,0,0,2023_1T.xlsx
525,Burgos,9,1,1,1,1,2,3,2023_1T.xlsx
526,León,2,1,0,0,0,1,0,2023_1T.xlsx
527,Palencia,1,0,0,0,0,0,1,2023_1T.xlsx
528,Salamanca,7,4,2,1,0,0,0,2023_1T.xlsx
529,Segovia,2,0,1,0,1,0,0,2023_1T.xlsx
530,Soria,0,0,0,0,0,0,0,2023_1T.xlsx
531,Valladolid,5,2,0,2,0,1,0,2023_1T.xlsx
532,Zamora,3,1,1,0,0,0,1,2023_1T.xlsx
533,Castilla-La Mancha,25,4,7,2,1,1,10,2023_1T.xlsx
534,Albacete,7,3,2,1,0,0,1,2023_1T.xlsx
535,Ciudad Real,10,0,2,0,1,1,6,2023_1T.xlsx
536,Cuenca,3,0,1,1,0,0,1,2023_1T.xlsx
537,Guadalajara,2,1,0,0,0,0,1,2023_1T.xlsx
538,Toledo,3,0,2,0,0,0,1,2023_1T.xlsx
539,Cataluña,262,73,45,29,24,17,74,2023_1T.xlsx
540,Barcelona,231,69,41,25,21,15,60,2023_1T.xlsx
541,Girona,8,1,1,1,1,1,3,2023_1T.xlsx
542,Lleida,10,1,1,0,1,1,6,2023_1T.xlsx
543,Tarragona,13,2,2,3,1,0,5,2023_1T.xlsx
544,Comunitat Valenciana,174,37,45,18,24,5,45,2023_1T.xlsx
545,Alicante,34,7,14,3,2,0,8,2023_1T.xlsx
546,Castellón,35,4,8,6,5,1,11,2023_1T.xlsx
547,Valencia,105,26,23,9,17,4,26,2023_1T.xlsx
548,Extremadura,6,2,2,0,1,0,1,2023_1T.xlsx
549,Badajoz,4,2,1,0,0,0,1,2023_1T.xlsx
550,Cáceres,2,0,1,0,1,0,0,2023_1T.xlsx
551,Galicia,31,6,6,4,3,5,7,2023_1T.xlsx
552,A Coruña,5,1,0,2,0,1,1,2023_1T.xlsx
553,Lugo,4,0,0,0,1,2,1,2023_1T.xlsx
554,Ourense,1,0,0,0,0,0,1,2023_1T.xlsx
555,Pontevedra,21,5,6,2,2,2,4,2023_1T.xlsx
556,Madrid,192,54,41,26,20,14,37,2023_1T.xlsx
557,Murcia,26,4,4,1,7,2,8,2023_1T.xlsx
558,Navarra,6,0,1,1,1,0,3,2023_1T.xlsx
559,Pais Vasco,47,7,8,10,6,2,14,2023_1T.xlsx
560,Araba/Álava,6,1,1,0,1,1,2,2023_1T.xlsx
561,Bizkaia,25,3,5,5,3,1,8,2023_1T.xlsx
562,Gipuzkoa,16,3,2,5,2,0,4,2023_1T.xlsx
563,La Rioja,8,0,3,2,0,1,2,2023_1T.xlsx
564,Ceuta y Melilla,2,0,0,1,1,0,0,2023_1T.xlsx
565,Ceuta,2,0,0,1,1,0,0,2023_1T.xlsx
566,Melilla,0,0,0,0,0,0,0,2023_1T.xlsx
567,Andalucía,121,35,27,10,15,7,27,2023_2T.xlsx
568,Almería,19,3,6,0,3,2,5,2023_2T.xlsx
569,Cádiz,4,3,0,1,0,0,0,2023_2T.xlsx
570,Córdoba,8,1,1,1,2,1,2,2023_2T.xlsx
571,Granada,15,5,4,0,0,2,4,2023_2T.xlsx
572,Huelva,3,1,1,0,0,0,1,2023_2T.xlsx
573,Jaén,7,1,3,0,1,1,1,2023_2T.xlsx
574,Málaga,27,10,4,4,4,0,5,2023_2T.xlsx
575,Sevilla,38,11,8,4,5,1,9,2023_2T.xlsx
576,Aragón,40,12,5,5,2,3,13,2023_2T.xlsx
577,Huesca,7,1,1,2,0,1,2,2023_2T.xlsx
578,Teruel,2,0,0,1,1,0,0,2023_2T.xlsx
579,Zaragoza,31,11,4,2,1,2,11,2023_2T.xlsx
580,Asturias,17,5,4,3,0,1,4,2023_2T.xlsx
581,"Balears, Illes",31,9,6,5,3,0,8,2023_2T.xlsx
582,Canarias,33,8,11,3,5,2,4,2023_2T.xlsx
583,Las Palmas de Gran Canaria,21,6,4,2,5,1,3,2023_2T.xlsx
584,Santa Cruz de Tenerife,12,2,7,1,0,1,1,2023_2T.xlsx
585,Cantabria,7,1,2,0,0,0,4,2023_2T.xlsx
586,Castilla y León,37,9,4,3,2,4,15,2023_2T.xlsx
587,Ávila,3,0,0,0,0,0,3,2023_2T.xlsx
588,Burgos,5,1,2,0,0,0,2,2023_2T.xlsx
589,León,5,0,1,1,1,1,1,2023_2T.xlsx
590,Palencia,3,1,0,0,0,1,1,2023_2T.xlsx
591,Salamanca,5,1,0,1,1,1,1,2023_2T.xlsx
592,Segovia,6,3,0,0,0,0,3,2023_2T.xlsx
593,Soria,0,0,0,0,0,0,0,2023_2T.xlsx
594,Valladolid,10,3,1,1,0,1,4,2023_2T.xlsx
595,Zamora,0,0,0,0,0,0,0,2023_2T.xlsx
596,Castilla-La Mancha,23,2,5,3,1,5,7,2023_2T.xlsx
597,Albacete,5,0,0,2,0,1,2,2023_2T.xlsx
598,Ciudad Real,9,2,3,0,1,3,0,2023_2T.xlsx
599,Cuenca,4,0,0,1,0,0,3,2023_2T.xlsx
600,Guadalajara,1,0,1,0,0,0,0,2023_2T.xlsx
601,Toledo,4,0,1,0,0,1,2,2023_2T.xlsx
602,Cataluña,350,88,80,50,24,23,85,2023_2T.xlsx
603,Barcelona,313,80,74,46,22,19,72,2023_2T.xlsx
604,Girona,20,3,4,4,1,1,7,2023_2T.xlsx
605,Lleida,7,1,0,0,1,2,3,2023_2T.xlsx
606,Tarragona,10,4,2,0,0,1,3,2023_2T.xlsx
607,Comunitat Valenciana,233,76,53,23,18,7,56,2023_2T.xlsx
608,Alicante,79,27,20,7,3,1,21,2023_2T.xlsx
609,Castellón,18,5,4,0,3,0,6,2023_2T.xlsx
610,Valencia,136,44,29,16,12,6,29,2023_2T.xlsx
611,Extremadura,18,4,1,3,5,1,4,2023_2T.xlsx
612,Badajoz,12,1,1,3,3,0,4,2023_2T.xlsx
613,Cáceres,6,3,0,0,2,1,0,2023_2T.xlsx
614,Galicia,78,12,22,10,10,1,23,2023_2T.xlsx
615,A Coruña,39,7,10,6,8,1,7,2023_2T.xlsx
616,Lugo,14,2,2,1,1,0,8,2023_2T.xlsx
617,Ourense,4,1,2,1,0,0,0,2023_2T.xlsx
618,Pontevedra,21,2,8,2,1,0,8,2023_2T.xlsx
619,Madrid,206,55,39,28,18,23,43,2023_2T.xlsx
620,Murcia,36,9,4,3,5,6,9,2023_2T.xlsx
621,Navarra,15,4,1,2,4,1,3,2023_2T.xlsx
622,Pais Vasco,80,22,14,9,5,11,19,2023_2T.xlsx
623,Araba/Álava,14,6,1,1,1,2,3,2023_2T.xlsx
624,Bizkaia,48,11,10,7,2,7,11,2023_2T.xlsx
625,Gipuzkoa,18,5,3,1,2,2,5,2023_2T.xlsx
626,La Rioja,12,1,4,1,1,2,3,2023_2T.xlsx
627,Ceuta y Melilla,0,0,0,0,0,0,0,2023_2T.xlsx
628,Ceuta,0,0,0,0,0,0,0,2023_2T.xlsx
629,Melilla,0,0,0,0,0,0,0,2023_2T.xlsx
630,Andalucía,109,37,31,9,5,4,23,2023_3T.xlsx
631,Almería,3,0,1,0,1,0,1,2023_3T.xlsx
632,Cádiz,14,3,4,4,0,0,3,2023_3T.xlsx
633,Córdoba,6,3,0,0,1,0,2,2023_3T.xlsx
634,Granada,13,1,4,1,2,1,4,2023_3T.xlsx
635,Huelva,3,2,1,0,0,0,0,2023_3T.xlsx
636,Jaén,2,1,1,0,0,0,0,2023_3T.xlsx
637,Málaga,18,11,5,0,0,0,2,2023_3T.xlsx
638,Sevilla,50,16,15,4,1,3,11,2023_3T.xlsx
639,Aragón,35,6,8,2,1,2,16,2023_3T.xlsx
640,Huesca,4,1,0,0,0,0,3,2023_3T.xlsx
641,Teruel,2,0,0,0,0,1,1,2023_3T.xlsx
642,Zaragoza,29,5,8,2,1,1,12,2023_3T.xlsx
643,Asturias,23,7,3,3,0,1,9,2023_3T.xlsx
644,"Balears, Illes",19,9,7,2,0,0,1,2023_3T.xlsx
645,Canarias,30,4,3,6,4,5,8,2023_3T.xlsx
646,Las Palmas de Gran Canaria,15,3,1,2,2,2,5,2023_3T.xlsx
647,Santa Cruz de Tenerife,15,1,2,4,2,3,3,2023_3T.xlsx
648,Cantabria,10,1,0,3,1,0,5,2023_3T.xlsx
649,Castilla y León,43,10,7,9,4,4,9,2023_3T.xlsx
650,Ávila,1,1,0,0,0,0,0,2023_3T.xlsx
651,Burgos,4,0,1,1,0,1,1,2023_3T.xlsx
652,León,7,1,1,3,0,0,2,2023_3T.xlsx
653,Palencia,1,0,0,0,0,0,1,2023_3T.xlsx
654,Salamanca,8,2,1,3,1,0,1,2023_3T.xlsx
655,Segovia,4,2,1,0,0,1,0,2023_3T.xlsx
656,Soria,3,0,1,1,0,0,1,2023_3T.xlsx
657,Valladolid,14,4,2,1,3,2,2,2023_3T.xlsx
658,Zamora,1,0,0,0,0,0,1,2023_3T.xlsx
659,Castilla-La Mancha,40,8,8,6,3,2,13,2023_3T.xlsx
660,Albacete,19,3,4,3,3,0,6,2023_3T.xlsx
661,Ciudad Real,9,1,1,3,0,1,3,2023_3T.xlsx
662,Cuenca,6,3,0,0,0,0,3,2023_3T.xlsx
663,Guadalajara,2,0,1,0,0,1,0,2023_3T.xlsx
664,Toledo,4,1,2,0,0,0,1,2023_3T.xlsx
665,Cataluña,321,105,66,38,24,15,73,2023_3T.xlsx
666,Barcelona,271,89,59,33,24,14,52,2023_3T.xlsx
667,Girona,26,9,3,3,0,0,11,2023_3T.xlsx
668,Lleida,11,2,1,1,0,0,7,2023_3T.xlsx
669,Tarragona,13,5,3,1,0,1,3,2023_3T.xlsx
670,Comunitat Valenciana,141,38,33,22,10,7,31,2023_3T.xlsx
671,Alicante,38,11,10,5,2,1,9,2023_3T.xlsx
672,Castellón,29,3,10,6,1,2,7,2023_3T.xlsx
673,Valencia,74,24,13,11,7,4,15,2023_3T.xlsx
674,Extremadura,17,2,3,3,2,0,7,2023_3T.xlsx
675,Badajoz,15,2,2,3,1,0,7,2023_3T.xlsx
676,Cáceres,2,0,1,0,1,0,0,2023_3T.xlsx
677,Galicia,52,15,11,8,2,6,10,2023_3T.xlsx
678,A Coruña,21,7,6,3,0,4,1,2023_3T.xlsx
679,Lugo,10,4,0,2,1,1,2,2023_3T.xlsx
680,Ourense,2,2,0,0,0,0,0,2023_3T.xlsx
681,Pontevedra,19,2,5,3,1,1,7,2023_3T.xlsx
682,Madrid,176,66,27,17,12,8,46,2023_3T.xlsx
683,Murcia,29,5,4,4,8,1,7,2023_3T.xlsx
684,Navarra,10,1,3,0,1,2,3,2023_3T.xlsx
685,Pais Vasco,57,14,10,3,5,6,19,2023_3T.xlsx
686,Araba/Álava,8,2,3,0,0,1,2,2023_3T.xlsx
687,Bizkaia,30,9,3,3,4,2,9,2023_3T.xlsx
688,Gipuzkoa,19,3,4,0,1,3,8,2023_3T.xlsx
689,La Rioja,6,1,1,1,1,1,1,2023_3T.xlsx
690,Ceuta y Melilla,0,0,0,0,0,0,0,2023_3T.xlsx
691,Ceuta,0,0,0,0,0,0,0,2023_3T.xlsx
692,Melilla,0,0,0,0,0,0,0,2023_3T.xlsx
693,Andalucía,150,43,35,24,13,8,27,2023_4T.xlsx
694,Almería,15,4,4,2,0,0,5,2023_4T.xlsx
695,Cádiz,22,6,3,7,0,3,3,2023_4T.xlsx
696,Córdoba,10,4,2,2,1,0,1,2023_4T.xlsx
697,Granada,10,3,1,2,2,0,2,2023_4T.xlsx
698,Huelva,9,0,5,0,1,1,2,2023_4T.xlsx
699,Jaén,7,4,1,1,0,0,1,2023_4T.xlsx
700,Málaga,25,7,8,5,0,2,3,2023_4T.xlsx
701,Sevilla,52,15,11,5,9,2,10,2023_4T.xlsx
702,Aragón,26,8,4,1,3,0,10,2023_4T.xlsx
703,Huesca,8,4,2,0,0,0,2,2023_4T.xlsx
704,Teruel,2,0,0,0,0,0,2,2023_4T.xlsx
705,Zaragoza,16,4,2,1,3,0,6,2023_4T.xlsx
706,Asturias,22,3,7,0,2,2,8,2023_4T.xlsx
707,"Balears, Illes",27,13,4,2,4,0,4,2023_4T.xlsx
708,Canarias,34,11,10,4,3,1,5,2023_4T.xlsx
709,Las Palmas de Gran Canaria,22,8,7,2,2,1,2,2023_4T.xlsx
710,Santa Cruz de Tenerife,12,3,3,2,1,0,3,2023_4T.xlsx
711,Cantabria,11,1,2,5,0,1,2,2023_4T.xlsx
712,Castilla y León,43,11,7,3,7,3,12,2023_4T.xlsx
713,Ávila,1,0,0,0,1,0,0,2023_4T.xlsx
714,Burgos,12,3,1,1,3,1,3,2023_4T.xlsx
715,León,7,1,4,0,1,0,1,2023_4T.xlsx
716,Palencia,0,0,0,0,0,0,0,2023_4T.xlsx
717,Salamanca,9,3,1,0,0,1,4,2023_4T.xlsx
718,Segovia,0,0,0,0,0,0,0,2023_4T.xlsx
719,Soria,1,1,0,0,0,0,0,2023_4T.xlsx
720,Valladolid,13,3,1,2,2,1,4,2023_4T.xlsx
721,Zamora,0,0,0,0,0,0,0,2023_4T.xlsx
722,Castilla-La Mancha,55,17,10,5,3,5,15,2023_4T.xlsx
723,Albacete,20,6,3,3,1,3,4,2023_4T.xlsx
724,Ciudad Real,12,3,5,1,0,1,2,2023_4T.xlsx
725,Cuenca,3,2,0,0,0,0,1,2023_4T.xlsx
726,Guadalajara,4,2,1,0,0,0,1,2023_4T.xlsx
727,Toledo,16,4,1,1,2,1,7,2023_4T.xlsx
728,Cataluña,384,126,83,37,34,25,79,2023_4T.xlsx
729,Barcelona,320,113,71,25,25,24,62,2023_4T.xlsx
730,Girona,19,6,3,2,3,0,5,2023_4T.xlsx
731,Lleida,16,0,3,5,3,1,4,2023_4T.xlsx
732,Tarragona,29,7,6,5,3,0,8,2023_4T.xlsx
733,Comunitat Valenciana,207,80,41,23,16,10,37,2023_4T.xlsx
734,Alicante,82,31,23,5,6,3,14,2023_4T.xlsx
735,Castellón,10,4,3,1,0,0,2,2023_4T.xlsx
736,Valencia,115,45,15,17,10,7,21,2023_4T.xlsx
737,Extremadura,15,3,5,0,3,3,1,2023_4T.xlsx
738,Badajoz,13,3,5,0,3,1,1,2023_4T.xlsx
739,Cáceres,2,0,0,0,0,2,0,2023_4T.xlsx
740,Galicia,79,17,16,10,6,7,23,2023_4T.xlsx
741,A Coruña,30,5,6,3,4,2,10,2023_4T.xlsx
742,Lugo,13,3,4,3,1,0,2,2023_4T.xlsx
743,Ourense,2,1,1,0,0,0,0,2023_4T.xlsx
744,Pontevedra,34,8,5,4,1,5,11,2023_4T.xlsx
745,Madrid,286,78,73,32,30,13,60,2023_4T.xlsx
746,Murcia,54,18,12,10,3,2,9,2023_4T.xlsx
747,Navarra,12,6,4,0,1,0,1,2023_4T.xlsx
748,Pais Vasco,57,17,9,6,7,4,14,2023_4T.xlsx
749,Araba/Álava,4,2,1,1,0,0,0,2023_4T.xlsx
750,Bizkaia,38,12,5,5,4,3,9,2023_4T.xlsx
751,Gipuzkoa,15,3,3,0,3,1,5,2023_4T.xlsx
752,La Rioja,8,1,3,2,0,1,1,2023_4T.xlsx
753,Ceuta y Melilla,1,0,0,0,0,0,1,2023_4T.xlsx
754,Ceuta,1,0,0,0,0,0,1,2023_4T.xlsx
755,Melilla,0,0,0,0,0,0,0,2023_4T.xlsx
756,Andalucía,130,45,35,10,10,6,24,2024_1T.xlsx
757,Almería,10,2,3,0,1,0,4,2024_1T.xlsx
758,Cádiz,9,4,3,0,1,0,1,2024_1T.xlsx
759,Córdoba,15,6,0,1,0,2,6,2024_1T.xlsx
760,Granada,15,5,4,1,2,1,2,2024_1T.xlsx
761,Huelva,7,1,1,2,0,1,2,2024_1T.xlsx
762,Jaén,6,1,1,0,0,2,2,2024_1T.xlsx
763,Málaga,33,11,11,3,3,0,5,2024_1T.xlsx
764,Sevilla,35,15,12,3,3,0,2,2024_1T.xlsx
765,Aragón,33,8,3,3,3,2,14,2024_1T.xlsx
766,Huesca,3,0,0,0,1,0,2,2024_1T.xlsx
767,Teruel,2,1,0,0,0,0,1,2024_1T.xlsx
768,Zaragoza,28,7,3,3,2,2,11,2024_1T.xlsx
769,Asturias,27,5,6,7,1,3,5,2024_1T.xlsx
770,"Balears, Illes",18,9,2,2,4,0,1,2024_1T.xlsx
771,Canarias,27,9,3,4,2,3,6,2024_1T.xlsx
772,Las Palmas de Gran Canaria,14,4,2,2,1,1,4,2024_1T.xlsx
773,Santa Cruz de Tenerife,13,5,1,2,1,2,2,2024_1T.xlsx
774,Cantabria,17,8,3,2,2,0,2,2024_1T.xlsx
775,Castilla y León,50,13,6,10,2,4,15,2024_1T.xlsx
776,Ávila,0,0,0,0,0,0,0,2024_1T.xlsx
777,Burgos,8,1,2,0,1,1,3,2024_1T.xlsx
778,León,7,2,1,1,0,0,3,2024_1T.xlsx
779,Palencia,4,1,0,1,0,1,1,2024_1T.xlsx
780,Salamanca,8,0,0,2,1,1,4,2024_1T.xlsx
781,Segovia,4,2,1,1,0,0,0,2024_1T.xlsx
782,Soria,2,2,0,0,0,0,0,2024_1T.xlsx
783,Valladolid,16,5,2,5,0,1,3,2024_1T.xlsx
784,Zamora,1,0,0,0,0,0,1,2024_1T.xlsx
785,Castilla-La Mancha,34,14,7,4,1,0,8,2024_1T.xlsx
786,Albacete,12,5,2,3,0,0,2,2024_1T.xlsx
787,Ciudad Real,5,3,0,0,0,0,2,2024_1T.xlsx
788,Cuenca,5,2,1,0,0,0,2,2024_1T.xlsx
789,Guadalajara,3,2,0,0,1,0,0,2024_1T.xlsx
790,Toledo,9,2,4,1,0,0,2,2024_1T.xlsx
791,Cataluña,386,150,77,27,33,20,79,2024_1T.xlsx
792,Barcelona,337,136,69,21,31,16,64,2024_1T.xlsx
793,Girona,15,5,1,2,1,1,5,2024_1T.xlsx
794,Lleida,15,5,1,1,1,0,7,2024_1T.xlsx
795,Tarragona,19,4,6,3,0,3,3,2024_1T.xlsx
796,Comunitat Valenciana,222,69,39,30,18,15,51,2024_1T.xlsx
797,Alicante,85,27,14,11,6,9,18,2024_1T.xlsx
798,Castellón,9,1,3,1,1,0,3,2024_1T.xlsx
799,Valencia,128,41,22,18,11,6,30,2024_1T.xlsx
800,Extremadura,12,4,3,1,1,0,3,2024_1T.xlsx
801,Badajoz,8,2,2,1,1,0,2,2024_1T.xlsx
802,Cáceres,4,2,1,0,0,0,1,2024_1T.xlsx
803,Galicia,59,17,11,6,8,6,11,2024_1T.xlsx
804,A Coruña,26,9,6,1,3,2,5,2024_1T.xlsx
805,Lugo,4,1,1,0,1,1,0,2024_1T.xlsx
806,Ourense,3,2,0,0,0,0,1,2024_1T.xlsx
807,Pontevedra,26,5,4,5,4,3,5,2024_1T.xlsx
808,Madrid,354,106,79,58,34,16,61,2024_1T.xlsx
809,Murcia,45,15,11,5,2,2,10,2024_1T.xlsx
810,Navarra,16,3,3,4,2,0,4,2024_1T.xlsx
811,Pais Vasco,86,18,14,7,9,8,30,2024_1T.xlsx
812,Araba/Álava,6,1,1,0,1,0,3,2024_1T.xlsx
813,Bizkaia,48,8,11,6,3,7,13,2024_1T.xlsx
814,Gipuzkoa,32,9,2,1,5,1,14,2024_1T.xlsx
815,La Rioja,8,1,0,3,0,1,3,2024_1T.xlsx
816,Ceuta y Melilla,2,0,0,0,0,0,2,2024_1T.xlsx
817,Ceuta,2,0,0,0,0,0,2,2024_1T.xlsx
818,Melilla,0,0,0,0,0,0,0,2024_1T.xlsx
819,Andalucía,148,53,29,14,17,10,25,2024_2T.xlsx
820,Almería,8,0,0,0,0,2,6,2024_2T.xlsx
821,Cádiz,24,11,6,1,4,0,2,2024_2T.xlsx
822,Córdoba,9,6,2,0,1,0,0,2024_2T.xlsx
823,Granada,25,11,3,2,3,2,4,2024_2T.xlsx
824,Huelva,8,1,3,1,1,1,1,2024_2T.xlsx
825,Jaén,5,2,1,0,1,0,1,2024_2T.xlsx
826,Málaga,35,14,7,5,5,1,3,2024_2T.xlsx
827,Sevilla,34,8,7,5,2,4,8,2024_2T.xlsx
