Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
63,empresas,Andalucía,120,119,1,0,,43,36,41,2021_1T.xlsx,andalucia,
64,empresas,Almería,8,8,0,0,,0,5,3,2021_1T.xlsx,almeria,Andalucia
65,empresas,Cádiz,11,11,0,0,,5,0,6,2021_1T.xlsx,cadiz,Andalucia
66,empresas,Córdoba,12,12,0,0,,1,2,9,2021_1T.xlsx,cordoba,Andalucia
67,empresas,Granada,6,6,0,0,,3,1,2,2021_1T.xlsx,granada,Andalucia
68,empresas,Huelva,4,4,0,0,,2,0,2,2021_1T.xlsx,huelva,Andalucia
69,empresas,Jaén,7,7,0,0,,6,1,0,2021_1T.xlsx,jaen,Andalucia
70,empresas,Málaga,38,37,1,0,,5,23,10,2021_1T.xlsx,malaga,Andalucia
71,empresas,Sevilla,34,34,0,0,,21,4,9,2021_1T.xlsx,sevilla,Andalucia
72,empresas,Aragón,56,56,0,0,,22,7,27,2021_1T.xlsx,aragon,
73,empresas,Huesca,9,9,0,0,,4,5,0,2021_1T.xlsx,huesca,Aragon
74,empresas,Teruel,4,4,0,0,,3,0,1,2021_1T.xlsx,teruel,Aragon
75,empresas,Zaragoza,43,43,0,0,,15,2,26,2021_1T.xlsx,zaragoza,Aragon
76,empresas,Asturias,28,27,0,1,,9,1,18,2021_1T.xlsx,asturias,Asturias
77,empresas,"Balears, Illes",49,48,1,0,,34,2,13,2021_1T.xlsx,balears illes,Baleares
78,empresas,Canarias,38,37,1,0,,13,4,21,2021_1T.xlsx,canarias,
79,empresas,Las Palmas de Gran Canaria,29,28,1,0,,11,3,15,2021_1T.xlsx,las palmas de gran canaria,
80,empresas,Santa Cruz de Tenerife,9,9,0,0,,2,1,6,2021_1T.xlsx,santa cruz de tenerife,Canarias
81,empresas,Cantabria,11,11,0,0,,4,0,7,2021_1T.xlsx,cantabria,Cantabria
82,empresas,Castilla y León,41,36,0,5,,13,5,23,2021_1T.xlsx,castilla y leon,
83,empresas,Ávila,4,4,0,0,,1,3,0,2021_1T.xlsx,avila,Castilla y Leon
84,empresas,Burgos,3,3,0,0,,1,0,2,2021_1T.xlsx,burgos,Castilla y Leon
85,empresas,León,7,4,0,3,,3,0,4,2021_1T.xlsx,leon,Castilla y Leon
86,empresas,Palencia,2,2,0,0,,0,0,2,2021_1T.xlsx,palencia,Castilla y Leon
87,empresas,Salamanca,6,6,0,0,,1,1,4,2021_1T.xlsx,salamanca,Castilla y Leon
88,empresas,Segovia,3,3,0,0,,0,0,3,2021_1T.xlsx,segovia,Castilla y Leon
89,empresas,Soria,3,1,0,2,,3,0,0,2021_1T.xlsx,soria,Castilla y Leon
90,empresas,Valladolid,10,10,0,0,,1,1,8,2021_1T.xlsx,valladolid,Castilla y Leon
91,empresas,Zamora,3,3,0,0,,3,0,0,2021_1T.xlsx,zamora,Castilla y Leon
92,empresas,Castilla-La Mancha,35,33,0,2,,13,0,22,2021_1T.xlsx,castilla la mancha,
93,empresas,Albacete,12,12,0,0,,2,0,10,2021_1T.xlsx,albacete,Castilla La Mancha
94,empresas,Ciudad Real,3,3,0,0,,1,0,2,2021_1T.xlsx,ciudad real,Castilla La Mancha
95,empresas,Cuenca,2,2,0,0,,0,0,2,2021_1T.xlsx,cuenca,Castilla La Mancha
96,empresas,Guadalajara,3,3,0,0,,1,0,2,2021_1T.xlsx,guadalajara,Castilla La Mancha
97,empresas,Toledo,15,13,0,2,,9,0,6,2021_1T.xlsx,toledo,Castilla La Mancha
98,empresas,Cataluña,401,391,6,4,,165,3,233,2021_1T.xlsx,cataluna,
99,empresas,Barcelona,355,346,5,4,,141,2,212,2021_1T.xlsx,barcelona,Cataluña
